case_id,ticker,provider_count,configured_provider_count,best_status,next_action
bac_2025_q4,BAC,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
cat_2024_q4,CAT,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
cat_2025_q1,CAT,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
cat_2025_q2,CAT,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
cat_2025_q3,CAT,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
cat_2025_q4,CAT,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
crm_2025_q4,CRM,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
dow_2025_q4,DOW,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
eqt_2025_q4,EQT,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
f_2025_q4,F,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
hd_2024_q1,HD,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
hd_2024_q2,HD,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
hd_2024_q3,HD,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
hd_2024_q4,HD,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
hig_2025_q4,HIG,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
jpm_2025_q1,JPM,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
jpm_2025_q2,JPM,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
jpm_2025_q3,JPM,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
jpm_2025_q4,JPM,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
lyb_2025_q4,LYB,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
oc_2025_q4,OC,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
omc_2025_q4,OMC,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
rddt_2025_q4,RDDT,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
rf_2025_q4,RF,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
uber_2025_q4,UBER,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
vz_2024_q4,VZ,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
vz_2025_q1,VZ,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
vz_2025_q2,VZ,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
vz_2025_q3,VZ,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
vz_2025_q4,VZ,6,1,CONFIGURED_METADATA_ONLY,Use configured provider for metadata discovery; raw pull still requires license_config_ref and raw_download_allowed=true
