case_id,ticker,company_name,source_url,raw_local_path,raw_sha256,parsed_text_path,parsed_text_sha256,text_parse_status,parser,content_type,bytes,rights_status,eval_allowed,commit_allowed,training_allowed,approval_ref,registered_timestamp,notes
bac_2025_q4,BAC,Bank of America Corporation,https://d1io3yog0oux5.cloudfront.net/_340970fe090ca286d9efb02a861db84d/bankofamerica/db/775/10471/webcast_transcript/2026-01-15+BAC+4Q+Earnings+Call_ADA.pdf,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/transcript/bac_2025_q4_first30_bac_2025_q4.pdf,sha256:0212d8554fcaf28b60427cae98da3fd9ed652f42345a18a942062635ea6e47b3,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/transcript/bac_2025_q4_parsed.txt,sha256:3f68b8abe347f2eddb1a70e836eee558d4d39e41871c1773daf4cee7752e58da,parsed,pypdf,application/pdf,271751,safe_to_download,true,false,false,user_authorized_project_assessment,2026-05-30T21:06:40+00:00,Parsed transcript text registered; raw source remains in Desktop workspace.
cat_2024_q4,CAT,Caterpillar Inc.,https://s25.q4cdn.com/358376879/files/doc_financials/2024/q4/4Q-2024-Caterpillar-Inc-Earnings-Call-Transcript_1-30-2025_vF.pdf,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2024_q4/transcript/cat_2024_q4_first30_cat_2024_q4.pdf,sha256:21b4d9ea52774670043e348a87ce97ee2fbe0e1500fa65439ee7d238a22fc2d3,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2024_q4/transcript/cat_2024_q4_parsed.txt,sha256:943b0a15942e31440425cfc56a43cf41774314d6669205b87708a32fe5615087,parsed,pypdf,application/pdf,207741,safe_to_download,true,false,false,user_authorized_project_assessment,2026-05-30T21:06:39+00:00,Parsed transcript text registered; raw source remains in Desktop workspace.
cat_2025_q1,CAT,Caterpillar Inc.,https://s25.q4cdn.com/358376879/files/doc_financials/2025/q1/1Q-2025-Caterpillar-Inc-Earnings-Call-Transcript_4-30-2025_vF.pdf,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2025_q1/transcript/cat_2025_q1_first30_cat_2025_q1.pdf,sha256:54b42cfe99746f6a04f49c5b11b55d8fb53364ba610ebe0eb5c21e326b13ed73,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2025_q1/transcript/cat_2025_q1_parsed.txt,sha256:8924d13b82fefadc3f0912b4631c0540d7bd18ad096de44b4a278d166d49c428,parsed,pypdf,application/pdf,331674,safe_to_download,true,false,false,user_authorized_project_assessment,2026-05-30T21:06:39+00:00,Parsed transcript text registered; raw source remains in Desktop workspace.
cat_2025_q2,CAT,Caterpillar Inc.,https://s25.q4cdn.com/358376879/files/doc_financials/2025/q2/2Q-2025-Caterpillar-Inc-Earnings-Call-Transcript_8-5-2025.pdf,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2025_q2/transcript/cat_2025_q2_first30_cat_2025_q2.pdf,sha256:8fd57ccb6a351cab5b3bd802bb83700c6fb6ef9c608f967c0966de56156edd1a,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2025_q2/transcript/cat_2025_q2_parsed.txt,sha256:245d279780d60d7505e1ba4dfb9f31ceba34f28722aa4577aa085c31148f850a,parsed,pypdf,application/pdf,324125,safe_to_download,true,false,false,user_authorized_project_assessment,2026-05-30T21:06:38+00:00,Parsed transcript text registered; raw source remains in Desktop workspace.
cat_2025_q3,CAT,Caterpillar Inc.,https://s25.q4cdn.com/358376879/files/doc_financials/2025/q3/3Q-2025-Caterpillar-Inc-Earnings-Call-Transcript_-10-29-2025.pdf,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2025_q3/transcript/cat_2025_q3_first30_cat_2025_q3.pdf,sha256:300f006f3bf5821b74149b2d6c8dbb714dbe7a6bfd70b4e15e2987a7f0e8c6d9,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2025_q3/transcript/cat_2025_q3_parsed.txt,sha256:afbda8b53586966dc8df34306d4f193c30bdebf0f264a26f81e1f8045349878a,parsed,pypdf,application/pdf,182063,safe_to_download,true,false,false,user_authorized_project_assessment,2026-05-30T21:06:37+00:00,Parsed transcript text registered; raw source remains in Desktop workspace.
cat_2025_q4,CAT,Caterpillar Inc.,https://s25.q4cdn.com/358376879/files/doc_financials/2025/q4/4Q-2025-Caterpillar-Inc-Earnings-Conference-Call_Transcript.pdf,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2025_q4/transcript/cat_2025_q4_first30_cat_2025_q4.pdf,sha256:b04760ee3ff7843e9127003b86bda0d3ae5874ec18beb01b1cdf2c1d8312c2c1,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2025_q4/transcript/cat_2025_q4_parsed.txt,sha256:23848e055532697dcade55635d015faab05dae68ebde2dc50d098383d738e6a7,parsed,pypdf,application/pdf,182716,safe_to_download,true,false,false,user_authorized_project_assessment,2026-05-30T21:06:37+00:00,Parsed transcript text registered; raw source remains in Desktop workspace.
crm_2025_q4,CRM,Salesforce Inc.,https://s205.q4cdn.com/626266368/files/doc_financials/2025/q4/Salesforce_Inc_Q4_2025_Earnings_Call_Feb_26_2025_1.pdf,/Users/keith/Desktop/earnings calls 100 samples/CRM_Salesforce_Inc/crm_2025_q4/transcript/crm_2025_q4_first30_crm_2025_q4.pdf,sha256:50e9904d183412176d3facdfe836884b233c6248a5f1e03d94903b213a2aa89e,,,blocked_vendor_marker,pypdf,application/pdf,387483,safe_to_download,false,false,false,user_authorized_project_assessment,2026-05-30T21:06:41+00:00,Downloaded for Desktop-only assessment; not registered because vendor copyright marker was detected.
hd_2024_q1,HD,The Home Depot Inc.,https://ir.homedepot.com/~/media/Files/H/HomeDepot-IR/documents/hd-1q24-transcript.pdf,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2024_q1/transcript/hd_2024_q1_first30_hd_2024_q1.pdf,sha256:75d75daac88f1597203235b036eab034ef5362bf2c6ba7366969ec785618ca97,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2024_q1/transcript/hd_2024_q1_parsed.txt,sha256:b48b9ec8389b99458d711c7cba456aea95e5c70498700269b2aa04a90f8283ac,parsed,pypdf,application/pdf,308274,safe_to_download,true,false,false,user_authorized_project_assessment,2026-05-30T21:06:32+00:00,Parsed transcript text registered; raw source remains in Desktop workspace.
hd_2024_q2,HD,The Home Depot Inc.,https://ir.homedepot.com/~/media/Files/H/HomeDepot-IR/documents/hd-2q24-transcript.pdf,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2024_q2/transcript/hd_2024_q2_first30_hd_2024_q2.pdf,sha256:76cdb2465dc8907693335bae31fb2808a43d50ed058f442f6dddc7ab90c7db9a,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2024_q2/transcript/hd_2024_q2_parsed.txt,sha256:3174638eac245995333789f2ecd92998ac55a9d590e6d5e13130d784923b04bf,parsed,pypdf,application/pdf,329334,safe_to_download,true,false,false,user_authorized_project_assessment,2026-05-30T21:06:32+00:00,Parsed transcript text registered; raw source remains in Desktop workspace.
hd_2024_q3,HD,The Home Depot Inc.,https://ir.homedepot.com/~/media/Files/H/HomeDepot-IR/documents/hd-3q-24-transcript-vf.pdf?os=__,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2024_q3/transcript/hd_2024_q3_first30_hd_2024_q3.pdf,sha256:347ebaecdf364d31adb33d60b499f9184ce5673c6d62ebfb9ade66e6bbc1376a,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2024_q3/transcript/hd_2024_q3_parsed.txt,sha256:7615358920d80acfbd3262943496d8570827676fe39d2c38aecdf4e7ba2d2fc6,parsed,pypdf,application/pdf,330956,safe_to_download,true,false,false,user_authorized_project_assessment,2026-05-30T21:06:31+00:00,Parsed transcript text registered; raw source remains in Desktop workspace.
