case_id,ticker,fiscal_period,transcript_status,audio_status,video_status,slides_status,official_ir_candidate,sec_candidate,webcast_candidate,youtube_metadata_only,manual_local_registered,vendor_blocked,rights_status,blocked_reason_code,provenance_complete,next_manual_action
nyse5y_jpm_2022_q1,JPM,2022_Q1,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jpm_2022_q2,JPM,2022_Q2,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jpm_2022_q3,JPM,2022_Q3,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jpm_2022_q4,JPM,2022_Q4,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jpm_2023_q1,JPM,2023_Q1,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jpm_2023_q2,JPM,2023_Q2,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jpm_2023_q3,JPM,2023_Q3,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jpm_2023_q4,JPM,2023_Q4,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jpm_2024_q1,JPM,2024_Q1,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jpm_2024_q2,JPM,2024_Q2,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jpm_2024_q3,JPM,2024_Q3,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jpm_2024_q4,JPM,2024_Q4,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jpm_2025_q1,JPM,2025_Q1,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jpm_2025_q2,JPM,2025_Q2,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jpm_2025_q3,JPM,2025_Q3,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jpm_2025_q4,JPM,2025_Q4,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jpm_2026_q1,JPM,2026_Q1,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jpm_2026_q2,JPM,2026_Q2,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jpm_2026_q3,JPM,2026_Q3,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jpm_2026_q4,JPM,2026_Q4,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2022_q1,WMT,2022_Q1,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2022_q2,WMT,2022_Q2,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2022_q3,WMT,2022_Q3,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2022_q4,WMT,2022_Q4,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2023_q1,WMT,2023_Q1,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2023_q2,WMT,2023_Q2,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2023_q3,WMT,2023_Q3,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2023_q4,WMT,2023_Q4,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2024_q1,WMT,2024_Q1,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2024_q2,WMT,2024_Q2,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2024_q3,WMT,2024_Q3,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2024_q4,WMT,2024_Q4,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2025_q1,WMT,2025_Q1,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2025_q2,WMT,2025_Q2,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2025_q3,WMT,2025_Q3,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2025_q4,WMT,2025_Q4,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2026_q1,WMT,2026_Q1,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2026_q2,WMT,2026_Q2,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2026_q3,WMT,2026_Q3,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_wmt_2026_q4,WMT,2026_Q4,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2022_q1,HD,2022_Q1,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2022_q2,HD,2022_Q2,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2022_q3,HD,2022_Q3,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2022_q4,HD,2022_Q4,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2023_q1,HD,2023_Q1,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2023_q2,HD,2023_Q2,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2023_q3,HD,2023_Q3,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2023_q4,HD,2023_Q4,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2024_q1,HD,2024_Q1,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2024_q2,HD,2024_Q2,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2024_q3,HD,2024_Q3,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2024_q4,HD,2024_Q4,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2025_q1,HD,2025_Q1,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2025_q2,HD,2025_Q2,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2025_q3,HD,2025_Q3,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2025_q4,HD,2025_Q4,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2026_q1,HD,2026_Q1,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2026_q2,HD,2026_Q2,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2026_q3,HD,2026_Q3,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_hd_2026_q4,HD,2026_Q4,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jnj_2022_q1,JNJ,2022_Q1,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jnj_2022_q2,JNJ,2022_Q2,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jnj_2022_q3,JNJ,2022_Q3,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jnj_2022_q4,JNJ,2022_Q4,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jnj_2023_q1,JNJ,2023_Q1,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jnj_2023_q2,JNJ,2023_Q2,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jnj_2023_q3,JNJ,2023_Q3,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jnj_2023_q4,JNJ,2023_Q4,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jnj_2024_q1,JNJ,2024_Q1,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jnj_2024_q2,JNJ,2024_Q2,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jnj_2024_q3,JNJ,2024_Q3,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jnj_2024_q4,JNJ,2024_Q4,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jnj_2025_q1,JNJ,2025_Q1,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
nyse5y_jnj_2025_q2,JNJ,2025_Q2,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,unknown_not_ingested,True,True,True,True,False,True,unknown,unknown_rights_blocked,False,review official IR/SEC/webcast availability and register manual-local path/hash if rights allow
