source_id,case_id,ticker,company_name,fiscal_year,fiscal_quarter,asset_type,source_type,source_url,source_domain,rights_status,blocked_reason,allow_download,allow_eval_use,allow_training_use,commit_allowed,manual_approval_required,approval_ref,approved_by,approved_at,license_config_ref,explicit_training_rights_ref,source_terms_checked,robots_checked,review_priority,next_action,provenance_hash
src_ff138c9a772edd05f,jpm_2025_q4,JPM,JPMorgan Chase & Co.,2025,Q4,transcript,official_ir,https://www.jpmorganchase.com/ir,www.jpmorganchase.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,true,,,,,,false,false,1,"Review source terms, robots policy, event identity, and storage/evaluation rights before any raw download.",sha256:598933b4b9338d81390a4218bce266296b6b9f5aea19e1d98f63f941642a7521
src_217382896bb85f28c,jpm_2025_q4,JPM,JPMorgan Chase & Co.,2025,Q4,audio,official_ir,https://www.jpmorganchase.com/ir,www.jpmorganchase.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,true,,,,,,false,false,2,"Review source terms, robots policy, event identity, and storage/evaluation rights before any raw download.",sha256:9d3e1946a577ad14f5baf6fb44f22fb84669dea6dd0ec9c24b45ca6b999130e1
src_04de754751aab5cee,bac_2025_q4,BAC,Bank of America Corporation,2025,Q4,transcript,official_ir,https://investor.bankofamerica.com/,investor.bankofamerica.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,true,,,,,,false,false,1,"Review source terms, robots policy, event identity, and storage/evaluation rights before any raw download.",sha256:18aee924acf80fce440612b0fa59318c1ac38776f4caf007fb69e3f71c99939f
src_c906aec2ddf5a0d78,bac_2025_q4,BAC,Bank of America Corporation,2025,Q4,audio,official_ir,https://investor.bankofamerica.com/,investor.bankofamerica.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,true,,,,,,false,false,2,"Review source terms, robots policy, event identity, and storage/evaluation rights before any raw download.",sha256:60951c92c30d395126bc561dac5a74cfced61740cb5ba22d82a6bc6064e72fcf
src_6f4b1d0cb11ce8a9e,c_2025_q4,C,Citigroup Inc.,2025,Q4,transcript,official_ir,https://www.citigroup.com/global/investors,www.citigroup.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,true,,,,,,false,false,1,"Review source terms, robots policy, event identity, and storage/evaluation rights before any raw download.",sha256:7734a1e7b7ab181d9dac104fd3125a2ae16594a8759f2aa959fda7199bc1ddb7
src_79eb89e57f22880bb,c_2025_q4,C,Citigroup Inc.,2025,Q4,audio,official_ir,https://www.citigroup.com/global/investors,www.citigroup.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,true,,,,,,false,false,2,"Review source terms, robots policy, event identity, and storage/evaluation rights before any raw download.",sha256:d14378072de257c6fdac8367d033a2caa006f8bba25d440188cced24a83cb409
src_a59945462d6f7e7c2,wfc_2025_q4,WFC,Wells Fargo & Company,2025,Q4,transcript,official_ir,https://www.wellsfargo.com/about/investor-relations/,www.wellsfargo.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,true,,,,,,false,false,1,"Review source terms, robots policy, event identity, and storage/evaluation rights before any raw download.",sha256:38075b08d0a8466c1df65ef8f3fd5de4da8e9635c73d7118f0db60da993d5ae7
src_f529c08e1f6274f55,wfc_2025_q4,WFC,Wells Fargo & Company,2025,Q4,audio,official_ir,https://www.wellsfargo.com/about/investor-relations/,www.wellsfargo.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,true,,,,,,false,false,2,"Review source terms, robots policy, event identity, and storage/evaluation rights before any raw download.",sha256:3194a53a50c87b5d9536e726f89968f05b519333ec8d68c9ae84390a393af095
src_178f6917f8096cf48,gs_2025_q4,GS,"The Goldman Sachs Group, Inc.",2025,Q4,transcript,official_ir,https://www.goldmansachs.com/investor-relations/,www.goldmansachs.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,true,,,,,,false,false,1,"Review source terms, robots policy, event identity, and storage/evaluation rights before any raw download.",sha256:43417f8cd337240e3811090556f972212abcffa020d137f671449d9e2869f6dc
src_69066d34563f0c4d5,gs_2025_q4,GS,"The Goldman Sachs Group, Inc.",2025,Q4,audio,official_ir,https://www.goldmansachs.com/investor-relations/,www.goldmansachs.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,true,,,,,,false,false,2,"Review source terms, robots policy, event identity, and storage/evaluation rights before any raw download.",sha256:b4c9e6328ab9f406eb22b6d5ca0a151e62598a1b89e90cc423a993c187f149d1
src_5c3ae2ca4b4287660,ms_2025_q4,MS,Morgan Stanley,2025,Q4,transcript,official_ir,https://www.morganstanley.com/about-us-ir,www.morganstanley.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,true,,,,,,false,false,1,"Review source terms, robots policy, event identity, and storage/evaluation rights before any raw download.",sha256:b70bec31e0f257bbffb6708d8107a4a96e7ba6514093856cfaab1cc83ec7898e
src_0e4d3b51e04992c0f,ms_2025_q4,MS,Morgan Stanley,2025,Q4,audio,official_ir,https://www.morganstanley.com/about-us-ir,www.morganstanley.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,true,,,,,,false,false,2,"Review source terms, robots policy, event identity, and storage/evaluation rights before any raw download.",sha256:5b0ed83b6cf3fcab4e6fda4c33d713f5830dd01fa172f14a6c0212fe13e0fa99
src_bfeb32ecc4d975808,bk_2025_q4,BK,The Bank of New York Mellon Corporation,2025,Q4,transcript,official_ir,https://www.bny.com/corporate/global/en/investor-relations.html,www.bny.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,true,,,,,,false,false,1,"Review source terms, robots policy, event identity, and storage/evaluation rights before any raw download.",sha256:2f01fd82f81e954522d30af6da6518e5263aeca0a7919209a2cb98faa94e680e
src_df2b6709ab2df1b63,bk_2025_q4,BK,The Bank of New York Mellon Corporation,2025,Q4,audio,official_ir,https://www.bny.com/corporate/global/en/investor-relations.html,www.bny.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,true,,,,,,false,false,2,"Review source terms, robots policy, event identity, and storage/evaluation rights before any raw download.",sha256:4ed0ac9f55a67a1863458f11f60f209dc60a2e4bdb4c64ebb06445d80de02012
