case_id,ticker,company_name,exchange,fiscal_year,fiscal_quarter,event_identity_status,official_ir_status,sec_status,transcript_status,audio_status,video_status,safe_download_candidates,blocked_source_count,next_action
jpm_2025_q4,JPM,JPMorgan Chase & Co.,NYSE,2025,Q4,target_placeholder_period_end_date,candidate_metadata_only,metadata_only,not_collected_metadata_only,not_collected_metadata_only,metadata_only_no_download,0,1,Manual review official IR/SEC event identity and rights before permitted acquisition.
bac_2025_q4,BAC,Bank of America Corporation,NYSE,2025,Q4,target_placeholder_period_end_date,candidate_metadata_only,metadata_only,not_collected_metadata_only,not_collected_metadata_only,metadata_only_no_download,0,1,Manual review official IR/SEC event identity and rights before permitted acquisition.
c_2025_q4,C,Citigroup Inc.,NYSE,2025,Q4,target_placeholder_period_end_date,candidate_metadata_only,metadata_only,not_collected_metadata_only,not_collected_metadata_only,metadata_only_no_download,0,1,Manual review official IR/SEC event identity and rights before permitted acquisition.
wfc_2025_q4,WFC,Wells Fargo & Company,NYSE,2025,Q4,target_placeholder_period_end_date,candidate_metadata_only,metadata_only,not_collected_metadata_only,not_collected_metadata_only,metadata_only_no_download,0,1,Manual review official IR/SEC event identity and rights before permitted acquisition.
gs_2025_q4,GS,"The Goldman Sachs Group, Inc.",NYSE,2025,Q4,target_placeholder_period_end_date,candidate_metadata_only,metadata_only,not_collected_metadata_only,not_collected_metadata_only,metadata_only_no_download,0,1,Manual review official IR/SEC event identity and rights before permitted acquisition.
ms_2025_q4,MS,Morgan Stanley,NYSE,2025,Q4,target_placeholder_period_end_date,candidate_metadata_only,metadata_only,not_collected_metadata_only,not_collected_metadata_only,metadata_only_no_download,0,1,Manual review official IR/SEC event identity and rights before permitted acquisition.
bk_2025_q4,BK,The Bank of New York Mellon Corporation,NYSE,2025,Q4,target_placeholder_period_end_date,candidate_metadata_only,metadata_only,not_collected_metadata_only,not_collected_metadata_only,metadata_only_no_download,0,1,Manual review official IR/SEC event identity and rights before permitted acquisition.
stt_2025_q4,STT,State Street Corporation,NYSE,2025,Q4,target_placeholder_period_end_date,candidate_metadata_only,metadata_only,not_collected_metadata_only,not_collected_metadata_only,metadata_only_no_download,0,1,Manual review official IR/SEC event identity and rights before permitted acquisition.
usb_2025_q4,USB,U.S. Bancorp,NYSE,2025,Q4,target_placeholder_period_end_date,candidate_metadata_only,metadata_only,not_collected_metadata_only,not_collected_metadata_only,metadata_only_no_download,0,1,Manual review official IR/SEC event identity and rights before permitted acquisition.
pnc_2025_q4,PNC,"The PNC Financial Services Group, Inc.",NYSE,2025,Q4,target_placeholder_period_end_date,candidate_metadata_only,metadata_only,not_collected_metadata_only,not_collected_metadata_only,metadata_only_no_download,0,1,Manual review official IR/SEC event identity and rights before permitted acquisition.
tfc_2025_q4,TFC,Truist Financial Corporation,NYSE,2025,Q4,target_placeholder_period_end_date,candidate_metadata_only,metadata_only,not_collected_metadata_only,not_collected_metadata_only,metadata_only_no_download,0,1,Manual review official IR/SEC event identity and rights before permitted acquisition.
cof_2025_q4,COF,Capital One Financial Corporation,NYSE,2025,Q4,target_placeholder_period_end_date,candidate_metadata_only,metadata_only,not_collected_metadata_only,not_collected_metadata_only,metadata_only_no_download,0,1,Manual review official IR/SEC event identity and rights before permitted acquisition.
axp_2025_q4,AXP,American Express Company,NYSE,2025,Q4,target_placeholder_period_end_date,candidate_metadata_only,metadata_only,not_collected_metadata_only,not_collected_metadata_only,metadata_only_no_download,0,1,Manual review official IR/SEC event identity and rights before permitted acquisition.
