id,source_file,domain,text,suggested_label,suggested_evidence_terms,suggestion_confidence,reviewer_label,reviewer_confidence,reviewer_notes,accepted
candidate_0070,data/signal_engine_2_0/sample_sales.json,sales,"The seat cost feels expensive versus Zendesk, and the team is also comparing you to Intercom.",risk_friction,expensive; cost; seat cost; intercom; zendesk,high,,,,
candidate_0071,data/signal_engine_2_0/sample_sales.json,sales,The seat cost feels expensive versus Zendesk,risk_friction,expensive; cost; seat cost; zendesk,high,,,,
candidate_0222,demo/signal_engine_2_0/sales_demo_output.json,sales,"The seat cost feels expensive versus Zendesk, and the team is also comparing yo...",risk_friction,expensive; cost; seat cost; zendesk,high,,,,
candidate_0008,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,unknown,This pricing change is ridiculous and it feels unacceptable to spring it on us a day before signature.,risk_friction,ridiculous; unacceptable; pricing,high,,,,
candidate_0033,data/signal_engine_2_0/fixtures/sales_calls_realistic.jsonl,sales,"We're interested, but the enterprise price is higher than Zendesk and Intercom, and I still do not know what happens after the pilot.",risk_friction,price; intercom; zendesk,high,,,,
candidate_0034,data/signal_engine_2_0/fixtures/sales_calls_realistic.jsonl,sales,but the enterprise price is higher than Zendesk and Intercom,risk_friction,price; intercom; zendesk,high,,,,
candidate_0054,data/signal_engine_2_0/sample_account_management.json,account_management,"Our renewal is in about 45 days, and we're still dealing with two unresolved onboarding issues from the launch.",risk_friction,renewal; still dealing with; unresolved,high,,,,
candidate_0059,data/signal_engine_2_0/sample_account_management.json,account_management,"But if these issues stay open into renewal, we may cut seats, delay the renewal, or look at another vendor.",risk_friction,cut seats; look at another vendor; renewal,high,,,,
candidate_0061,data/signal_engine_2_0/sample_account_management.json,account_management,"Okay, but if this slips again finance will ask whether we should downgrade or switch.",risk_friction,again; downgrade; switch,high,,,,
candidate_0062,data/signal_engine_2_0/sample_account_management.json,account_management,but if this slips again finance will ask whether we should downgrade or switch.,risk_friction,again; downgrade; switch,high,,,,
candidate_0087,data/signal_engine_2_0/sample_support.json,support,"I need a real date, not a FAQ, and if this is still unresolved today I'll escalate it to your manager and dispute the charge.",risk_friction,escalate; manager; unresolved,high,,,,
candidate_0089,data/signal_engine_2_0/sample_support.json,support,and if this is still unresolved today I'll escalate it to your manager and dispute the charge.,risk_friction,escalate; manager; unresolved,high,,,,
candidate_0093,demo/signal_engine_2_0/account_management_demo_output.json,account_management,"...tay open into renewal, we may cut seats, delay the renewal, or look at another vendor.",risk_friction,cut seats; look at another vendor; renewal,high,,,,
