case_id,ticker,fiscal_period,event_identity_status,transcript_status,audio_status,video_status,slides_status,official_ir_candidate,sec_candidate,manual_local_registered,permitted_ingest_available,rights_status,blocked_reason_code,manual_action,provenance_complete
irsec_axp_2022_q1,AXP,2022_Q1,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_axp_2022_q2,AXP,2022_Q2,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_axp_2022_q3,AXP,2022_Q3,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_axp_2022_q4,AXP,2022_Q4,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_axp_2023_q1,AXP,2023_Q1,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_axp_2023_q2,AXP,2023_Q2,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_axp_2023_q3,AXP,2023_Q3,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_axp_2023_q4,AXP,2023_Q4,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_axp_2024_q1,AXP,2024_Q1,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_axp_2024_q2,AXP,2024_Q2,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_axp_2024_q3,AXP,2024_Q3,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_axp_2024_q4,AXP,2024_Q4,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_axp_2025_q1,AXP,2025_Q1,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_axp_2025_q2,AXP,2025_Q2,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_axp_2025_q3,AXP,2025_Q3,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_axp_2025_q4,AXP,2025_Q4,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_axp_2026_q1,AXP,2026_Q1,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_axp_2026_q2,AXP,2026_Q2,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_ba_2022_q1,BA,2022_Q1,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_ba_2022_q2,BA,2022_Q2,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_ba_2022_q3,BA,2022_Q3,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_ba_2022_q4,BA,2022_Q4,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_ba_2023_q1,BA,2023_Q1,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_ba_2023_q2,BA,2023_Q2,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_ba_2023_q3,BA,2023_Q3,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_ba_2023_q4,BA,2023_Q4,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_ba_2024_q1,BA,2024_Q1,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_ba_2024_q2,BA,2024_Q2,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_ba_2024_q3,BA,2024_Q3,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_ba_2024_q4,BA,2024_Q4,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_ba_2025_q1,BA,2025_Q1,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_ba_2025_q2,BA,2025_Q2,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_ba_2025_q3,BA,2025_Q3,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_ba_2025_q4,BA,2025_Q4,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_ba_2026_q1,BA,2026_Q1,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_ba_2026_q2,BA,2026_Q2,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_bac_2022_q1,BAC,2022_Q1,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_bac_2022_q2,BAC,2022_Q2,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
irsec_bac_2022_q3,BAC,2022_Q3,source_candidate_found,official_ir_candidate_rights_pending,not_collected_metadata_only,not_collected_metadata_only,official_ir_candidate_rights_pending,True,True,False,False,metadata_only,sec_metadata_only,optional later SEC metadata fetch after enabling policy,False
