id,domain,transcript_text,expected_signal_family,expected_review_action,audio_file_to_add,audio_start_seconds,audio_end_seconds,audio_rights_confirmed,reviewer_notes
pilot_support_dispute_audio_001,support,"That does not solve it. The failed resolution has been open since Monday, the card ending 1111 was charged twice, and if this slips again we will escalate the dispute.",risk_friction,Escalate duplicate-charge dispute ownership and confirm a dated remediation plan.,,,,,
pilot_sales_procurement_block_audio_001,sales,"That feels vague. Without a concrete next step, security packet, and discount range, procurement will not move this week.",risk_friction,"Prepare a concrete next-step package with pricing range, security packet, and dated follow-up.",,,,,
pilot_sales_probably_audio_001,sales,We can probably work something out on pricing,uncertainty_hedging,"Replace hedged pricing language with a dated, concrete commercial next step.",,,,,
pilot_account_renewal_video_001,account_management,"But if these issues stay open into renewal, we may cut seats, delay the renewal, or look at another vendor.",risk_friction,"Route to a renewal-risk review with ownership, timeline, and downgrade mitigation.",,,,,
pilot_account_recovery_video_001,account_management,I own the action items and will send a recovery plan by Friday with owners for each open item.,opportunity_commitment,Track whether the named recovery owners and Friday delivery commitment are met.,,,,,
pilot_sales_plan_transcript_001,sales,"I can send a pilot plan, pricing options, and a proposal by Tuesday",opportunity_commitment,Track the Tuesday proposal commitment in the deal follow-up.,,,,,
pilot_support_resolution_transcript_001,support,"Thanks, the replacement order arrived this morning and I'm happy with how quickly your team solved it.",opportunity_commitment,Log the resolution-positive case and verify whether the same pattern generalizes.,,,,,
pilot_support_waiting_transcript_001,support,We are still looking into it and someone will reach out later once billing has an update.,uncertainty_hedging,Flag the vague follow-up and ask for a concrete owner and timing commitment.,,,,,
pilot_sales_status_transcript_001,sales,"For reference, the current status is that procurement is scheduled for next Tuesday and the legal review is still open.",neutral,Treat as process status only unless later turns add friction or commitments.,,,,,
pilot_account_status_transcript_001,account_management,Sharing the update from finance: the meeting starts at 09:00 CET and the agenda is attached in the renewal folder.,neutral,Log as scheduling context only and avoid over-interpreting it as risk.,,,,,
