case_id,ticker,company_name,source_type,asset_type,source_url,source_domain,rights_status,blocked_reason,download_allowed,commit_allowed,training_allowed,eval_allowed,license_config_ref,authorization_ref,provenance_hash,notes
jpm_2025_q4,JPM,JPMorgan Chase & Co.,official_ir,transcript,https://www.jpmorganchase.com/ir,www.jpmorganchase.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,,,sha256:46a829ee5ded030b337982f4b23ea41e7b60ae6f8457e793003d467558ea2363,"Review official IR source terms, robots policy, and event identity before permitted acquisition."
jpm_2025_q4,JPM,JPMorgan Chase & Co.,sec_edgar,metadata,sec-edgar://metadata-first/JPM/2025/Q4,sec.gov,metadata_only,sec_metadata_only,false,false,false,false,,,sha256:9753f5af354985c3472db97177e2fadb0b278450119e272fac479af214e92a0d,Use SEC metadata-first discovery with descriptive User-Agent and <=10 requests/sec.
jpm_2025_q4,JPM,JPMorgan Chase & Co.,youtube,video,https://www.youtube.com/results?search_query=JPM+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,false,false,false,false,,,sha256:ba716c9e14d0da24ab0a4acc6213b0ecfe7567976dfc79e94d4ac9817ac0ce99,Keep YouTube as metadata/link reference only unless explicit written authorization exists.
jpm_2025_q4,JPM,JPMorgan Chase & Co.,vendor,transcript,licensed-vendor://blocked/JPM/2025/Q4,licensed-vendor,license_required,vendor_license_missing,false,false,false,false,,,sha256:6aee91218ba73a054e5dfc84248493269c7041ca2be27ee48d7ac59416009c57,Register license_config_ref before any vendor raw content use.
bac_2025_q4,BAC,Bank of America Corporation,official_ir,transcript,https://investor.bankofamerica.com/,investor.bankofamerica.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,,,sha256:d0c57a734f1c1bce5fa358e564c69e295e19b2f11ac0aac181369d8ad6159223,"Review official IR source terms, robots policy, and event identity before permitted acquisition."
bac_2025_q4,BAC,Bank of America Corporation,sec_edgar,metadata,sec-edgar://metadata-first/BAC/2025/Q4,sec.gov,metadata_only,sec_metadata_only,false,false,false,false,,,sha256:de148ead5f0673e14125d60190599f795a6a1300ce96b5f2b9778011379ccab1,Use SEC metadata-first discovery with descriptive User-Agent and <=10 requests/sec.
bac_2025_q4,BAC,Bank of America Corporation,youtube,video,https://www.youtube.com/results?search_query=BAC+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,false,false,false,false,,,sha256:9d94714c8c9e87bd6c27c822257507a92b3e7f26c611d57ec043de09f03a7085,Keep YouTube as metadata/link reference only unless explicit written authorization exists.
bac_2025_q4,BAC,Bank of America Corporation,vendor,transcript,licensed-vendor://blocked/BAC/2025/Q4,licensed-vendor,license_required,vendor_license_missing,false,false,false,false,,,sha256:75ed6a40a49e46e848bcff62d758af03db2db0cfcfde3aefd50d46f524bed78f,Register license_config_ref before any vendor raw content use.
c_2025_q4,C,Citigroup Inc.,official_ir,transcript,https://www.citigroup.com/global/investors,www.citigroup.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,,,sha256:229941adf0ed3cb835e1da00d2b75838d09f50b5b1669587ad6b6cd918f87a61,"Review official IR source terms, robots policy, and event identity before permitted acquisition."
c_2025_q4,C,Citigroup Inc.,sec_edgar,metadata,sec-edgar://metadata-first/C/2025/Q4,sec.gov,metadata_only,sec_metadata_only,false,false,false,false,,,sha256:ac7071afb55cf0371c356fc4bfaa7f7fe8593157454b07b6b119a51d4315c1f4,Use SEC metadata-first discovery with descriptive User-Agent and <=10 requests/sec.
c_2025_q4,C,Citigroup Inc.,youtube,video,https://www.youtube.com/results?search_query=C+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,false,false,false,false,,,sha256:3bfe75dbf6cf44e318a298382dd31b68e0e7e2df8b1b69fd8641448343ab51f5,Keep YouTube as metadata/link reference only unless explicit written authorization exists.
c_2025_q4,C,Citigroup Inc.,vendor,transcript,licensed-vendor://blocked/C/2025/Q4,licensed-vendor,license_required,vendor_license_missing,false,false,false,false,,,sha256:b2c2c488936002b4604b1760724d5f6f766414d7f29b411f0dfd6ca9b5fe280d,Register license_config_ref before any vendor raw content use.
wfc_2025_q4,WFC,Wells Fargo & Company,official_ir,transcript,https://www.wellsfargo.com/about/investor-relations/,www.wellsfargo.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,,,sha256:45da66ee405a4528da52d9eef91a235ec45741f7cf8ec7810046517bb702f640,"Review official IR source terms, robots policy, and event identity before permitted acquisition."
wfc_2025_q4,WFC,Wells Fargo & Company,sec_edgar,metadata,sec-edgar://metadata-first/WFC/2025/Q4,sec.gov,metadata_only,sec_metadata_only,false,false,false,false,,,sha256:4d8bfabc2651f6a781d1cf5087aa279a272862ffc4c99348bad9680f40a69cb1,Use SEC metadata-first discovery with descriptive User-Agent and <=10 requests/sec.
wfc_2025_q4,WFC,Wells Fargo & Company,youtube,video,https://www.youtube.com/results?search_query=WFC+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,false,false,false,false,,,sha256:3e6afdbb81bda9f22dd54f66260d72fee9482d423c5b7615bfd9cdef7f828505,Keep YouTube as metadata/link reference only unless explicit written authorization exists.
wfc_2025_q4,WFC,Wells Fargo & Company,vendor,transcript,licensed-vendor://blocked/WFC/2025/Q4,licensed-vendor,license_required,vendor_license_missing,false,false,false,false,,,sha256:56995bb3069d6d8660a32ef384efe24fb108dce0eaced2902929c0dfcfa22fd1,Register license_config_ref before any vendor raw content use.
gs_2025_q4,GS,"The Goldman Sachs Group, Inc.",official_ir,transcript,https://www.goldmansachs.com/investor-relations/,www.goldmansachs.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,,,sha256:112ec5143468521a37b8a0559d79583ebebf85d1f7d5fee4f7c9f669645a1a64,"Review official IR source terms, robots policy, and event identity before permitted acquisition."
gs_2025_q4,GS,"The Goldman Sachs Group, Inc.",sec_edgar,metadata,sec-edgar://metadata-first/GS/2025/Q4,sec.gov,metadata_only,sec_metadata_only,false,false,false,false,,,sha256:1ac8ad38409df8f4a0e58757d84f6cab7aed1411f50d0a17b7790424323d8947,Use SEC metadata-first discovery with descriptive User-Agent and <=10 requests/sec.
gs_2025_q4,GS,"The Goldman Sachs Group, Inc.",youtube,video,https://www.youtube.com/results?search_query=GS+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,false,false,false,false,,,sha256:f20221a816669239ed1c19b0ca914c8f07166fec5f7b54e540c23c409c560e8f,Keep YouTube as metadata/link reference only unless explicit written authorization exists.
gs_2025_q4,GS,"The Goldman Sachs Group, Inc.",vendor,transcript,licensed-vendor://blocked/GS/2025/Q4,licensed-vendor,license_required,vendor_license_missing,false,false,false,false,,,sha256:f9a32e5b8a735c455c4fadac791b5e1da84171aebd6b06ae0291d4b62c6684d4,Register license_config_ref before any vendor raw content use.
ms_2025_q4,MS,Morgan Stanley,official_ir,transcript,https://www.morganstanley.com/about-us-ir,www.morganstanley.com,metadata_only,metadata_only_no_raw_download,false,false,false,false,,,sha256:09b3d99c50607a5c0cff3ad1fb955b804e9afd36855b86f7e0e4201225a93e6a,"Review official IR source terms, robots policy, and event identity before permitted acquisition."
ms_2025_q4,MS,Morgan Stanley,sec_edgar,metadata,sec-edgar://metadata-first/MS/2025/Q4,sec.gov,metadata_only,sec_metadata_only,false,false,false,false,,,sha256:14da3014c1c471c11905a874e592f3d3b50015912d54039376fbe67ff175aef4,Use SEC metadata-first discovery with descriptive User-Agent and <=10 requests/sec.
ms_2025_q4,MS,Morgan Stanley,youtube,video,https://www.youtube.com/results?search_query=MS+2025+Q4+earnings+call,www.youtube.com,metadata_only,youtube_media_blocked,false,false,false,false,,,sha256:7a2165e0c9be9749058e9afc26b84a0a8798816655c2832bd640df3f77b66c65,Keep YouTube as metadata/link reference only unless explicit written authorization exists.
