ticker_symbol,company_name,exchange,sector,exchange_verified,exchange_verification_source,official_ir_url,source_domain,included,exclusion_reason
JPM,JPMorgan Chase & Co.,NYSE,banking,true,curated_seed_exchange_table,https://www.jpmorganchase.com/ir,jpmorganchase.com,true,
WMT,Walmart Inc.,NYSE,retail,true,curated_seed_exchange_table,https://stock.walmart.com/,stock.walmart.com,true,
HD,"The Home Depot, Inc.",NYSE,retail,true,curated_seed_exchange_table,https://ir.homedepot.com/,ir.homedepot.com,true,
JNJ,Johnson & Johnson,NYSE,healthcare,true,curated_seed_exchange_table,https://www.investor.jnj.com/,investor.jnj.com,true,
XOM,Exxon Mobil Corporation,NYSE,energy,true,curated_seed_exchange_table,https://corporate.exxonmobil.com/investors,corporate.exxonmobil.com,true,
BAC,Bank of America Corporation,NYSE,banking,true,curated_seed_exchange_table,https://investor.bankofamerica.com/,investor.bankofamerica.com,true,
GS,"The Goldman Sachs Group, Inc.",NYSE,banking,true,curated_seed_exchange_table,https://www.goldmansachs.com/investor-relations/,goldmansachs.com,true,
MS,Morgan Stanley,NYSE,banking,true,curated_seed_exchange_table,https://www.morganstanley.com/about-us-ir,morganstanley.com,true,
BLK,"BlackRock, Inc.",NYSE,payments_financial_services,true,curated_seed_exchange_table,https://ir.blackrock.com/,ir.blackrock.com,true,
AXP,American Express Company,NYSE,payments,true,curated_seed_exchange_table,https://ir.americanexpress.com/,ir.americanexpress.com,true,
IBM,International Business Machines Corporation,NYSE,industrials_technology,true,curated_seed_exchange_table,https://www.ibm.com/investor,ibm.com,true,
LLY,Eli Lilly and Company,NYSE,healthcare,true,curated_seed_exchange_table,https://investor.lilly.com/,investor.lilly.com,true,
MRK,"Merck & Co., Inc.",NYSE,healthcare,true,curated_seed_exchange_table,https://www.merck.com/investor-relations/,merck.com,true,
PFE,Pfizer Inc.,NYSE,healthcare,true,curated_seed_exchange_table,https://investors.pfizer.com/,investors.pfizer.com,true,
UNH,UnitedHealth Group Incorporated,NYSE,healthcare,true,curated_seed_exchange_table,https://www.unitedhealthgroup.com/investors.html,unitedhealthgroup.com,true,
CVS,CVS Health Corporation,NYSE,healthcare,true,curated_seed_exchange_table,https://investors.cvshealth.com/,investors.cvshealth.com,true,
BA,The Boeing Company,NYSE,aerospace,true,curated_seed_exchange_table,https://investors.boeing.com/,investors.boeing.com,true,
CAT,Caterpillar Inc.,NYSE,industrials,true,curated_seed_exchange_table,https://investors.caterpillar.com/,investors.caterpillar.com,true,
DE,Deere & Company,NYSE,industrials,true,curated_seed_exchange_table,https://investor.deere.com/,investor.deere.com,true,
GE,GE Aerospace,NYSE,aerospace,true,curated_seed_exchange_table,https://www.geaerospace.com/investors,geaerospace.com,true,
KO,The Coca-Cola Company,NYSE,consumer,true,curated_seed_exchange_table,https://investors.coca-colacompany.com/,investors.coca-colacompany.com,true,
MCD,McDonald's Corporation,NYSE,consumer,true,curated_seed_exchange_table,https://corporate.mcdonalds.com/corpmcd/investors.html,corporate.mcdonalds.com,true,
NKE,"NIKE, Inc.",NYSE,consumer,true,curated_seed_exchange_table,https://investors.nike.com/,investors.nike.com,true,
DIS,The Walt Disney Company,NYSE,consumer,true,curated_seed_exchange_table,https://thewaltdisneycompany.com/investor-relations/,thewaltdisneycompany.com,true,
T,AT&T Inc.,NYSE,telecom,true,curated_seed_exchange_table,https://investors.att.com/,investors.att.com,true,
LOW,"Lowe's Companies, Inc.",NYSE,retail,true,curated_seed_exchange_table,https://corporate.lowes.com/investors,corporate.lowes.com,true,
UPS,"United Parcel Service, Inc.",NYSE,industrials,true,curated_seed_exchange_table,https://investors.ups.com/,investors.ups.com,true,
RTX,RTX Corporation,NYSE,aerospace,true,curated_seed_exchange_table,https://investors.rtx.com/,investors.rtx.com,true,
LMT,Lockheed Martin Corporation,NYSE,aerospace,true,curated_seed_exchange_table,https://investors.lockheedmartin.com/,investors.lockheedmartin.com,true,
NOC,Northrop Grumman Corporation,NYSE,aerospace,true,curated_seed_exchange_table,https://investor.northropgrumman.com/,investor.northropgrumman.com,true,
CVX,Chevron Corporation,NYSE,energy,true,curated_seed_exchange_table,https://www.chevron.com/investors,chevron.com,true,
COP,ConocoPhillips,NYSE,energy,true,curated_seed_exchange_table,https://www.conocophillips.com/investor/,conocophillips.com,true,
SLB,SLB,NYSE,energy,true,curated_seed_exchange_table,https://investorcenter.slb.com/,investorcenter.slb.com,true,
HAL,Halliburton Company,NYSE,energy,true,curated_seed_exchange_table,https://ir.halliburton.com/,ir.halliburton.com,true,
PG,The Procter & Gamble Company,NYSE,consumer,true,curated_seed_exchange_table,https://www.pginvestor.com/,pginvestor.com,true,
CL,Colgate-Palmolive Company,NYSE,consumer,true,curated_seed_exchange_table,https://investor.colgatepalmolive.com/,investor.colgatepalmolive.com,true,
KMB,Kimberly-Clark Corporation,NYSE,consumer,true,curated_seed_exchange_table,https://investor.kimberly-clark.com/,investor.kimberly-clark.com,true,
FDX,FedEx Corporation,NYSE,industrials,true,curated_seed_exchange_table,https://investors.fedex.com/,investors.fedex.com,true,
DAL,"Delta Air Lines, Inc.",NYSE,industrials,true,curated_seed_exchange_table,https://ir.delta.com/,ir.delta.com,true,
SPGI,S&P Global Inc.,NYSE,payments_financial_services,true,curated_seed_exchange_table,https://investor.spglobal.com/,investor.spglobal.com,true,
MCO,Moody's Corporation,NYSE,payments_financial_services,true,curated_seed_exchange_table,https://ir.moodys.com/,ir.moodys.com,true,
ICE,"Intercontinental Exchange, Inc.",NYSE,payments_financial_services,true,curated_seed_exchange_table,https://ir.theice.com/,ir.theice.com,true,
SCHW,The Charles Schwab Corporation,NYSE,payments_financial_services,true,curated_seed_exchange_table,https://www.aboutschwab.com/investor-relations,aboutschwab.com,true,
MMC,"Marsh & McLennan Companies, Inc.",NYSE,insurance,true,curated_seed_exchange_table,https://ir.mmc.com/,ir.mmc.com,true,
AON,Aon plc,NYSE,insurance,true,curated_seed_exchange_table,https://ir.aon.com/,ir.aon.com,true,
ABT,Abbott Laboratories,NYSE,healthcare,true,curated_seed_exchange_table,https://www.abbottinvestor.com/,abbottinvestor.com,true,
BMY,Bristol Myers Squibb Company,NYSE,healthcare,true,curated_seed_exchange_table,https://investor.bms.com/,investor.bms.com,true,
MDT,Medtronic plc,NYSE,healthcare,true,curated_seed_exchange_table,https://investorrelations.medtronic.com/,investorrelations.medtronic.com,true,
TMO,Thermo Fisher Scientific Inc.,NYSE,healthcare,true,curated_seed_exchange_table,https://ir.thermofisher.com/,ir.thermofisher.com,true,
DHR,Danaher Corporation,NYSE,healthcare,true,curated_seed_exchange_table,https://investors.danaher.com/,investors.danaher.com,true,
EL,The Estee Lauder Companies Inc.,NYSE,consumer,true,curated_seed_exchange_table,https://www.elcompanies.com/en/investors,elcompanies.com,true,
HON,Honeywell International Inc.,NASDAQ,industrials,true,curated_seed_exchange_table,https://investor.honeywell.com/,investor.honeywell.com,false,excluded because exchange=NASDAQ
PEP,"PepsiCo, Inc.",NASDAQ,consumer,true,curated_seed_exchange_table,https://investors.pepsico.com/,investors.pepsico.com,false,excluded because exchange=NASDAQ
UAL,"United Airlines Holdings, Inc.",NASDAQ,industrials,true,curated_seed_exchange_table,https://ir.united.com/,ir.united.com,false,excluded because exchange=NASDAQ
