case_id,ticker,company_name,fiscal_period,local_path,source_url,source_type,rights_tier,operator,eval_allowed,training_allowed,commit_allowed,notes
aapl_2026_q1,AAPL,,2026_Q1,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/AAPL_2026_Q1/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
aapl_2026_q1,AAPL,,2026_Q1,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/AAPL_2026_Q1/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
adbe_2025_q4,ADBE,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/ADBE_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
adbe_2025_q4,ADBE,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/ADBE_2025_Q4/raw/transcript.pdf,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
adbe_2025_q4,ADBE,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/ADBE_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
amd_2025_q4,AMD,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/AMD_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
amd_2025_q4,AMD,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/AMD_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
amzn_2025_q4,AMZN,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/AMZN_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
amzn_2025_q4,AMZN,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/AMZN_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
bac_2025_q4,BAC,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/BAC_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
bac_2025_q4,BAC,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/BAC_2025_Q4/raw/transcript.pdf,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
bac_2025_q4,BAC,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/BAC_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
ba_2025_q4,BA,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/BA_2025_Q4/clean/transcript_clean.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
ba_2025_q4,BA,,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/BA_2025_Q4/raw/transcript.txt,,manual_local,unknown,,false,false,false,"Human fill required: source_url, rights_tier, and eval_allowed must be reviewed before registration."
