id,text,current_label,reviewer_label,reviewer_confidence,reviewer_notes,evidence_terms,rationale
risk_support_refund_delay_001,"Hi, I'm honestly pretty frustrated. Ticket 78421 has been open for 11 days and the refund still hasn't posted to our card.",risk_friction,,,,frustrated; 11 days; refund,Explicit frustration plus an unresolved refund delay creates a clear operational friction signal.
risk_support_deflection_001,Refund timing sits with another team,risk_friction,,,,another team,The response deflects ownership instead of answering the customer's timing question.
risk_support_escalation_001,"That still doesn't answer the question. I need a real date, not a FAQ, and if this is still unresolved today I'll escalate it to your manager and dispute the charge.",risk_friction,,,,doesn't answer; escalate; dispute,The customer explicitly rejects the answer and threatens escalation and a charge dispute.
risk_sales_pricing_objection_001,"My main concern is price. The seat cost feels expensive versus Zendesk, and the team is also comparing you to Intercom.",risk_friction,,,,concern; expensive; Zendesk; Intercom,The buyer raises a pricing objection and competitor comparison in the same turn.
risk_account_unresolved_001,we're still dealing with two unresolved onboarding issues from the launch.,risk_friction,,,,unresolved; issues,"The account context is still carrying unresolved launch issues, which is a direct friction signal."
risk_account_vendor_risk_001,"But if these issues stay open into renewal, we may cut seats, delay the renewal, or look at another vendor.",risk_friction,,,,cut seats; delay the renewal; look at another vendor,The customer explicitly names downgrade and competitive-switch risk.
risk_support_billing_delay_001,I'm frustrated that invoice 8842 still shows the wrong total and nobody has confirmed when the credit will post. Please send the update to [EMAIL] or call [PHONE].,risk_friction,,,,frustrated; wrong total; nobody has confirmed,The customer describes an unresolved billing error with no confirmed posting date.
risk_support_help_center_001,"Billing is still reviewing it, so please check the help center article for now while we wait for their response.",risk_friction,,,,still reviewing; help center article; for now,The agent deflects to documentation and keeps ownership vague.
risk_support_dispute_001,"That does not solve it. The failed resolution has been open since Monday, the card ending 1111 was charged twice, and if this slips again we will escalate the dispute.",risk_friction,,,,does not solve; failed resolution; charged twice; escalate,"The customer describes a failed resolution, duplicate charge, and escalation threat."
risk_sales_procurement_block_001,"That feels vague. Without a concrete next step, security packet, and discount range, procurement will not move this week.",risk_friction,,,,vague; concrete next step; will not move,The buyer explicitly says the deal cannot advance without clearer follow-through.
risk_account_reduce_seats_001,"Our renewal is 30 days out, two onboarding issues are still unresolved, and leadership is asking whether we should reduce seats if support does not stabilize.",risk_friction,,,,unresolved; reduce seats; does not stabilize,The account is near renewal with unresolved issues and a concrete seat-reduction risk.
risk_support_anger_seed_001,I'm angry that your team charged the wrong card again and closed the ticket without notice.,risk_friction,,,,angry; wrong card; closed the ticket without notice,The utterance describes a repeated billing failure and a broken support process.
opp_sales_pilot_interest_001,We're interested in a pilot next month,opportunity_commitment,,,,interested; pilot next month,This clause states concrete buyer interest in a pilot timeline.
opp_sales_plan_commitment_001,"I can send a pilot plan, pricing options, and a proposal by Tuesday",opportunity_commitment,,,,send; proposal by Tuesday,The rep makes a dated follow-up commitment tied to the deal process.
opp_sales_security_packet_001,I can include the security packet for procurement.,opportunity_commitment,,,,security packet; procurement,The rep offers a concrete artifact that helps the buying process move forward.
opp_sales_procurement_path_001,we can bring procurement in next week.,opportunity_commitment,,,,bring procurement in next week,The buyer names a concrete next step if the commercial conditions land.
opp_account_recovery_plan_001,I own the action items and will send a recovery plan by Friday with owners for each open item.,opportunity_commitment,,,,I own; will send; by Friday; owners,The account manager takes ownership and gives a dated recovery commitment.
opp_account_expand_support_001,we may add the support team and upgrade to the enterprise package.,opportunity_commitment,,,,add the support team; upgrade,"Even though it is conditional, this clause names specific expansion upside."
opp_account_confirm_owners_001,I'll confirm owners today and schedule a renewal review next week,opportunity_commitment,,,,confirm owners; today; schedule a renewal review next week,The account manager gives concrete ownership and meeting commitments.
opp_account_own_recovery_001,I own the recovery plan,opportunity_commitment,,,,I own,This clause contains explicit ownership language.
opp_account_named_owners_001,will send named owners this afternoon with a renewal review for next Tuesday.,opportunity_commitment,,,,named owners; this afternoon; next Tuesday,This clause contains dated follow-through and explicit ownership structure.
opp_account_expand_realistic_001,we may still expand analytics seats later this quarter.,opportunity_commitment,,,,expand analytics seats,The customer names a specific expansion path if the recovery lands.
opp_support_resolution_seed_001,"Thanks, the replacement order arrived this morning and I'm happy with how quickly your team solved it.",opportunity_commitment,,,,arrived; solved,The utterance confirms a completed resolution and positive follow-through.
opp_account_followthrough_seed_001,Thank you for the recovery plan. We appreciate the follow-through and that works for our renewal review.,opportunity_commitment,,,,recovery plan; follow-through; works for our renewal review,The customer acknowledges that the recovery plan is actionable and acceptable.
opp_sales_security_review_path_001,the onboarding looks lighter than what we've seen before.,opportunity_commitment,,,,lighter,"This clause suggests positive comparative fit, which supports forward motion without standing alone as a close signal."
unc_support_waiting_update_001,We are still looking into it and someone will reach out later once billing has an update.,uncertainty_hedging,,,,still looking into it; later; once billing has an update,"The response defers timing and ownership, but the defining cue is uncertainty rather than direct confrontation."
unc_sales_security_review_001,if the security review goes well and the onboarding looks lighter than what we've seen before.,uncertainty_hedging,,,,if; goes well,The buyer interest is clearly contingent on future checks and onboarding confidence.
unc_sales_discount_signoff_001,If the discount works and security signs off,uncertainty_hedging,,,,If; signs off,The next step depends on commercial and security contingencies.
unc_account_rollout_condition_001,If the rollout stabilizes this quarter,uncertainty_hedging,,,,If; stabilizes this quarter,The customer frames expansion upside as conditional on future stability.
unc_account_expansion_realistic_001,so we can decide whether expansion is still realistic.,uncertainty_hedging,,,,decide whether; still realistic,This clause explicitly defers certainty about expansion viability.
