source_id,institution,source_title,url,source_type,evidence_strength,key_claim_or_signal,signal_engine_use_case,rights_usage_note,claim_limit,status
"man_alphagpt_official","Man Group / Man Numeric","What AI Can and Can't Yet Do for Alpha","https://www.man.com/insights/what-ai-can-do-for-alpha","official_article","strong_public_evidence","Proprietary agentic workflow with idea generation implementation evaluation human oversight and risk controls","Architecture analogy for candidate discovery deterministic implementation evaluation and human review","Link and summarize only no copied article text","Does not prove Signal Engine edge or live trading capability","verified_from_provided_source"
"man_alphagpt_external_reporting","AI Street / Bloomberg-style reporting","Man Group Uses AI Agents for Trading Signals","https://www.ai-street.co/p/man-group-s-ai-agents-uncover-dozens-of-trading-signals","public_reporting","public_reporting","External reporting says several dozen AI-generated signals passed review and were slated or expected for live use","Market signal for governed agentic research workflows","Treat as external reporting not Man-official confirmation","Do not state dozens of live signals as independently verified","verified_from_provided_source"
"point72_cubist_ml_role","Point72 / Cubist","Quantitative Researcher Machine Learning","https://careers.point72.com/CSJobDetail?jobCode=CSS-0013392&jobName=quantitative-researcher-machine-learning","job_post","job_post_signal","AI-driven equity signal research with proprietary data high compute and full research lifecycle","Lifecycle framing for ideation method selection implementation evaluation and application","Hiring post only no copied text","Not proof of complete internal architecture or transferable performance","verified_from_provided_source"
"deshaw_applied_ai_engineer","D. E. Shaw","Applied AI Engineer","https://www.deshaw.com/careers/applied-ai-engineer-5375","job_post","job_post_signal","Applied AI AI agents and agentic systems for analytical workflows","Supports bounded AI reviewer planning and knowledge workflow framing","Hiring post only","Do not infer production results","verified_from_provided_source"
"deshaw_ml_researcher","D. E. Shaw","Machine Learning Researcher","https://www.deshaw.com/careers/machine-learning-researcher-4954","job_post","job_post_signal","ML research knowledge discovery in financial data scalable infrastructure and proof-of-concept implementation","Supports training-readiness and research infrastructure emphasis","Hiring post only","Do not infer model quality or system performance","verified_from_provided_source"
"deshaw_quant_analyst","D. E. Shaw","Quantitative Analyst","https://www.deshaw.com/careers/quantitative-analyst-2636","job_post","job_post_signal","Quant research includes developing analyzing implementing and evaluating statistical models","Supports hypothesis to evaluation workflow mapping","Hiring post only","Not proof of internal architecture","verified_from_provided_source"
"citadel_alt_data_research","Citadel","How Alternative Data Powers Investment Decisions at Citadel","https://www.citadel.com/careers/career-perspectives/real-people-real-impact-how-alternative-data-powers-investment-decisions-at-citadel/","public_article","strong_public_evidence","Alternative data supports investment research through research and engineering workflows","Supports distinction between research ideas and productionized tooling","Link and summarize only","Does not imply Signal Engine has institutional alternative data","verified_from_provided_source"
"citadel_securities_economics_intelligence","Citadel Securities","The Economics of Intelligence","https://www.citadelsecurities.com/news-and-insights/the-economics-of-intelligence/","public_article","strong_public_evidence","Agentic workflows are long-running multi-step stateful tool-calling and compute-sensitive","Supports cheap deterministic default path and bounded long-context review","Link and summarize only","Does not justify default heavy agentic processing","verified_from_provided_source"
"ssrn_llm_quant_practitioner_guide","Academic / practitioner authors","LLMs for Quantitative Investment Research A Practitioner's Guide","https://papers.ssrn.com/sol3/papers.cfm?abstract_id=5934015","academic_reference","academic_reference","LLMs support research assistance data exploration code generation retrieval signal extraction and governance","Supports LLM reviewer and governance guardrails","Use abstract-level summary only no copied paper text","Not proof of live trading performance","verified_from_provided_source"
"alpha_gpt_academic_framework","Academic Alpha-GPT authors","Alpha-GPT Human-AI Interactive Alpha Mining for Quantitative Investment","https://ar5iv.labs.arxiv.org/html/2308.00016","academic_reference","academic_reference","Human-AI alpha-mining framework with idea translation search evaluation and interpretation","Architecture analogy for candidate signal workflow and evaluation gates","Architecture inspiration only","Do not import alpha or trading claims into Signal Engine","verified_from_provided_source"
"emnlp_llm_strategy_discovery","Academic EMNLP authors","LLM financial strategy discovery reference","https://aclanthology.org/2025.findings-emnlp.1005.pdf","academic_reference","academic_reference","LLMs can support structured strategy discovery and evaluation workflows","Supports evaluation framing and false-positive caution","Pending detailed manual review no copied paper text","Do not use for claims beyond general inspiration until reviewed","needs_manual_verification"
"earnings_call_rag_or_report_analysis_1","Academic RAG-IT authors","RAG-IT Retrieval-Augmented Instruction Tuning for Automated Financial Analysis","https://arxiv.org/html/2412.08179","academic_reference","academic_reference","Retrieval-augmented instruction tuning for automated financial analysis","Supports retrieval evaluation and evidence-grounded output planning","Architecture inspiration only","Not proof of Signal Engine performance","verified_from_provided_source"
"earnings_call_rag_or_report_analysis_2","Academic earnings-call report authors","From Facts to Insights earnings-call analytical reports","https://arxiv.org/abs/2410.01039","academic_reference","academic_reference","Generation and evaluation of analytical reports for deciphering earnings calls","Supports structured report evaluation and reviewer clarity scoring","Architecture inspiration only","Not proof of live performance or edge","verified_from_provided_source"
"earnings_call_structured_reasoning","STRUX authors","STRUX structured explanations for decision-making","https://arxiv.org/pdf/2410.12583","academic_reference","academic_reference","Structured fact tables and explanations for earnings-call decision analysis","Supports evidence objects and structured reviewer-facing outputs","Use evidence-structure lessons only","Do not adopt buy sell hold framing or prediction claims","verified_from_provided_source"
