start,end,text,sentiment,score,topic,period,numbers,numeric_signature,midpoint_hint,guidance_strength,count_numbers,has_percent,has_range,has_currency,matched_cues
268.077,330.0,"Sure. I'll take that, and then others can fill in. So as you said, Doug, we guided to 2.5 million paid net adds. We delivered 0.5 million, if you exclude Russia. So there's really a 2 million miss in our Q1 actuals versus guidance. And what's really reflected there is acquisition growth was consistent with what we expected. We were seeing that slowdown when we did the guide, and it played out as expected. The difference is really some slight elevated churn throughout Q1. And this is pretty small. So retention was still very good, but we're talking about it like 0.2 to 0.3 percentage point, but on our big member base, that has a pretty big flow through. It's a combination of factors there. We talked about interrelated factors in the letter, but one very directly, that Russia's invasion of Ukraine had some spillover effect in other parts of EMEA.",POSITIVE,0.9888243079185486,outlook,Q1,2.5;0.5;2;1;1;0.2;0.3,0.2|0.3|0.5|1|2|2.5,0.25,1.0,7,True,True,True,guidance;we expect;q1
1647.691,1691.537,"2022 is not quite as back-stacked, but it does build throughout the year, and it builds up to some of our big event films in Q4 that we're really excited about, like Knives Out 2, Gray Man coming up before that from the Russo brothers, who we have had a lot of great success with, really fantastic action movie with Ryan Gosling. So the upcoming slate in '22, we're confident, is better and more impactful than it was in '21. And we think '23 will be better and better and more impactful than '22. So we're really -- the content flow has been fantastic, and we're really excited about it.",POSITIVE,0.9997993111610413,other,Q4,2022;4;2;22;21;23;22,2|4|21|22|23|2020,2022.0,0.64,7,False,False,False,year;q4
2341.15,2392.304,"And we'll have some interplay between these 2 different modes for fans of that IP. But that's sort of the -- an initial step on a long road map we have around thinking about how do we make the film and series side and then the interactive games experience, sort of the interplay between those, magnify the value that our members are getting from both. So it's like a 1 plus 1 equals 3 and then hopefully 4 and then 5 situation. So that's sort of the multiyear vision that we've got behind it. And really to deliver on that, we think the internal development capacity is going to be key because we can obviously have those folks be very specifically focused on the opportunities that we see there.",POSITIVE,0.9870352149009705,other,Year,2;1;1;3;4;5,1|2|3|4|5,2.0,0.6374,6,False,False,False,year;fy
2823.459,2889.613,"Hey. Can I say one thing before they close us out, just as a tactical thing, one tactical thing that I should have mentioned earlier, Doug? I just want to make sure there's not a read-through when we guide to negative 2 million paid net adds in Q2. We didn't talk about full year and how -- what we expect. And we're not providing full year guidance, Doug, but I just want to make sure there's not a read-through from negative 2 million paid net adds in Q2 that there's going to be a steady strip down of negative adds. We're not expecting our growth to reaccelerate, our revenue growth to reaccelerate before the end of the year, but we will grow revenue. And there will be paid net add growth. As we get to the back half of the year, Ted talked about the stronger slate. We get further away from some of the big price increases. We get into a stronger seasonal period.",NEGATIVE,0.9929690957069397,outlook,Q2,2;2;2;2,2,2.0,0.6,4,False,False,True,guidance;we expect;year;q2;revenue
1581.922,1647.691,"Yes. So those -- they are proven brands for us, of course, and going into the -- I'll start with Stranger Things because the new season of Stranger Things is a super-sized season that's why we cut it in half. Each episode of the new season feels like a big feature film. It's really phenomenal. We're super excited about how it's landing creatively and how excited fans are for it. And I think that's going to be obviously the big story coming up later in the quarter. The new -- the finale of Ozark, which is our Emmy award-winning fan favorite, the Season 3 was a killer, and Season 4 brings it home in a really incredible way. We're also wrapping up our longest-running show, Grace and Frankie, with an incredible final set of episodes coming up later this month that we're really excited about. And the -- we've always said we ran through the COVID delays that had us back-stack 2021.",POSITIVE,0.9995212554931641,other,Quarter,3;4;2021,3|4|2020,3.0,0.5399,3,False,False,False,range;quarter
52.308,115.0,"Yes, Doug. I mean I think our views are a little different because our numbers are a little different. If we had made our 2.5 million guidance, I think that was consistent with our thesis. And the lower acquisition really forced us to kind of tease apart what's going on. And as we put in the letter, COVID created a lot of noise on how to read the situation, boosted us a lot in 2020. And then in 2021, I think we thoughtfully said it was mostly pull forward, which was the logical conclusion. But now, coming into 2022, that doesn't really hold. So then pushing into it, we realized, with all of the account sharing, which we've always had, that's not a new thing, but when you add that up together, we're getting pretty high market penetration. And that, combined with the competition, is really what we think is driving the lower acquisition and lower growth.",NEGATIVE,0.967782735824585,outlook,Unknown,2.5;2020;2021;2022,2.5|2020,2.5,0.52,4,False,False,True,guidance
115.0,183.077,"So on the 2 parts, we're working on how to monetize sharing. We've been thinking about that for a couple of years. But when we were growing fast, it wasn't the high priority to work on. And now, we're working super hard on it. And remember, these are over 100 million households that already are choosing to view Netflix. They love the service. We just got to get paid at some degree for them. So that's part of it. And then two, it's really -- we got great competition. They've got some very good shows and films out. And what we've got to do is take it up a notch. And I'll tell you that we're all pretty -- I know it's disappointing for investors, and it is for sure. But internally, we're really geared up, and this is like our moment to shine. This is when it all matters. And we're super focused on achieving those objectives and getting back into our investors' good graces.",POSITIVE,0.9981277585029602,other,Year,2;100,2|100,2.0,0.5196,2,False,False,True,year
1895.382,1957.305,"Yes. And Doug, to that point, obviously, revenue growth has slowed. We're going to be responsible in terms of how we manage the business. We talked about in the letter, during this period of slower revenue growth, we're going to protect our operating margins, roughly in line with what we guided to for this year. So we're holding to our guidance for the full year '22. But for -- presumably, for the next 18, 24 months, call it the next 2 years, we're kind of operating to roughly that operating margin, which does mean that we're pulling back on some of our spend growth across both content and noncontent spend, but still growing our spend and still investing aggressively into that long-term opportunity, but we're trying to be smart about it and prudent in terms of pulling back on some of that spend growth to reflect the realities of the revenue growth of the business.",NEGATIVE,0.969578742980957,margin,FY,22;18;24;2,2|18|22|24,22.0,0.48,4,False,False,False,guidance;year;margin;revenue
1762.306,1821.921,"Yes. Splitting the seasons actually had a practical reason before, which was the COVID delays and all those projects that kind of led us to splitting some of the seasons. But what we found is that fans kind of like both. So being able to split it gives them a really satisfying binge experience for those people who want that really satisfying long binge experience. And then being able to deliver a follow-up season in a few months versus, in some cases, the new season of Stranger Things is coming nearly 3 years after the last one or more than 2 anyway. And so we're really -- being able to split the season when you can deliver both halves of it in a really high- quality way, like in the case of Ozark, had additional episodes, so both experiences were really satisfying for the binger or the one-at-a-time viewer as well.",POSITIVE,0.9973674416542053,other,Year,3;2,2|3,3.0,0.4595,2,False,False,False,range;year;fy
0.0,33.846,"Good afternoon, and welcome to the Netflix Q1 2022 Earnings Interview. I'm Spencer Wang, VP of IR and Corporate Development. Joining me today are Co-CEO, Reed Hastings; Co-CEO and Chief Content Officer, Ted Sarandos; COO and Chief Product Officer, Greg Peters; and CFO, Spence Neumann. Our interviewer this quarter is Doug Anmuth from JPMorgan. As a reminder, we'll be making forward-looking statements, and actual results may vary. With that, Doug, I'm going to turn it over to you for the first question.",POSITIVE,0.9980125427246094,other,Q1,1;2022,1|2020,1.0,0.4396,2,False,False,False,quarter;q1
