case_id,ticker,company_name,fiscal_year,fiscal_quarter,official_ir_url,source_domain,candidate_type,network_fetch_enabled,source_status,rights_status,notes
jpm_2025_q4,JPM,JPMorgan Chase & Co.,2025,Q4,https://www.jpmorganchase.com/ir,www.jpmorganchase.com,known_official_ir_url_or_placeholder,false,candidate_unverified_event_identity,metadata_only,Candidate only; no broad crawling and no raw transcript/audio acquisition without explicit rights approval.
bac_2025_q4,BAC,Bank of America Corporation,2025,Q4,https://investor.bankofamerica.com/,investor.bankofamerica.com,known_official_ir_url_or_placeholder,false,candidate_unverified_event_identity,metadata_only,Candidate only; no broad crawling and no raw transcript/audio acquisition without explicit rights approval.
c_2025_q4,C,Citigroup Inc.,2025,Q4,https://www.citigroup.com/global/investors,www.citigroup.com,known_official_ir_url_or_placeholder,false,candidate_unverified_event_identity,metadata_only,Candidate only; no broad crawling and no raw transcript/audio acquisition without explicit rights approval.
wfc_2025_q4,WFC,Wells Fargo & Company,2025,Q4,https://www.wellsfargo.com/about/investor-relations/,www.wellsfargo.com,known_official_ir_url_or_placeholder,false,candidate_unverified_event_identity,metadata_only,Candidate only; no broad crawling and no raw transcript/audio acquisition without explicit rights approval.
gs_2025_q4,GS,"The Goldman Sachs Group, Inc.",2025,Q4,https://www.goldmansachs.com/investor-relations/,www.goldmansachs.com,known_official_ir_url_or_placeholder,false,candidate_unverified_event_identity,metadata_only,Candidate only; no broad crawling and no raw transcript/audio acquisition without explicit rights approval.
ms_2025_q4,MS,Morgan Stanley,2025,Q4,https://www.morganstanley.com/about-us-ir,www.morganstanley.com,known_official_ir_url_or_placeholder,false,candidate_unverified_event_identity,metadata_only,Candidate only; no broad crawling and no raw transcript/audio acquisition without explicit rights approval.
bk_2025_q4,BK,The Bank of New York Mellon Corporation,2025,Q4,https://www.bny.com/corporate/global/en/investor-relations.html,www.bny.com,known_official_ir_url_or_placeholder,false,candidate_unverified_event_identity,metadata_only,Candidate only; no broad crawling and no raw transcript/audio acquisition without explicit rights approval.
stt_2025_q4,STT,State Street Corporation,2025,Q4,https://investors.statestreet.com/,investors.statestreet.com,known_official_ir_url_or_placeholder,false,candidate_unverified_event_identity,metadata_only,Candidate only; no broad crawling and no raw transcript/audio acquisition without explicit rights approval.
usb_2025_q4,USB,U.S. Bancorp,2025,Q4,https://ir.usbank.com/,ir.usbank.com,known_official_ir_url_or_placeholder,false,candidate_unverified_event_identity,metadata_only,Candidate only; no broad crawling and no raw transcript/audio acquisition without explicit rights approval.
pnc_2025_q4,PNC,"The PNC Financial Services Group, Inc.",2025,Q4,https://investor.pnc.com/,investor.pnc.com,known_official_ir_url_or_placeholder,false,candidate_unverified_event_identity,metadata_only,Candidate only; no broad crawling and no raw transcript/audio acquisition without explicit rights approval.
