candidate_id,case_id,ticker,fiscal_period,existing_suggested_label,weak_model_suggested_label,weak_model_confidence,disagreement_flag,review_priority,packet_file,your_label,rationale,done
sha256:6280f9db8a5cf0a58a47ba4fd,bac_2025_q4,BAC,2025 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:beffce9258c7e2f5cf2d2b58f,f_2025_q1,F,2025 Q1,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:bfee8ed2eed9cdfb49dd1a903,f_2025_q1,F,2025 Q1,management_hedging,management_hedging,0.62,false,high,data/review/packets/first100_batch_003_hedging_uncertainty.md,,,
sha256:b7a67307b7f84d57c1225b7e3,f_2025_q1,F,2025 Q1,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:3be1c839214db9717845ab783,jpm_2024_q1,JPM,2024 Q1,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:22f6d15b476296486432175b2,jpm_2024_q1,JPM,2024 Q1,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:3dda84e1254ac0f14a6c31fcc,jpm_2024_q1,JPM,2024 Q1,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:8eb03a8807ea7d5436044fbb8,jpm_2024_q1,JPM,2024 Q1,uncertainty,uncertainty,0.64,false,high,data/review/packets/first100_batch_003_hedging_uncertainty.md,,,
sha256:d19efe49c343c1f12fcb4e966,jpm_2024_q1,JPM,2024 Q1,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:34e83480a429cb517a5b60676,jpm_2024_q2,JPM,2024 Q2,analyst_pressure,analyst_pressure,0.66,false,high,data/review/packets/first100_batch_002_qa_friction.md,,,
sha256:36873c635c11003a4f70fa068,jpm_2024_q3,JPM,2024 Q3,analyst_pressure,analyst_pressure,0.66,false,high,data/review/packets/first100_batch_002_qa_friction.md,,,
sha256:bc2d33c456eac4181cacdedff,jpm_2024_q4,JPM,2024 Q4,analyst_pressure,analyst_pressure,0.66,false,high,data/review/packets/first100_batch_002_qa_friction.md,,,
sha256:52278bf12dadace260d107fa9,jpm_2025_q1,JPM,2025 Q1,analyst_pressure,analyst_pressure,0.66,false,high,data/review/packets/first100_batch_002_qa_friction.md,,,
sha256:acc4398049e29969397b4eda7,jpm_2025_q2,JPM,2025 Q2,analyst_pressure,analyst_pressure,0.66,false,high,data/review/packets/first100_batch_002_qa_friction.md,,,
sha256:8d4b06af9cee3b0b406e67fe8,jpm_2025_q3,JPM,2025 Q3,analyst_pressure,analyst_pressure,0.66,false,high,data/review/packets/first100_batch_002_qa_friction.md,,,
sha256:31a27048dfbe326d0df60e76e,jpm_2025_q4,JPM,2025 Q4,analyst_pressure,analyst_pressure,0.66,false,high,data/review/packets/first100_batch_002_qa_friction.md,,,
sha256:588b2d45301914dbdb54366b7,uber_2025_q4,UBER,2025 Q4,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:bb4ce4a3a0b3644be49361a53,uber_2025_q4,UBER,2025 Q4,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:b7dc5bd8dafc282382debb795,uber_2025_q4,UBER,2025 Q4,guidance_revision,guidance_revision,0.80,false,high,data/review/packets/first100_batch_001_guidance.md,,,
sha256:73acfb099b67714f2212c0e14,uber_2025_q4,UBER,2025 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:e3b78764f1e6a8b4e35983ff2,uber_2025_q4,UBER,2025 Q4,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:1e751763d10b07237ffdba9e7,uber_2025_q4,UBER,2025 Q4,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:3a72ec6741a7d7e08382f6fb8,uber_2025_q4,UBER,2025 Q4,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:d2488ae4a4a118a0920d938fb,uber_2025_q4,UBER,2025 Q4,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:744915300aff78f18da528809,bac_2025_q4,BAC,2025 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:4cab278c8a19bd0af467486cf,f_2025_q1,F,2025 Q1,management_hedging,management_hedging,0.62,false,high,data/review/packets/first100_batch_003_hedging_uncertainty.md,,,
sha256:961b96c98f3d5b598cdca8bad,f_2025_q1,F,2025 Q1,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:45886537aa607cfa37106198f,f_2025_q1,F,2025 Q1,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:3ffaac9999a4b7c0a5cff6ffb,jpm_2024_q1,JPM,2024 Q1,uncertainty,uncertainty,0.64,false,high,data/review/packets/first100_batch_003_hedging_uncertainty.md,,,
sha256:ecb99bca7c512010928cf01c5,jpm_2024_q1,JPM,2024 Q1,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:a662885c488b27104fb33ac70,jpm_2024_q1,JPM,2024 Q1,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:264465e0c3850264572b75c89,jpm_2024_q1,JPM,2024 Q1,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:fb6c51fcb120e646dcfd2a1d1,jpm_2024_q1,JPM,2024 Q1,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:6f922b4cb710aa656b8229403,jpm_2024_q2,JPM,2024 Q2,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:2db5951b10a4d52c5aa66b6aa,jpm_2024_q3,JPM,2024 Q3,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:e7926e74fcd11e455b3f12629,jpm_2024_q4,JPM,2024 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:ef9ed7be9088e6e4311c4a9b8,jpm_2025_q1,JPM,2025 Q1,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:d818836c3e7e94a76181d3898,jpm_2025_q2,JPM,2025 Q2,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:1814b0ed5620147a66fe472d1,jpm_2025_q3,JPM,2025 Q3,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:3cf99416aef5ff4f5c5106243,jpm_2025_q4,JPM,2025 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:f88bebcd6f230f1ff1bcba04f,uber_2025_q4,UBER,2025 Q4,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:bffe713abd38dc358c496cdfb,uber_2025_q4,UBER,2025 Q4,guidance_statement,guidance_statement,0.70,false,medium,data/review/packets/first100_batch_001_guidance.md,,,
sha256:6f6ea8782ccd49eb9ee4136c4,uber_2025_q4,UBER,2025 Q4,guidance_revision,guidance_revision,0.80,false,high,data/review/packets/first100_batch_001_guidance.md,,,
sha256:d34405f119a973298a63bdb96,uber_2025_q4,UBER,2025 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:63d6853c837a88afd9221d307,bac_2025_q4,BAC,2025 Q4,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:d6f455336410f9121893e6588,cat_2025_q2,CAT,2025 Q2,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:bbe9994b1541414e2e4be9fa4,f_2025_q2,F,2025 Q2,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
sha256:14d7de0ef022f19cde5b379f9,f_2025_q3,F,2025 Q3,neutral/no_signal,neutral/no_signal,0.25,false,low,data/review/packets/first100_batch_005_neutral_suppression.md,,,
