candidate_id,source,source_row,case_id,weak_label,confidence,reason,text,noise_flag,duplicate_of
candidate_0067,data/nlp_research/candidate_review_priority_30.csv,0,sample_sales,neutral,0.0,,and how teams usually evaluate the workflow.,,
candidate_0025,data/nlp_research/candidate_review_priority_30.csv,1,sample_emotion_cases,neutral,0.0,,We need the revised order form by end of day because the customer deadline is before launch tomorrow.,,
candidate_0070,data/nlp_research/candidate_review_priority_30.csv,2,sample_sales,risk_friction,0.0,expensive; cost; seat cost; intercom; zendesk,"The seat cost feels expensive versus Zendesk, and the team is also comparing you to Intercom.",,
candidate_0071,data/nlp_research/candidate_review_priority_30.csv,3,sample_sales,risk_friction,0.0,expensive; cost; seat cost; zendesk,The seat cost feels expensive versus Zendesk,,
candidate_0034,data/nlp_research/candidate_review_priority_30.csv,4,sales_calls_realistic,risk_friction,0.0,price; intercom; zendesk,but the enterprise price is higher than Zendesk and Intercom,,
candidate_0054,data/nlp_research/candidate_review_priority_30.csv,5,sample_account_management,risk_friction,0.0,renewal; still dealing with; unresolved,"Our renewal is in about 45 days, and we're still dealing with two unresolved onboarding issues from the launch.",,
candidate_0059,data/nlp_research/candidate_review_priority_30.csv,6,sample_account_management,risk_friction,0.0,cut seats; look at another vendor; renewal,"But if these issues stay open into renewal, we may cut seats, delay the renewal, or look at another vendor.",,
candidate_0061,data/nlp_research/candidate_review_priority_30.csv,7,sample_account_management,risk_friction,0.0,again; downgrade; switch,"Okay, but if this slips again finance will ask whether we should downgrade or switch.",,
candidate_0062,data/nlp_research/candidate_review_priority_30.csv,8,sample_account_management,risk_friction,0.0,again; downgrade; switch,but if this slips again finance will ask whether we should downgrade or switch.,,
candidate_0089,data/nlp_research/candidate_review_priority_30.csv,9,sample_support,risk_friction,0.0,escalate; manager; unresolved,and if this is still unresolved today I'll escalate it to your manager and dispute the charge.,,
candidate_0027,data/nlp_research/candidate_review_priority_30.csv,10,account_management_realistic,risk_friction,0.0,renewal; unresolved,"Our renewal is 30 days out, two onboarding issues are still unresolved",,
candidate_0050,data/nlp_research/candidate_review_priority_30.csv,11,support_tickets_realistic,risk_friction,0.0,again; escalate,and if this slips again we will escalate the dispute.,,
candidate_0056,data/nlp_research/candidate_review_priority_30.csv,12,sample_account_management,risk_friction,0.0,still dealing with; unresolved,and we're still dealing with two unresolved onboarding issues from the launch.,,
candidate_0033,data/nlp_research/candidate_review_priority_30.csv,13,sales_calls_realistic,risk_friction,0.0,price; intercom; zendesk,"We're interested, but the enterprise price is higher than Zendesk and Intercom, and I still do not know what happens after the pilot.",,
candidate_0039,data/nlp_research/candidate_review_priority_30.csv,14,sales_calls_realistic,risk_friction,0.0,discount,"and discount range, procurement will not move this week.",,
candidate_0042,data/nlp_research/candidate_review_priority_30.csv,15,support_tickets_realistic,risk_friction,0.0,frustrated,I'm frustrated that invoice 8842 still shows the wrong total and nobody has confirmed when the credit will post.,,
candidate_0084,data/nlp_research/candidate_review_priority_30.csv,16,sample_support,risk_friction,0.0,another team,Refund timing sits with another team,,
candidate_0085,data/nlp_research/candidate_review_priority_30.csv,17,sample_support,risk_friction,0.0,please refer to,so please refer to the billing FAQ for now while we look into it on our side.,,
candidate_0044,data/nlp_research/candidate_review_priority_30.csv,18,support_tickets_realistic,uncertainty_hedging,0.0,for now,"Billing is still reviewing it, so please check the help center article for now while we wait for their response.",,
candidate_0046,data/nlp_research/candidate_review_priority_30.csv,19,support_tickets_realistic,uncertainty_hedging,0.0,for now,so please check the help center article for now while we wait for their response.,,
candidate_0029,data/nlp_research/candidate_review_priority_30.csv,20,account_management_realistic,opportunity_commitment,0.0,send; i own; recovery plan; renewal review,I own the recovery plan and will send named owners this afternoon with a renewal review for next Tuesday.,,
