paper_id,title,category,earnings_call_sentiment_signal_extraction,transcript_first_nlp,multimodal_conversation_intelligence,rag_semantic_retrieval,evaluation_weak_label_active_learning,scaling_training_roadmap,future_ai_tools,implementation_status,confidence
first_law_complexodynamics,The First Law of Complexodynamics,compression_mdl_complexity,yes,yes,indirect,indirect,yes,indirect,Compression ratio feature for prepared remarks vs Q&A; Novelty/boilerplate score for management language; Complexity-over-call timeline,research_only,high
unreasonable_effectiveness_rnns,The Unreasonable Effectiveness of Recurrent Neural Networks,sequence_models,yes,yes,indirect,indirect,yes,yes,Character/word baseline language model probes; Sequence continuity checks; Transcript anomaly examples for demos,research_only,high
understanding_lstm_networks,Understanding LSTM Networks,sequence_models,yes,yes,indirect,indirect,yes,yes,Section memory features; Long-range callback detector; Guidance mention carry-forward map,research_only,high
rnn_regularization,Recurrent Neural Network Regularization,sequence_models,yes,yes,indirect,indirect,yes,yes,Regularized local baseline checklist; Overfit warning report for optional classifiers,research_only,high
keeping_neural_networks_simple_mdl_weights,Keeping Neural Networks Simple by Minimizing the Description Length of the Weights,compression_mdl_complexity,yes,yes,indirect,indirect,yes,indirect,Model complexity budget; Baseline selection rubric; Description-length-inspired error analysis,research_only,high
pointer_networks,Pointer Networks,attention_transformers,yes,yes,indirect,yes,indirect,indirect,Pointer-style evidence selector; Quote span candidate ranker; Transcript segment pointer UI,research_only,high
imagenet_classification_deep_cnn,ImageNet Classification with Deep Convolutional Neural Networks,vision_multimodal,indirect,indirect,yes,indirect,indirect,indirect,Visual frame feature candidate registry; Multimodal benchmark readiness checklist,research_only,high
order_matters_seq2seq_sets,Order Matters: Sequence to Sequence for Sets,sequence_models,yes,yes,indirect,indirect,yes,yes,Permutation stress test for chunk rankers; Set-vs-sequence evaluation mode,research_only,high
gpipe_scaling_microbatch_pipeline_parallelism,GPipe: Easy Scaling with Micro-Batch Pipeline Parallelism,scaling_systems,indirect,yes,indirect,indirect,yes,yes,Compute readiness checklist; Training escalation gates; Optional large-model experiment plan,research_only,high
deep_residual_learning_image_recognition,Deep Residual Learning for Image Recognition,vision_multimodal,indirect,indirect,yes,indirect,indirect,indirect,Additive evidence scoring layers; Residual-style model sidecars that preserve deterministic output,research_only,high
multi_scale_context_aggregation_dilated_convolutions,Multi-Scale Context Aggregation by Dilated Convolutions,vision_multimodal,indirect,indirect,yes,indirect,indirect,indirect,Local/medium/global transcript window features; Evidence span context ladder,research_only,high
neural_message_passing_quantum_chemistry,Neural Message Passing for Quantum Chemistry,graph_relational_learning,yes,yes,yes,yes,indirect,indirect,Speaker-turn graph scaffold; Question-answer relation graph; Company/topic graph features,research_only,high
attention_is_all_you_need,Attention Is All You Need,attention_transformers,yes,yes,indirect,yes,indirect,indirect,Attention-inspired chunk reranker; Transformer baseline experiment; Long-context evidence packing strategy,research_only,high
nmt_jointly_learning_align_translate,Neural Machine Translation by Jointly Learning to Align and Translate,attention_transformers,yes,yes,indirect,yes,indirect,indirect,Signal-to-evidence alignment report; Attention-style quote support scoring,research_only,high
identity_mappings_deep_residual_networks,Identity Mappings in Deep Residual Networks,representation_learning,indirect,yes,indirect,indirect,indirect,yes,Non-destructive scoring pipeline notes; Sidecar ablation protocol,research_only,high
simple_module_relational_reasoning,A Simple Neural Network Module for Relational Reasoning,graph_relational_learning,yes,yes,yes,yes,indirect,indirect,Speaker relation features; Question-answer consistency checker; Entity relation evidence table,research_only,high
variational_lossy_autoencoder,Variational Lossy Autoencoder,representation_learning,indirect,yes,indirect,indirect,indirect,yes,Lossy summary audit; Latent topic sketch experiments; Compression-vs-evidence preservation rubric,research_only,high
relational_recurrent_neural_networks,Relational Recurrent Neural Networks,reasoning_memory,yes,yes,yes,yes,indirect,indirect,Multi-thread call state tracker; Topic memory slots; Q&A callback detector,research_only,high
coffee_automaton_complexity_closed_systems,Quantifying the Rise and Fall of Complexity in Closed Systems: The Coffee Automaton,compression_mdl_complexity,yes,yes,indirect,indirect,yes,indirect,Signal density curve; Prepared-to-Q&A complexity shift metric; Boilerplate decay detector,research_only,high
neural_turing_machines,Neural Turing Machines,reasoning_memory,yes,yes,yes,yes,indirect,indirect,Evidence memory store; Transcript scratchpad interface; Memory-read audit log,research_only,high
deep_speech_2_end_to_end_speech_recognition,Deep Speech 2: End-to-End Speech Recognition in English and Mandarin,speech_audio,indirect,yes,yes,indirect,indirect,indirect,ASR provenance manifest; WER/proxy quality gate; Prosody-aligned transcript feature roadmap,research_only,high
scaling_laws_neural_language_models,Scaling Laws for Neural Language Models,scaling_systems,indirect,yes,indirect,indirect,yes,yes,Transcript-count gates; Learning curve dashboard; Compute/data/model decision rubric,research_only,high
tutorial_minimum_description_length_principle,A Tutorial Introduction to the Minimum Description Length Principle,evaluation_theory,yes,yes,indirect,indirect,yes,indirect,Model selection notes; Weak-label complexity penalty; Evidence-quality vs model-complexity dashboard,research_only,high
machine_super_intelligence,Machine Super Intelligence,evaluation_theory,yes,yes,indirect,indirect,yes,indirect,Capability-claim checklist; AI tool risk register; Evaluation boundary statement,research_only,medium
kolmogorov_complexity_algorithmic_randomness,Kolmogorov Complexity and Algorithmic Randomness,compression_mdl_complexity,yes,yes,indirect,indirect,yes,indirect,Boilerplate/compressibility research note; Randomness-vs-signal caveat in feature docs,research_only,medium
stanford_cs231n_convolutional_neural_networks,Stanford's CS231n Convolutional Neural Networks for Visual Recognition,vision_multimodal,indirect,indirect,yes,indirect,indirect,indirect,Multimodal learning syllabus; Vision feature audit checklist; Model-card review guide,research_only,medium
