name,domain,modality,task,source_type,license_status,allowed_use,benchmark_only_default,training_allowed,signal_engine_relevance,dating_relevance,affective_relevance,risk_level,notes
FinBERT,finance,text,finance text classification,model,license review required,benchmark comparison only,true,false,finance baseline comparison; no trading or alpha claims,not_relevant,not_relevant,medium,External model; verify license and task fit before any use.
FinGPT,finance,text,finance LLM research,model,license review required,research comparison only,true,false,finance reviewer benchmark only; no trading or alpha claims,not_relevant,not_relevant,medium,External ecosystem; not canonical and not approved for production.
FinanceBench,finance,text,financial QA benchmark,benchmark,source-specific terms review required,benchmark evaluation only,true,false,retrieval and faithfulness benchmark; no trading or alpha claims,not_relevant,not_relevant,medium,External benchmark; keep source documents under original terms.
FinMTEB,finance,text,finance embedding benchmark,benchmark,source-specific terms review required,retrieval benchmark comparison only,true,false,retrieval benchmark only; no trading or alpha claims,not_relevant,not_relevant,low,External benchmark metadata reference.
FinBen,finance,text,finance language benchmark,benchmark,source-specific terms review required,benchmark comparison only,true,false,finance benchmark only; no trading or alpha claims,not_relevant,not_relevant,medium,External benchmark suite; inspect component licenses.
FLaME,finance,text,financial language model evaluation,benchmark,source-specific terms review required,benchmark comparison only,true,false,finance evaluation reference; no trading or alpha claims,not_relevant,not_relevant,medium,External evaluation reference; no production approval implied.
Open FinLLM Leaderboard,finance,text,finance model leaderboard,benchmark,source-specific terms review required,leaderboard reference only,true,false,model comparison context; no trading or alpha claims,not_relevant,not_relevant,low,Reference only; leaderboard rank is not implementation evidence.
ECTSum,finance,text,earnings-call summarization,dataset,license review required,summarization benchmark only,true,false,earnings-call summarization benchmark; no trading or alpha claims,not_relevant,not_relevant,medium,External dataset; do not merge labels into Signal Engine truth sets.
Financial PhraseBank,finance,text,financial sentiment phrases,dataset,license review required,text classification benchmark only,true,false,lexical tone benchmark; no trading or alpha claims,not_relevant,not_relevant,medium,External dataset; license review required before local use.
FiQA,finance,text,financial QA and sentiment,dataset,license review required,financial QA benchmark only,true,false,finance QA benchmark; no trading or alpha claims,not_relevant,not_relevant,medium,External dataset; review redistribution and task terms.
FinQA,finance,text,financial numerical reasoning,dataset,license review required,numerical reasoning benchmark only,true,false,numeric reasoning benchmark; no trading or alpha claims,not_relevant,not_relevant,medium,External dataset; no automatic benchmark-to-product transfer.
ConvFinQA,finance,text,conversational financial reasoning,dataset,license review required,conversational reasoning benchmark only,true,false,conversational finance benchmark; no trading or alpha claims,not_relevant,not_relevant,medium,External dataset; inspect source-document rights.
Loughran-McDonald,finance,text,financial lexicon,lexicon,license review required,deterministic lexical benchmark only,true,false,lexical financial tone reference; no trading or alpha claims,not_relevant,not_relevant,low,Dictionary reference; document license before bundling assets.
GoEmotions,affective,text,text affect annotation reference,dataset,license review required,label taxonomy benchmark only,true,false,benchmark caution only; no trading or alpha claims,opt-in consent and privacy required for any user-owned assistive comparison,text cue benchmark only,medium,Annotator labels are not internal-state truth and must stay benchmark-only.
MELD,affective,multimodal,dialogue affect benchmark,dataset,license review required,dialogue benchmark only,true,false,not_relevant,opt-in consent and privacy required for any assistive comparison,multimodal cue benchmark only,high,High risk: media/dialogue labels can be over-read; license and consent constraints require review.
CMU-MOSEI,affective,multimodal,multimodal sentiment benchmark,dataset,license review required,multimodal benchmark only,true,false,not_relevant,opt-in consent and privacy required for any assistive comparison,multimodal cue benchmark only,high,High risk: benchmark labels must not become claims about internal state.
CMU-MOSI,affective,multimodal,multimodal sentiment benchmark,dataset,license review required,multimodal benchmark only,true,false,not_relevant,opt-in consent and privacy required for any assistive comparison,multimodal cue benchmark only,high,High risk: small benchmark with transfer and media-rights caveats.
IEMOCAP,affective,multimodal,speech and dialogue affect benchmark,dataset,license review required,speech/dialogue benchmark only,true,false,not_relevant,opt-in consent and privacy required for any assistive comparison,audio and video cue benchmark only,high,High risk: license and participant-consent constraints must be reviewed.
