rank,ticker,company_name,exchange,sector,industry,selection_reason,exchange_status,notes
1,JPM,JPMorgan Chase & Co.,NYSE,banking,money-center banking,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
2,BAC,Bank of America Corporation,NYSE,banking,money-center banking,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
3,C,Citigroup Inc.,NYSE,banking,money-center banking,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
4,WFC,Wells Fargo & Company,NYSE,banking,diversified banking,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
5,GS,"The Goldman Sachs Group, Inc.",NYSE,banking,investment banking,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
6,MS,Morgan Stanley,NYSE,banking,investment banking,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
7,BK,The Bank of New York Mellon Corporation,NYSE,banking,custody banking,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
8,STT,State Street Corporation,NYSE,banking,custody banking,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
9,USB,U.S. Bancorp,NYSE,banking,regional banking,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
10,PNC,"The PNC Financial Services Group, Inc.",NYSE,banking,regional banking,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
11,TFC,Truist Financial Corporation,NYSE,banking,regional banking,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
12,COF,Capital One Financial Corporation,NYSE,banking,consumer finance,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
13,AXP,American Express Company,NYSE,payments,card network and consumer finance,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
14,V,Visa Inc.,NYSE,payments,payments network,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
15,MA,Mastercard Incorporated,NYSE,payments,payments network,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
16,FIS,"Fidelity National Information Services, Inc.",NYSE,payments,financial technology payments,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
17,GPN,Global Payments Inc.,NYSE,payments,merchant acquiring payments,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
18,BLK,"BlackRock, Inc.",NYSE,financial_infrastructure,asset management,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
19,BX,Blackstone Inc.,NYSE,financial_infrastructure,alternative asset management,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
20,SCHW,The Charles Schwab Corporation,NYSE,financial_infrastructure,brokerage and wealth platform,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
21,ICE,"Intercontinental Exchange, Inc.",NYSE,financial_infrastructure,exchange and clearing infrastructure,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
22,SPGI,S&P Global Inc.,NYSE,financial_infrastructure,rating agencies and market data,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
23,MCO,Moody's Corporation,NYSE,financial_infrastructure,rating agencies and analytics,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
24,AON,Aon plc,NYSE,insurance,insurance brokerage,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
25,AIG,"American International Group, Inc.",NYSE,insurance,property and casualty insurance,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
26,MET,"MetLife, Inc.",NYSE,insurance,life insurance,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
27,PRU,"Prudential Financial, Inc.",NYSE,insurance,life insurance and retirement,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
28,TRV,"The Travelers Companies, Inc.",NYSE,insurance,property and casualty insurance,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
29,CB,Chubb Limited,NYSE,insurance,property and casualty insurance,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
30,JNJ,Johnson & Johnson,NYSE,healthcare,pharmaceuticals and medtech,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
31,LLY,Eli Lilly and Company,NYSE,healthcare,pharmaceuticals,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
32,MRK,"Merck & Co., Inc.",NYSE,healthcare,pharmaceuticals,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
33,PFE,Pfizer Inc.,NYSE,healthcare,pharmaceuticals,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
34,UNH,UnitedHealth Group Incorporated,NYSE,healthcare,managed care,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
35,CVS,CVS Health Corporation,NYSE,healthcare,healthcare services and pharmacy,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
36,ABT,Abbott Laboratories,NYSE,healthcare,medical devices and diagnostics,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
37,BMY,Bristol Myers Squibb Company,NYSE,healthcare,pharmaceuticals,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
38,MDT,Medtronic plc,NYSE,healthcare,medical devices,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
39,TMO,Thermo Fisher Scientific Inc.,NYSE,healthcare,life sciences tools,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
40,DHR,Danaher Corporation,NYSE,healthcare,life sciences tools,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
41,BDX,"Becton, Dickinson and Company",NYSE,healthcare,medical devices,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
42,CI,The Cigna Group,NYSE,healthcare,managed care,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
43,HCA,"HCA Healthcare, Inc.",NYSE,healthcare,hospitals,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
44,SYK,Stryker Corporation,NYSE,healthcare,medical devices,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
45,XOM,Exxon Mobil Corporation,NYSE,energy,integrated oil and gas,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
46,CVX,Chevron Corporation,NYSE,energy,integrated oil and gas,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
47,COP,ConocoPhillips,NYSE,energy,exploration and production,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
48,SLB,SLB,NYSE,energy,oilfield services,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
49,HAL,Halliburton Company,NYSE,energy,oilfield services,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
50,EOG,"EOG Resources, Inc.",NYSE,energy,exploration and production,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
51,OXY,Occidental Petroleum Corporation,NYSE,energy,exploration and production,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
52,MPC,Marathon Petroleum Corporation,NYSE,energy,refining and marketing,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
53,PSX,Phillips 66,NYSE,energy,refining and marketing,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
54,VLO,Valero Energy Corporation,NYSE,energy,refining and marketing,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
55,BA,The Boeing Company,NYSE,aerospace,commercial aerospace,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
56,RTX,RTX Corporation,NYSE,aerospace,aerospace and defense,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
57,LMT,Lockheed Martin Corporation,NYSE,aerospace,defense aerospace,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
58,NOC,Northrop Grumman Corporation,NYSE,aerospace,defense aerospace,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
59,GD,General Dynamics Corporation,NYSE,aerospace,defense aerospace,NYSE large-cap/strategic coverage across required Signal Engine acquisition sectors,verified_sec_exchange_metadata_2026-05-24,Included for rights-gated acquisition; raw assets remain Desktop-only and fail closed unless explicitly approved.
