candidate_id,case_id,ticker,fiscal_period,suggested_label,retrieval_object_id,retrieval_object_type,retrieval_priority,evidence_object_id,chunk_id,source_sha256,normalized_transcript_hash,provenance_hash,raw_text_returned
sha256:6280f9db8a5cf0a58a47ba4fd,bac_2025_q4,BAC,2025 Q4,neutral/no_signal,evidence_e4ea6676da78e9c9,evidence_object,1,evidence_e4ea6676da78e9c9,chunk_80b1bfb135d3c002,sha256:3f68b8abe347f2eddb1a70e836eee558d4d39e41871c1773daf4cee7752e58da,sha256:bdaaaa1ad7c3a4f1a3b35b36e96fe0d24ce0eed1e7491cd5becadc2d301f903f,sha256:6dfd49f09ee877108ddd350b39348f7ade7c1eaa4e4b2761a08d8ad8d9b56818,false
sha256:beffce9258c7e2f5cf2d2b58f,f_2025_q1,F,2025 Q1,guidance_statement,evidence_ca5c334eabf43b76,evidence_object,1,evidence_ca5c334eabf43b76,chunk_639d047f6bc53757,sha256:34cfd9da1094797400fddc5cba2ba0045e3d1920723ebbd7b4628c0d07ecf32f,sha256:ef362fc48eadfe886b4476ebd1930dab8ee0dccc73146ce53503da6c2ba271a9,sha256:c7247ed6d9f551c72b729c8c93e4a60a2777865011e82757aeaedcf1ad520bcc,false
sha256:bfee8ed2eed9cdfb49dd1a903,f_2025_q1,F,2025 Q1,management_hedging,evidence_e2cfcf3f39ff87b6,evidence_object,1,evidence_e2cfcf3f39ff87b6,chunk_ce5ae796123f6b93,sha256:34cfd9da1094797400fddc5cba2ba0045e3d1920723ebbd7b4628c0d07ecf32f,sha256:ef362fc48eadfe886b4476ebd1930dab8ee0dccc73146ce53503da6c2ba271a9,sha256:ce18532f380406fea0178326bb66af2d3d75dbfbc1aacf4885e08791668d2454,false
sha256:b7a67307b7f84d57c1225b7e3,f_2025_q1,F,2025 Q1,guidance_statement,evidence_f9e163da78e27c77,evidence_object,1,evidence_f9e163da78e27c77,chunk_9b4ade2607aaefb1,sha256:34cfd9da1094797400fddc5cba2ba0045e3d1920723ebbd7b4628c0d07ecf32f,sha256:ef362fc48eadfe886b4476ebd1930dab8ee0dccc73146ce53503da6c2ba271a9,sha256:183c2139b21261881d371b06e9cfaff4fef507273b6c48036a39218b844ff734,false
sha256:3be1c839214db9717845ab783,jpm_2024_q1,JPM,2024 Q1,guidance_statement,evidence_0d2ac3b9e4a65be8,evidence_object,1,evidence_0d2ac3b9e4a65be8,chunk_846b914c9a8700b0,sha256:4ecc3387f5c6a8c23276665573381fdef37b403f0c73d864b0fd79b285cf79d7,sha256:fb1944d651d375dbb7832b50a5cbf6dead50ab02a0f10edc647b350d9c3a6f08,sha256:0c3d80f0546b0740a6e1ddb2d5cb65c3d1772bd314840e9a5bba168744f88f12,false
sha256:22f6d15b476296486432175b2,jpm_2024_q1,JPM,2024 Q1,guidance_statement,evidence_764d9cc32c1d458d,evidence_object,1,evidence_764d9cc32c1d458d,chunk_47355238016183b3,sha256:4ecc3387f5c6a8c23276665573381fdef37b403f0c73d864b0fd79b285cf79d7,sha256:fb1944d651d375dbb7832b50a5cbf6dead50ab02a0f10edc647b350d9c3a6f08,sha256:bb9f91ca901f20edc88e7ac538e2a557d073e5c2a924cd0aa5cf692ceedcb59c,false
sha256:3dda84e1254ac0f14a6c31fcc,jpm_2024_q1,JPM,2024 Q1,guidance_statement,evidence_85f40c63ee268b12,evidence_object,1,evidence_85f40c63ee268b12,chunk_3269e1a6503e4e30,sha256:4ecc3387f5c6a8c23276665573381fdef37b403f0c73d864b0fd79b285cf79d7,sha256:fb1944d651d375dbb7832b50a5cbf6dead50ab02a0f10edc647b350d9c3a6f08,sha256:031a5398bd27a301db997e5fa7ecf8d6681c7c17a83ded5ef9d8da779dd0148e,false
sha256:8eb03a8807ea7d5436044fbb8,jpm_2024_q1,JPM,2024 Q1,uncertainty,evidence_9a4608fc0e8d1906,evidence_object,1,evidence_9a4608fc0e8d1906,chunk_ff07046c90486701,sha256:4ecc3387f5c6a8c23276665573381fdef37b403f0c73d864b0fd79b285cf79d7,sha256:fb1944d651d375dbb7832b50a5cbf6dead50ab02a0f10edc647b350d9c3a6f08,sha256:1fd0e960ad517fbcf55da9dcbdc3828314a3000d8d993b2c267c1dc5cae8f473,false
sha256:d19efe49c343c1f12fcb4e966,jpm_2024_q1,JPM,2024 Q1,guidance_statement,evidence_a25ce81d8ee3dccd,evidence_object,1,evidence_a25ce81d8ee3dccd,chunk_2beb3e824425184b,sha256:4ecc3387f5c6a8c23276665573381fdef37b403f0c73d864b0fd79b285cf79d7,sha256:fb1944d651d375dbb7832b50a5cbf6dead50ab02a0f10edc647b350d9c3a6f08,sha256:403ae3c5653970773d63ed16c5d498f34fe81f16461f808f7eb4dbec16007f01,false
sha256:34e83480a429cb517a5b60676,jpm_2024_q2,JPM,2024 Q2,analyst_pressure,evidence_4020d457eb1abc6a,evidence_object,1,evidence_4020d457eb1abc6a,chunk_2e63d1dac61177da,sha256:da03ff9709cda967dc85fec54235bd1a2f97682fa5b3b236e084bbdcf8151585,sha256:4fbf0ef593a6b1b822fa118d6b245f0b184ab7f65f7d090e943f427016c5e647,sha256:e63b39188a85f6b3b8d3b3cac50938a00a5a8233aeb49024ed0b87d109479811,false
