case_id,ticker,company_name,fiscal_year,fiscal_quarter,target_forms,sec_company_ref,accession_number,filing_url,item_202_or_exhibit_991,rights_status,blocked_reason,notes
jpm_2025_q4,JPM,JPMorgan Chase & Co.,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/JPM/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
bac_2025_q4,BAC,Bank of America Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/BAC/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
c_2025_q4,C,Citigroup Inc.,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/C/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
wfc_2025_q4,WFC,Wells Fargo & Company,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/WFC/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
gs_2025_q4,GS,"The Goldman Sachs Group, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/GS/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
ms_2025_q4,MS,Morgan Stanley,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/MS/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
bk_2025_q4,BK,The Bank of New York Mellon Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/BK/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
stt_2025_q4,STT,State Street Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/STT/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
usb_2025_q4,USB,U.S. Bancorp,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/USB/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
pnc_2025_q4,PNC,"The PNC Financial Services Group, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/PNC/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
tfc_2025_q4,TFC,Truist Financial Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/TFC/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
cof_2025_q4,COF,Capital One Financial Corporation,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/COF/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
axp_2025_q4,AXP,American Express Company,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/AXP/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
v_2025_q4,V,Visa Inc.,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/V/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
ma_2025_q4,MA,Mastercard Incorporated,2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/MA/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
fis_2025_q4,FIS,"Fidelity National Information Services, Inc.",2025,Q4,8-K;10-Q;10-K,sec-edgar://metadata-first/FIS/2025/Q4,,,unknown_metadata_pending,metadata_only,sec_metadata_only,SEC metadata-first target row; filing body and exhibit downloads disabled by default.
