tier,case_id,ticker,company_name,fiscal_year,quarter,priority,notes
1,NVDA_2026_Q1,NVDA,"NVIDIA Corporation",2026,Q1,P1,Tier 1 deterministic acquisition target
1,NVDA_2025_Q4,NVDA,"NVIDIA Corporation",2025,Q4,P1,Tier 1 deterministic acquisition target
1,NVDA_2025_Q3,NVDA,"NVIDIA Corporation",2025,Q3,P1,Tier 1 deterministic acquisition target
1,NVDA_2025_Q2,NVDA,"NVIDIA Corporation",2025,Q2,P1,Tier 1 deterministic acquisition target
1,MSFT_2026_Q1,MSFT,"Microsoft Corporation",2026,Q1,P1,Tier 1 deterministic acquisition target
1,MSFT_2025_Q4,MSFT,"Microsoft Corporation",2025,Q4,P1,Tier 1 deterministic acquisition target
1,MSFT_2025_Q3,MSFT,"Microsoft Corporation",2025,Q3,P1,Tier 1 deterministic acquisition target
1,MSFT_2025_Q2,MSFT,"Microsoft Corporation",2025,Q2,P1,Tier 1 deterministic acquisition target
1,GOOGL_2026_Q1,GOOGL,"Alphabet Inc.",2026,Q1,P1,Tier 1 deterministic acquisition target
1,GOOGL_2025_Q4,GOOGL,"Alphabet Inc.",2025,Q4,P1,Tier 1 deterministic acquisition target
1,GOOGL_2025_Q3,GOOGL,"Alphabet Inc.",2025,Q3,P1,Tier 1 deterministic acquisition target
1,GOOGL_2025_Q2,GOOGL,"Alphabet Inc.",2025,Q2,P1,Tier 1 deterministic acquisition target
1,AMZN_2026_Q1,AMZN,"Amazon.com, Inc.",2026,Q1,P1,Tier 1 deterministic acquisition target
1,AMZN_2025_Q4,AMZN,"Amazon.com, Inc.",2025,Q4,P1,Tier 1 deterministic acquisition target
1,AMZN_2025_Q3,AMZN,"Amazon.com, Inc.",2025,Q3,P1,Tier 1 deterministic acquisition target
1,AMZN_2025_Q2,AMZN,"Amazon.com, Inc.",2025,Q2,P1,Tier 1 deterministic acquisition target
1,META_2026_Q1,META,"Meta Platforms, Inc.",2026,Q1,P1,Tier 1 deterministic acquisition target
1,META_2025_Q4,META,"Meta Platforms, Inc.",2025,Q4,P1,Tier 1 deterministic acquisition target
1,META_2025_Q3,META,"Meta Platforms, Inc.",2025,Q3,P1,Tier 1 deterministic acquisition target
1,META_2025_Q2,META,"Meta Platforms, Inc.",2025,Q2,P1,Tier 1 deterministic acquisition target
1,AAPL_2026_Q1,AAPL,"Apple Inc.",2026,Q1,P1,Tier 1 deterministic acquisition target
