case_id,ticker,company_name,asset_type,local_path,sha256,source_url,provenance_path,rights_status,eval_allowed,commit_allowed,training_allowed,approval_ref,registered_timestamp,notes
bac_2025_q4,BAC,Bank of America Corporation,transcript,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/transcript/bac_2025_q4_parsed.txt,sha256:3f68b8abe347f2eddb1a70e836eee558d4d39e41871c1773daf4cee7752e58da,https://d1io3yog0oux5.cloudfront.net/_340970fe090ca286d9efb02a861db84d/bankofamerica/db/775/10471/webcast_transcript/2026-01-15+BAC+4Q+Earnings+Call_ADA.pdf,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/transcript/provenance.json,safe_to_download,true,false,false,user_authorized_project_assessment,2026-05-30T21:06:40+00:00,Registered by path and sha256 only; raw transcript file remains in Desktop workspace.
cat_2024_q4,CAT,Caterpillar Inc.,transcript,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2024_q4/transcript/cat_2024_q4_parsed.txt,sha256:943b0a15942e31440425cfc56a43cf41774314d6669205b87708a32fe5615087,https://s25.q4cdn.com/358376879/files/doc_financials/2024/q4/4Q-2024-Caterpillar-Inc-Earnings-Call-Transcript_1-30-2025_vF.pdf,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2024_q4/transcript/provenance.json,safe_to_download,true,false,false,user_authorized_project_assessment,2026-05-30T21:06:39+00:00,Registered by path and sha256 only; raw transcript file remains in Desktop workspace.
cat_2025_q1,CAT,Caterpillar Inc.,transcript,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2025_q1/transcript/cat_2025_q1_parsed.txt,sha256:8924d13b82fefadc3f0912b4631c0540d7bd18ad096de44b4a278d166d49c428,https://s25.q4cdn.com/358376879/files/doc_financials/2025/q1/1Q-2025-Caterpillar-Inc-Earnings-Call-Transcript_4-30-2025_vF.pdf,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2025_q1/transcript/provenance.json,safe_to_download,true,false,false,user_authorized_project_assessment,2026-05-30T21:06:39+00:00,Registered by path and sha256 only; raw transcript file remains in Desktop workspace.
cat_2025_q2,CAT,Caterpillar Inc.,transcript,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2025_q2/transcript/cat_2025_q2_parsed.txt,sha256:245d279780d60d7505e1ba4dfb9f31ceba34f28722aa4577aa085c31148f850a,https://s25.q4cdn.com/358376879/files/doc_financials/2025/q2/2Q-2025-Caterpillar-Inc-Earnings-Call-Transcript_8-5-2025.pdf,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2025_q2/transcript/provenance.json,safe_to_download,true,false,false,user_authorized_project_assessment,2026-05-30T21:06:38+00:00,Registered by path and sha256 only; raw transcript file remains in Desktop workspace.
cat_2025_q3,CAT,Caterpillar Inc.,transcript,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2025_q3/transcript/cat_2025_q3_parsed.txt,sha256:afbda8b53586966dc8df34306d4f193c30bdebf0f264a26f81e1f8045349878a,https://s25.q4cdn.com/358376879/files/doc_financials/2025/q3/3Q-2025-Caterpillar-Inc-Earnings-Call-Transcript_-10-29-2025.pdf,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2025_q3/transcript/provenance.json,safe_to_download,true,false,false,user_authorized_project_assessment,2026-05-30T21:06:37+00:00,Registered by path and sha256 only; raw transcript file remains in Desktop workspace.
cat_2025_q4,CAT,Caterpillar Inc.,transcript,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2025_q4/transcript/cat_2025_q4_parsed.txt,sha256:23848e055532697dcade55635d015faab05dae68ebde2dc50d098383d738e6a7,https://s25.q4cdn.com/358376879/files/doc_financials/2025/q4/4Q-2025-Caterpillar-Inc-Earnings-Conference-Call_Transcript.pdf,/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2025_q4/transcript/provenance.json,safe_to_download,true,false,false,user_authorized_project_assessment,2026-05-30T21:06:37+00:00,Registered by path and sha256 only; raw transcript file remains in Desktop workspace.
hd_2024_q1,HD,The Home Depot Inc.,transcript,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2024_q1/transcript/hd_2024_q1_parsed.txt,sha256:b48b9ec8389b99458d711c7cba456aea95e5c70498700269b2aa04a90f8283ac,https://ir.homedepot.com/~/media/Files/H/HomeDepot-IR/documents/hd-1q24-transcript.pdf,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2024_q1/transcript/provenance.json,safe_to_download,true,false,false,user_authorized_project_assessment,2026-05-30T21:06:32+00:00,Registered by path and sha256 only; raw transcript file remains in Desktop workspace.
hd_2024_q2,HD,The Home Depot Inc.,transcript,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2024_q2/transcript/hd_2024_q2_parsed.txt,sha256:3174638eac245995333789f2ecd92998ac55a9d590e6d5e13130d784923b04bf,https://ir.homedepot.com/~/media/Files/H/HomeDepot-IR/documents/hd-2q24-transcript.pdf,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2024_q2/transcript/provenance.json,safe_to_download,true,false,false,user_authorized_project_assessment,2026-05-30T21:06:32+00:00,Registered by path and sha256 only; raw transcript file remains in Desktop workspace.
hd_2024_q3,HD,The Home Depot Inc.,transcript,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2024_q3/transcript/hd_2024_q3_parsed.txt,sha256:7615358920d80acfbd3262943496d8570827676fe39d2c38aecdf4e7ba2d2fc6,https://ir.homedepot.com/~/media/Files/H/HomeDepot-IR/documents/hd-3q-24-transcript-vf.pdf?os=__,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2024_q3/transcript/provenance.json,safe_to_download,true,false,false,user_authorized_project_assessment,2026-05-30T21:06:31+00:00,Registered by path and sha256 only; raw transcript file remains in Desktop workspace.
hd_2024_q4,HD,The Home Depot Inc.,transcript,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2024_q4/transcript/hd_2024_q4_parsed.txt,sha256:6662b3fea415afaf582fba4411c086fed59fbf02225c05c4b41d47c26f9d3a0e,https://ir.homedepot.com/~/media/Files/H/HomeDepot-IR/documents/hd-4q24-transcript.pdf,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2024_q4/transcript/provenance.json,safe_to_download,true,false,false,user_authorized_project_assessment,2026-05-30T21:06:33+00:00,Registered by path and sha256 only; raw transcript file remains in Desktop workspace.
hd_2025_q4,HD,"The Home Depot, Inc.",transcript,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2025_q4/transcript/hd_2025_q4_40a000cd.txt,sha256:9930b485a5fbe82794b52fe951d036f7a1429abea2711921530b79ed8746ca8a,https://ir.homedepot.com/~/media/Files/H/HomeDepot-IR/reports-and-presentations/quarterly-earnings/hd-4q25-transcript.pdf,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2025_q4/transcript/provenance.json,safe_to_download,true,false,false,,2026-05-30T13:18:24+00:00,Registered by path and sha256 only; raw file remains in Desktop workspace.
