query_id,case_id,query_type,expected_object_ids,expected_object_types,evidence_object_id_refs,provenance_refs,review_status,benchmark_eligible,reviewer,reviewed_at,reviewer_decision,reviewer_notes,rejection_reason
rq_first20_bac_2025_q4_001,bac_2025_q4,evidence_object_lookup,"[""rom_evidence_652ec646a4acb874""]","[""evidence_object_metadata""]","[""rom_evidence_652ec646a4acb874""]","[""/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/bac_2025_q4/metadata/normalized_transcript.json""]",review_pending,false,,,,,
rq_first20_cat_2025_q4_002,cat_2025_q4,evidence_object_lookup,"[""rom_evidence_68b3fd2836e8f79a""]","[""evidence_object_metadata""]","[""rom_evidence_68b3fd2836e8f79a""]","[""/Users/keith/Desktop/earnings calls 100 samples/CAT_Caterpillar_Inc/cat_2025_q4/metadata/normalized_transcript.json""]",review_pending,false,,,,,
rq_first20_f_2025_q1_003,f_2025_q1,topic_lookup,"[""rom_evidence_40d152c6689eaf6d""]","[""evidence_object_metadata""]","[""rom_evidence_40d152c6689eaf6d""]","[""/Users/keith/Desktop/earnings calls 100 samples/F_Ford_Motor_Company/f_2025_q1/metadata/normalized_transcript.json""]",review_pending,false,,,,,
rq_first20_f_2025_q2_004,f_2025_q2,case_comparison_lookup,"[""rom_evidence_8478c18d3901ee2d""]","[""evidence_object_metadata""]","[""rom_evidence_8478c18d3901ee2d""]","[""/Users/keith/Desktop/earnings calls 100 samples/F_Ford_Motor_Company/f_2025_q2/metadata/normalized_transcript.json""]",review_pending,false,,,,,
rq_first20_f_2025_q3_005,f_2025_q3,case_comparison_lookup,"[""rom_evidence_22a43d167f7aed1a""]","[""evidence_object_metadata""]","[""rom_evidence_22a43d167f7aed1a""]","[""/Users/keith/Desktop/earnings calls 100 samples/F_Ford_Motor_Company/f_2025_q3/metadata/normalized_transcript.json""]",review_pending,false,,,,,
rq_first20_f_2025_q4_006,f_2025_q4,case_comparison_lookup,"[""rom_evidence_00c74f1cee2427dc""]","[""evidence_object_metadata""]","[""rom_evidence_00c74f1cee2427dc""]","[""/Users/keith/Desktop/earnings calls 100 samples/F_Ford_Motor_Company/f_2025_q4/metadata/normalized_transcript.json""]",review_pending,false,,,,,
rq_first20_hd_2024_q1_007,hd_2024_q1,topic_lookup,"[""rom_evidence_5b19f6a7ce0cc6d7""]","[""evidence_object_metadata""]","[""rom_evidence_5b19f6a7ce0cc6d7""]","[""/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2024_q1/metadata/normalized_transcript.json""]",review_pending,false,,,,,
rq_first20_hd_2024_q2_008,hd_2024_q2,case_comparison_lookup,"[""rom_evidence_b97a0f25e958c20f""]","[""evidence_object_metadata""]","[""rom_evidence_b97a0f25e958c20f""]","[""/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2024_q2/metadata/normalized_transcript.json""]",review_pending,false,,,,,
rq_first20_hd_2024_q3_009,hd_2024_q3,case_comparison_lookup,"[""rom_evidence_f151ef7ee8e00af8""]","[""evidence_object_metadata""]","[""rom_evidence_f151ef7ee8e00af8""]","[""/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2024_q3/metadata/normalized_transcript.json""]",review_pending,false,,,,,
rq_first20_hd_2024_q4_010,hd_2024_q4,case_comparison_lookup,"[""rom_evidence_2f49870771e37ca4""]","[""evidence_object_metadata""]","[""rom_evidence_2f49870771e37ca4""]","[""/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2024_q4/metadata/normalized_transcript.json""]",review_pending,false,,,,,
rq_first20_hd_2025_q4_011,hd_2025_q4,evidence_object_lookup,"[""rom_evidence_1c3e749b1346dbbc""]","[""evidence_object_metadata""]","[""rom_evidence_1c3e749b1346dbbc""]","[""/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/hd_2025_q4/metadata/normalized_transcript.json""]",review_pending,false,,,,,
rq_first20_jpm_2024_q1_012,jpm_2024_q1,uncertainty_language_lookup,"[""rom_evidence_03b94f2d82a4423a""]","[""evidence_object_metadata""]","[""rom_evidence_03b94f2d82a4423a""]","[""/Users/keith/Desktop/earnings calls 100 samples/JPM_JPMorgan_Chase_Co/jpm_2024_q1/metadata/normalized_transcript.json""]",review_pending,false,,,,,
