candidate_id,case_id,ticker,fiscal_year,fiscal_quarter,original_source_url,replacement_source_url,source_domain,source_type,expected_format,replacement_confidence,replacement_reason,download_allowed,blocked_reason,rights_review_required,commit_allowed,training_allowed,raw_text_committed,approval_ref,checked_urls
first30_vz_2024_q4,vz_2024_q4,VZ,2024,Q4,https://www.verizon.com/about/sites/default/files/2025-01/VZ_4Q2024_Business_Update_Transcript_012425F.pdf,,,official_ir,pdf,0.000,already_download_allowed,false,already_download_allowed,false,false,false,false,,
first30_hd_2024_q3,hd_2024_q3,HD,2024,Q3,https://ir.homedepot.com/~/media/Files/H/HomeDepot-IR/documents/hd-3q-24-transcript-vf.pdf?os=__,,,official_ir,pdf,0.000,already_download_allowed,false,already_download_allowed,false,false,false,false,,
first30_hd_2024_q2,hd_2024_q2,HD,2024,Q2,https://ir.homedepot.com/~/media/Files/H/HomeDepot-IR/documents/hd-2q24-transcript.pdf,,,official_ir,pdf,0.000,already_download_allowed,false,already_download_allowed,false,false,false,false,,
first30_hd_2024_q1,hd_2024_q1,HD,2024,Q1,https://ir.homedepot.com/~/media/Files/H/HomeDepot-IR/documents/hd-1q24-transcript.pdf,,,official_ir,pdf,0.000,already_download_allowed,false,already_download_allowed,false,false,false,false,,
first30_hd_2024_q4,hd_2024_q4,HD,2024,Q4,https://ir.homedepot.com/~/media/Files/H/HomeDepot-IR/documents/hd-4q24-transcript.pdf,,,official_ir,pdf,0.000,already_download_allowed,false,already_download_allowed,false,false,false,false,,
first30_jpm_2025_q4,jpm_2025_q4,JPM,2025,Q4,https://www.jpmorganchase.com/ir,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2025/4th-quarter/jpm-4q25-earnings-call-transcript.pdf,www.jpmorganchase.com,official_ir,pdf,1.000,agent_s1_download_if_clean;200:application/pdf;content_clean:pypdf_memory,true,,false,false,false,false,user_authorized_project_assessment,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2025/4th-quarter/jpm-4q25-earnings-call-transcript.pdf
first30_jpm_2025_q3,jpm_2025_q3,JPM,2025,Q3,https://www.jpmorganchase.com/ir,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2025/3rd-quarter/jpm-3q25-earnings-call-transcript.pdf,www.jpmorganchase.com,official_ir,pdf,1.000,agent_s1_download_if_clean;200:application/pdf;content_clean:pypdf_memory,true,,false,false,false,false,user_authorized_project_assessment,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2025/3rd-quarter/jpm-3q25-earnings-call-transcript.pdf
first30_jpm_2025_q2,jpm_2025_q2,JPM,2025,Q2,https://www.jpmorganchase.com/ir,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2025/2nd-quarter/jpm-2q25-earnings-call-transcript.pdf,www.jpmorganchase.com,official_ir,pdf,1.000,agent_s1_download_if_clean;200:application/pdf;content_clean:pypdf_memory,true,,false,false,false,false,user_authorized_project_assessment,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2025/2nd-quarter/jpm-2q25-earnings-call-transcript.pdf
first30_jpm_2025_q1,jpm_2025_q1,JPM,2025,Q1,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2025/1st-quarter/1q25-earnings-transcript.pdf,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2025/1st-quarter/1q25-earnings-transcript.pdf,www.jpmorganchase.com,official_ir,pdf,1.000,agent_s1_download_if_clean;200:application/pdf;content_clean:pypdf_memory,true,,false,false,false,false,user_authorized_project_assessment,https://www.jpmorganchase.com/content/dam/jpmc/jpmorgan-chase-and-co/investor-relations/documents/quarterly-earnings/2025/1st-quarter/1q25-earnings-transcript.pdf
first30_cat_2025_q4,cat_2025_q4,CAT,2025,Q4,https://s25.q4cdn.com/358376879/files/doc_financials/2025/q4/4Q-2025-Caterpillar-Inc-Earnings-Conference-Call_Transcript.pdf,,,official_ir_hosted_third_party,pdf,0.000,already_download_allowed,false,already_download_allowed,false,false,false,false,,
first30_cat_2025_q3,cat_2025_q3,CAT,2025,Q3,https://investors.caterpillar.com/,https://s25.q4cdn.com/358376879/files/doc_financials/2025/q3/3Q-2025-Caterpillar-Inc-Earnings-Call-Transcript_-10-29-2025.pdf,s25.q4cdn.com,official_ir_hosted_third_party,pdf,1.000,agent_s1_official_ir_cdn_pdf_review_required;200:application/pdf;content_clean:pypdf_memory,true,,true,false,false,false,user_authorized_project_assessment,https://s25.q4cdn.com/358376879/files/doc_financials/2025/q3/3Q-2025-Caterpillar-Inc-Earnings-Call-Transcript_-10-29-2025.pdf
first30_cat_2025_q2,cat_2025_q2,CAT,2025,Q2,https://investors.caterpillar.com/,https://s25.q4cdn.com/358376879/files/doc_financials/2025/q2/2Q-2025-Caterpillar-Inc-Earnings-Call-Transcript_8-5-2025.pdf,s25.q4cdn.com,official_ir_hosted_third_party,pdf,1.000,agent_s1_official_ir_cdn_pdf_review_required;200:application/pdf;content_clean:pypdf_memory,true,,true,false,false,false,user_authorized_project_assessment,https://s25.q4cdn.com/358376879/files/doc_financials/2025/q2/2Q-2025-Caterpillar-Inc-Earnings-Call-Transcript_8-5-2025.pdf
first30_cat_2025_q1,cat_2025_q1,CAT,2025,Q1,https://investors.caterpillar.com/,https://s25.q4cdn.com/358376879/files/doc_financials/2025/q1/1Q-2025-Caterpillar-Inc-Earnings-Call-Transcript_4-30-2025_vF.pdf,s25.q4cdn.com,official_ir_hosted_third_party,pdf,1.000,agent_s1_official_ir_cdn_pdf_review_required;200:application/pdf;content_clean:pypdf_memory,true,,true,false,false,false,user_authorized_project_assessment,https://s25.q4cdn.com/358376879/files/doc_financials/2025/q1/1Q-2025-Caterpillar-Inc-Earnings-Call-Transcript_4-30-2025_vF.pdf
first30_cat_2024_q4,cat_2024_q4,CAT,2024,Q4,https://investors.caterpillar.com/,https://s25.q4cdn.com/358376879/files/doc_financials/2024/q4/4Q-2024-Caterpillar-Inc-Earnings-Call-Transcript_1-30-2025_vF.pdf,s25.q4cdn.com,official_ir_hosted_third_party,pdf,1.000,agent_s1_official_ir_cdn_pdf_review_required;200:application/pdf;content_clean:pypdf_memory,true,,true,false,false,false,user_authorized_project_assessment,https://s25.q4cdn.com/358376879/files/doc_financials/2024/q4/4Q-2024-Caterpillar-Inc-Earnings-Call-Transcript_1-30-2025_vF.pdf
first30_bac_2025_q4,bac_2025_q4,BAC,2025,Q4,https://d1io3yog0oux5.cloudfront.net/_340970fe090ca286d9efb02a861db84d/bankofamerica/db/775/10471/webcast_transcript/2026-01-15+BAC+4Q+Earnings+Call_ADA.pdf,,,official_ir_hosted_third_party,pdf,0.000,already_download_allowed,false,already_download_allowed,false,false,false,false,,
first30_crm_2025_q4,crm_2025_q4,CRM,2025,Q4,https://s205.q4cdn.com/626266368/files/doc_financials/2025/q4/Salesforce_Inc_Q4_2025_Earnings_Call_Feb_26_2025_1.pdf,,,official_ir_hosted_third_party,pdf,0.000,already_download_allowed,false,already_download_allowed,false,false,false,false,,
first30_dow_2025_q4,dow_2025_q4,DOW,2025,Q4,https://investors.dow.com/en/events-and-presentations/default.aspx,,,official_ir,pdf,0.000,no_verified_replacement,false,direct_official_transcript_not_found,false,false,false,false,,
first30_eqt_2025_q4,eqt_2025_q4,EQT,2025,Q4,https://ir.eqt.com/events-and-presentations/default.aspx,,,official_ir,pdf,0.000,no_verified_replacement,false,direct_official_transcript_not_found,false,false,false,false,,
first30_f_2025_q4,f_2025_q4,F,2025,Q4,https://shareholder.ford.com/investors/financials/quarterly-results/default.aspx,,,official_ir,pdf,0.000,no_verified_replacement,false,direct_official_transcript_not_found,false,false,false,false,,
first30_hig_2025_q4,hig_2025_q4,HIG,2025,Q4,https://ir.thehartford.com/events-and-presentations/default.aspx,,,official_ir,pdf,0.000,no_verified_replacement,false,direct_official_transcript_not_found,false,false,false,false,,
first30_lyb_2025_q4,lyb_2025_q4,LYB,2025,Q4,https://investors.lyondellbasell.com/events-and-presentations,,,official_ir,pdf,0.000,no_verified_replacement,false,direct_official_transcript_not_found,false,false,false,false,,
first30_oc_2025_q4,oc_2025_q4,OC,2025,Q4,https://investor.owenscorning.com/investors/events-and-presentations/default.aspx,,,official_ir,pdf,0.000,no_verified_replacement,false,direct_official_transcript_not_found,false,false,false,false,,
first30_omc_2025_q4,omc_2025_q4,OMC,2025,Q4,https://investor.omnicomgroup.com/events-and-presentations/default.aspx,https://s201.q4cdn.com/282904488/files/doc_financials/2026/q1/OMC-1Q26-Transcript-04-28-26.pdf,s201.q4cdn.com,official_ir_hosted_third_party,pdf,0.550,official_same_domain_or_ir_cdn;transcript_url_marker;ticker_url_match,false,fiscal_period_not_verified,true,false,false,false,,https://s201.q4cdn.com/282904488/files/doc_financials/2026/q1/OMC-2026-Q1-Earnings-Release-04-28-26.pdf | https://s201.q4cdn.com/282904488/files/doc_financials/2026/q1/OMC-1Q26-Transcript-04-28-26.pdf
first30_rddt_2025_q4,rddt_2025_q4,RDDT,2025,Q4,https://investor.redditinc.com/news-events/events-and-presentations/default.aspx,,,official_ir,pdf,0.000,no_verified_replacement,false,direct_official_transcript_not_found,false,false,false,false,,
first30_rf_2025_q4,rf_2025_q4,RF,2025,Q4,https://ir.regions.com/events-and-presentations/default.aspx,,,official_ir,pdf,0.000,no_verified_replacement,false,direct_official_transcript_not_found,false,false,false,false,,
first30_uber_2025_q4,uber_2025_q4,UBER,2025,Q4,https://investor.uber.com/news-events/events-and-presentations/default.aspx,,,official_ir,pdf,0.000,no_verified_replacement,false,direct_official_transcript_not_found,false,false,false,false,,
first30_vz_2025_q1,vz_2025_q1,VZ,2025,Q1,https://www.verizon.com/about/investors,,,official_ir,pdf,0.000,no_verified_replacement,false,direct_official_transcript_not_found,false,false,false,false,,
first30_vz_2025_q2,vz_2025_q2,VZ,2025,Q2,https://www.verizon.com/about/investors,,,official_ir,pdf,0.000,no_verified_replacement,false,direct_official_transcript_not_found,false,false,false,false,,
first30_vz_2025_q3,vz_2025_q3,VZ,2025,Q3,https://www.verizon.com/about/investors,,,official_ir,pdf,0.000,no_verified_replacement,false,direct_official_transcript_not_found,false,false,false,false,,
first30_vz_2025_q4,vz_2025_q4,VZ,2025,Q4,https://www.verizon.com/about/investors,,,official_ir,pdf,0.000,no_verified_replacement,false,direct_official_transcript_not_found,false,false,false,false,,
