dataset_id,dataset_name,dataset_type,source_examples,rights_status,raw_text_allowed_in_repo,training_allowed,primary_use,required_fields,blocked_conditions,priority,status
"manual_local_rights_cleared_transcripts_30_call_pilot","Manual local rights-cleared transcripts 30-call pilot","transcript_corpus","Company IR or explicitly allowed local files","rights_review_required","local_only","yes_if_rights_cleared","Minimum viable pilot for deterministic extraction and review","case_id ticker company fiscal_period source_path source_hash rights_status section_metadata","unclear rights missing hash restricted redistribution","high","planned"
"manual_local_rights_cleared_transcripts_100_150_call_corpus","Manual local rights-cleared transcripts 100-150 call corpus","transcript_corpus","Company IR SEC permitted local files","rights_review_required","local_only","yes_if_rights_cleared","Expanded reviewed-label corpus and retrieval evaluation","case_id ticker sector fiscal_period source_hash review_status label_counts","insufficient rights weak provenance missing reviewer capacity","high","planned"
"five_hundred_call_metadata_universe","500-call metadata universe","metadata_registry","Ticker call date fiscal period source candidates","metadata_only","metadata_only","metadata_only","Target selection stratification and source-quality planning","case_id ticker company sector fiscal_period call_date source_candidates availability_flags","raw text inclusion or unverified source terms","high","planned"
"company_ir_transcripts","Company IR transcripts","source_target","Company investor relations websites","source_specific_review_required","metadata_only","yes_if_rights_cleared","Preferred source discovery and local rights-cleared intake","company url fiscal_period access_terms storage_permission source_hash","terms prohibit reuse robots/login/paywall restrictions","high","candidate"
"sec_edgar_8k_earnings_exhibits","SEC EDGAR 8-K earnings exhibits","regulatory_source","SEC EDGAR exhibits and company filings","public_source_with_sec_fair_access","yes","yes_if_rights_cleared","Rights-safer earnings release and transcript-adjacent evidence","accession exhibit_url filing_date company cik fair_access_user_agent","non-transcript mismatch missing exhibit provenance","medium","candidate"
"sec_edgar_10q_10k_guidance_context","SEC EDGAR 10-Q/10-K guidance context","regulatory_source","SEC filings risk factors MD&A guidance context","public_source_with_sec_fair_access","yes","yes_if_rights_cleared","Prior context for guidance and risk language","cik accession filing_date section source_url source_hash","using future filing for prior-call analysis temporal leakage","medium","candidate"
"earnings_press_releases","Earnings press releases","company_disclosure","Company IR press releases SEC exhibits","source_specific_review_required","metadata_only","yes_if_rights_cleared","Prepared context for guidance revision and management framing","ticker company release_date fiscal_period source_url rights_status","restricted source unclear reuse missing date alignment","medium","candidate"
"stock_price_reaction_metadata","Stock price reaction metadata","market_metadata","Public market data or licensed provider metadata","provider_or_public_terms_required","metadata_only","metadata_only","Later exploratory event-study packaging","ticker event_timestamp window_return benchmark_return data_provider license_status","missing license ambiguous timestamp thin trading unsupported causal claims","low","later_optional"
"analyst_estimate_revision_metadata","Analyst estimate revision metadata","market_metadata","Licensed analyst estimate providers if authorized","license_required","metadata_only","license_required","Later context for guidance revision and market expectation analysis","ticker fiscal_period estimate_date consensus_metric provider license_status","no license redistribution restrictions unclear terms","low","later_optional"
"human_review_gold_labels","Human review gold labels","label_dataset","Reviewer adjudication workflow","internal_review_artifact","metadata_only","yes_if_rights_cleared","Canonical evaluation labels after adjudication","label_id case_id signal_type reviewer reviewed_at confidence evidence_span_hash false_positive_tag","machine-only labels missing adjudication unclear evidence rights","high","planned"
"weak_label_candidates","Weak label candidates","candidate_dataset","Deterministic extraction and reviewer aids","internal_candidate_artifact","metadata_only","yes_if_rights_cleared","Review prioritization and weak-label evaluation","candidate_id case_id signal_type extractor_version evidence_span_hash provenance","auto-promoted to gold raw restricted text included","high","planned"
"retrieval_evidence_objects","Retrieval evidence objects","retrieval_dataset","Reviewed evidence spans and provenance objects","internal_review_artifact","metadata_only","yes_if_rights_cleared","Retrieval benchmark foundation and citation quality scoring","evidence_id case_id signal_type span_hash source_id section speaker_role","missing provenance raw restricted text unsupported excerpt policy","high","planned"
"audio_metadata_optional","Audio metadata optional","multimodal_metadata","Allowed webcast audio or local permitted audio metadata","license_required","metadata_only","license_required","Selective flagged-moment audit for pause prosody and diarization metadata","case_id source_id timestamp speaker_id audio_rights metadata_fields","no license raw audio committed full processing by default","low","later_optional"
"video_metadata_optional","Video metadata optional","multimodal_metadata","Allowed webcast video or local permitted video metadata","license_required","metadata_only","license_required","Selective flagged-moment audit for keyframes and speaker visibility","case_id source_id timestamp keyframe_policy video_rights metadata_fields","no license raw video committed broad biometric claims","low","later_optional"
"external_academic_datasets_metadata_only","External academic datasets metadata only","external_reference_registry","FinanceBench FinQA FiQA ECTSum FinMTEB and similar references","license_varies","metadata_only","metadata_only","Task design reference and rights-risk tracking","dataset_name url license task_type allowed_use prohibited_use","importing rows without rights using as gold labels license conflict","medium","planned"
"licensed_vendor_transcripts_if_authorized","Licensed vendor transcripts if authorized","licensed_source","Aiera AlphaSense FactSet Bloomberg or other licensed vendors","license_required","no","license_required","Optional local-only evaluation if explicit license permits","vendor license_terms case_id source_hash permitted_use storage_policy","no license redistribution ban training ban paywall or login bypass","low","blocked_until_data"
