id,source_file,domain,text,suggested_label,suggested_evidence_terms,priority_reason,reviewer_label,reviewer_confidence,reviewer_notes,accepted
candidate_0067,data/signal_engine_2_0/sample_sales.json,sales,and how teams usually evaluate the workflow.,neutral,,neutral coverage; local transcript-side source; known business domain; short readable snippet; logistics or status wording; label-text match looks plausible,,,,
candidate_0025,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,unknown,We need the revised order form by end of day because the customer deadline is before launch tomorrow.,neutral,,neutral coverage; local transcript-side source; short readable snippet; logistics or status wording; label-text match looks plausible,,,,
candidate_0070,data/signal_engine_2_0/sample_sales.json,sales,"The seat cost feels expensive versus Zendesk, and the team is also comparing you to Intercom.",risk_friction,expensive; cost; seat cost; intercom; zendesk,clear friction coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; explicit friction cue; label-text match looks plausible,,,,
candidate_0071,data/signal_engine_2_0/sample_sales.json,sales,The seat cost feels expensive versus Zendesk,risk_friction,expensive; cost; seat cost; zendesk,clear friction coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; explicit friction cue; label-text match looks plausible,,,,
candidate_0034,data/signal_engine_2_0/fixtures/sales_calls_realistic.jsonl,sales,but the enterprise price is higher than Zendesk and Intercom,risk_friction,price; intercom; zendesk,clear friction coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; explicit friction cue; label-text match looks plausible,,,,
candidate_0054,data/signal_engine_2_0/sample_account_management.json,account_management,"Our renewal is in about 45 days, and we're still dealing with two unresolved onboarding issues from the launch.",risk_friction,renewal; still dealing with; unresolved,clear friction coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; explicit friction cue; label-text match looks plausible,,,,
candidate_0059,data/signal_engine_2_0/sample_account_management.json,account_management,"But if these issues stay open into renewal, we may cut seats, delay the renewal, or look at another vendor.",risk_friction,cut seats; look at another vendor; renewal,clear friction coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; explicit friction cue; label-text match looks plausible,,,,
candidate_0061,data/signal_engine_2_0/sample_account_management.json,account_management,"Okay, but if this slips again finance will ask whether we should downgrade or switch.",risk_friction,again; downgrade; switch,clear friction coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; explicit friction cue; label-text match looks plausible,,,,
candidate_0062,data/signal_engine_2_0/sample_account_management.json,account_management,but if this slips again finance will ask whether we should downgrade or switch.,risk_friction,again; downgrade; switch,clear friction coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; explicit friction cue; label-text match looks plausible,,,,
candidate_0089,data/signal_engine_2_0/sample_support.json,support,and if this is still unresolved today I'll escalate it to your manager and dispute the charge.,risk_friction,escalate; manager; unresolved,clear friction coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; explicit friction cue; label-text match looks plausible,,,,
candidate_0027,data/signal_engine_2_0/fixtures/account_management_realistic.jsonl,account_management,"Our renewal is 30 days out, two onboarding issues are still unresolved",risk_friction,renewal; unresolved,clear friction coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; explicit friction cue; label-text match looks plausible,,,,
candidate_0050,data/signal_engine_2_0/fixtures/support_tickets_realistic.jsonl,support,and if this slips again we will escalate the dispute.,risk_friction,again; escalate,clear friction coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; explicit friction cue; label-text match looks plausible,,,,
candidate_0056,data/signal_engine_2_0/sample_account_management.json,account_management,and we're still dealing with two unresolved onboarding issues from the launch.,risk_friction,still dealing with; unresolved,clear friction coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; explicit friction cue; label-text match looks plausible,,,,
candidate_0033,data/signal_engine_2_0/fixtures/sales_calls_realistic.jsonl,sales,"We're interested, but the enterprise price is higher than Zendesk and Intercom, and I still do not know what happens after the pilot.",risk_friction,price; intercom; zendesk,clear friction coverage; local transcript-side source; known business domain; compact snippet; strong evidence terms; explicit friction cue; label-text match looks plausible,,,,
candidate_0039,data/signal_engine_2_0/fixtures/sales_calls_realistic.jsonl,sales,"and discount range, procurement will not move this week.",risk_friction,discount,clear friction coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; explicit friction cue; label-text match looks plausible,,,,
candidate_0042,data/signal_engine_2_0/fixtures/support_tickets_realistic.jsonl,support,I'm frustrated that invoice 8842 still shows the wrong total and nobody has confirmed when the credit will post.,risk_friction,frustrated,clear friction coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; explicit friction cue; label-text match looks plausible,,,,
candidate_0084,data/signal_engine_2_0/sample_support.json,support,Refund timing sits with another team,risk_friction,another team,clear friction coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; explicit friction cue; label-text match looks plausible,,,,
candidate_0085,data/signal_engine_2_0/sample_support.json,support,so please refer to the billing FAQ for now while we look into it on our side.,risk_friction,please refer to,clear friction coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; explicit friction cue; label-text match looks plausible,,,,
candidate_0044,data/signal_engine_2_0/fixtures/support_tickets_realistic.jsonl,support,"Billing is still reviewing it, so please check the help center article for now while we wait for their response.",uncertainty_hedging,for now,uncertainty coverage; local transcript-side source; known business domain; short readable snippet; strong evidence terms; explicit hedge cue; label-text match looks plausible,,,,
