rank,case_id,ticker,company_name,fiscal_period,local_path,source_sha256,file_size,extension,candidate_reason,source_url,rights_tier,eval_allowed,training_allowed,commit_allowed,manual_action,registration_ready
1,orcl_2026_q1,ORCL,Oracle Corporation,2026_Q1,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/ORCL_2026_Q1/raw/transcript.txt,sha256:c17f5bffcd0d565e3f5747c58094815d056c8854d95071ebb554e13d34361325,35310,.txt,NYSE 30 target; raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
2,bac_2025_q4,BAC,Bank of America Corporation,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/BAC_2025_Q4/raw/transcript.txt,sha256:16af6e9851ce58c3cb8ad80e0b83d4055d4f91688154d8ca6c8ef3dfe374d43f,77762,.txt,NYSE 30 target; raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
3,ba_2025_q4,BA,The Boeing Company,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/BA_2025_Q4/raw/transcript.txt,sha256:b11da49e0938c7d19636976c54e8b9f7aec74f1f77d71b284d02d41269627d84,51340,.txt,NYSE 30 target; raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
4,cat_2025_q4,CAT,Caterpillar Inc.,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/CAT_2025_Q4/raw/transcript.txt,sha256:3e46aa409287e9084af5869257ff7d984719265a4a866ebc9d65ae4006a0dcbf,57265,.txt,NYSE 30 target; raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
5,crm_2025_q4,CRM,"Salesforce, Inc.",2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/CRM_2025_Q4/raw/transcript 2.txt,sha256:dda6409d9b633a3d09e268563e6888d85f7e7c4cf85e1db0197a61e28fa1908d,68650,.txt,NYSE 30 target; raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
6,de_2025_q4,DE,Deere & Company,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/DE_2025_Q4/raw/transcript.txt,sha256:6375c27976ff2a066afa18b970fd45a2bfd73865e7b1416367049d8d48dc5fb8,91705,.txt,NYSE 30 target; raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
7,dis_2025_q4,DIS,The Walt Disney Company,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/DIS_2025_Q4/raw/transcript.txt,sha256:5032249abd9d8287d590340d320ecf9f6c86713b242aa7523e5fe7fe42179b57,48771,.txt,NYSE 30 target; raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
8,hd_2025_q4,HD,"The Home Depot, Inc.",2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/HD_2025_Q4/raw/transcript.txt,sha256:0f8a73aa61c1d8b88759a36ee63b268237198102dd0869ce5a27629fd6859034,51667,.txt,NYSE 30 target; raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
9,jnj_2025_q4,JNJ,Johnson & Johnson,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/JNJ_2025_Q4/raw/transcript.txt,sha256:42068acfeaca2e49f0b6cd571082f99e4724021641ffff80bd0c1f066e9cc1b3,78317,.txt,NYSE 30 target; raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
10,jpm_2025_q4,JPM,JPMorgan Chase & Co.,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/JPM_2025_Q4/raw/transcript.txt,sha256:3e9e94273790808d8f0bbff95d7b190a2231ed34b44f8b76f0d82df4a276dc7d,64037,.txt,NYSE 30 target; raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
11,lly_2025_q4,LLY,Eli Lilly and Company,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/LLY_2025_Q4/raw/transcript.txt,sha256:9104e758496d772bb0cf525f936e76ba2744968cb0215e07e53a10a44cbf378f,63861,.txt,NYSE 30 target; raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
12,nke_2025_q4,NKE,"NIKE, Inc.",2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/NKE_2025_Q4/raw/transcript 2.txt,sha256:204b0cf4aaebebc5906a223edfdfa10a9867650dab11c28871cedc5df2a67ebd,51983,.txt,NYSE 30 target; raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
13,now_2025_q4,NOW,"ServiceNow, Inc.",2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/NOW_2025_Q4/raw/transcript.txt,sha256:3ba665af32be224a345e83cde6607d14bced1b5d204da2b3cedf878c2640ce7f,62430,.txt,NYSE 30 target; raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
14,pfe_2025_q4,PFE,Pfizer Inc.,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/PFE_2025_Q4/raw/transcript.txt,sha256:09a7a4eefaea5b909af586353084bf21b18a12f1a86d6a5b1b43b9db929a9c9b,81499,.txt,NYSE 30 target; raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
15,wmt_2025_q4,WMT,Walmart Inc.,2025_Q4,/Users/keith/Desktop/Signal Engine 2.0 Earning Calls/transcripts/WMT_2025_Q4/raw/transcript.txt,sha256:5a58cca1253dbca31d4fe14890499646b23a6f9ef4a465b483337848f1f95d77,88038,.txt,NYSE 30 target; raw transcript file; .txt file; plausible full-transcript size; source_url missing; rights_tier=unknown,,unknown,false,false,false,Fill source_url and explicit rights_tier; leave training_allowed=false unless rights explicitly permit.,false
