case_id,ticker,company_name,exchange,sector,target_year,fiscal_year,fiscal_quarter,calendar_year,event_date,event_identity_status,source_status,notes
jpm_2025_q4,JPM,JPMorgan Chase & Co.,NYSE,banking,2025,2025,Q4,2025,2025-12-31,target_placeholder_period_end_date,metadata_discovery_pending,Period-end folder date hint only; not a discovered earnings-call date until IR/SEC metadata confirms it.
bac_2025_q4,BAC,Bank of America Corporation,NYSE,banking,2025,2025,Q4,2025,2025-12-31,target_placeholder_period_end_date,metadata_discovery_pending,Period-end folder date hint only; not a discovered earnings-call date until IR/SEC metadata confirms it.
c_2025_q4,C,Citigroup Inc.,NYSE,banking,2025,2025,Q4,2025,2025-12-31,target_placeholder_period_end_date,metadata_discovery_pending,Period-end folder date hint only; not a discovered earnings-call date until IR/SEC metadata confirms it.
wfc_2025_q4,WFC,Wells Fargo & Company,NYSE,banking,2025,2025,Q4,2025,2025-12-31,target_placeholder_period_end_date,metadata_discovery_pending,Period-end folder date hint only; not a discovered earnings-call date until IR/SEC metadata confirms it.
gs_2025_q4,GS,"The Goldman Sachs Group, Inc.",NYSE,banking,2025,2025,Q4,2025,2025-12-31,target_placeholder_period_end_date,metadata_discovery_pending,Period-end folder date hint only; not a discovered earnings-call date until IR/SEC metadata confirms it.
ms_2025_q4,MS,Morgan Stanley,NYSE,banking,2025,2025,Q4,2025,2025-12-31,target_placeholder_period_end_date,metadata_discovery_pending,Period-end folder date hint only; not a discovered earnings-call date until IR/SEC metadata confirms it.
bk_2025_q4,BK,The Bank of New York Mellon Corporation,NYSE,banking,2025,2025,Q4,2025,2025-12-31,target_placeholder_period_end_date,metadata_discovery_pending,Period-end folder date hint only; not a discovered earnings-call date until IR/SEC metadata confirms it.
stt_2025_q4,STT,State Street Corporation,NYSE,banking,2025,2025,Q4,2025,2025-12-31,target_placeholder_period_end_date,metadata_discovery_pending,Period-end folder date hint only; not a discovered earnings-call date until IR/SEC metadata confirms it.
usb_2025_q4,USB,U.S. Bancorp,NYSE,banking,2025,2025,Q4,2025,2025-12-31,target_placeholder_period_end_date,metadata_discovery_pending,Period-end folder date hint only; not a discovered earnings-call date until IR/SEC metadata confirms it.
pnc_2025_q4,PNC,"The PNC Financial Services Group, Inc.",NYSE,banking,2025,2025,Q4,2025,2025-12-31,target_placeholder_period_end_date,metadata_discovery_pending,Period-end folder date hint only; not a discovered earnings-call date until IR/SEC metadata confirms it.
tfc_2025_q4,TFC,Truist Financial Corporation,NYSE,banking,2025,2025,Q4,2025,2025-12-31,target_placeholder_period_end_date,metadata_discovery_pending,Period-end folder date hint only; not a discovered earnings-call date until IR/SEC metadata confirms it.
cof_2025_q4,COF,Capital One Financial Corporation,NYSE,banking,2025,2025,Q4,2025,2025-12-31,target_placeholder_period_end_date,metadata_discovery_pending,Period-end folder date hint only; not a discovered earnings-call date until IR/SEC metadata confirms it.
axp_2025_q4,AXP,American Express Company,NYSE,payments,2025,2025,Q4,2025,2025-12-31,target_placeholder_period_end_date,metadata_discovery_pending,Period-end folder date hint only; not a discovered earnings-call date until IR/SEC metadata confirms it.
v_2025_q4,V,Visa Inc.,NYSE,payments,2025,2025,Q4,2025,2025-12-31,target_placeholder_period_end_date,metadata_discovery_pending,Period-end folder date hint only; not a discovered earnings-call date until IR/SEC metadata confirms it.
ma_2025_q4,MA,Mastercard Incorporated,NYSE,payments,2025,2025,Q4,2025,2025-12-31,target_placeholder_period_end_date,metadata_discovery_pending,Period-end folder date hint only; not a discovered earnings-call date until IR/SEC metadata confirms it.
fis_2025_q4,FIS,"Fidelity National Information Services, Inc.",NYSE,payments,2025,2025,Q4,2025,2025-12-31,target_placeholder_period_end_date,metadata_discovery_pending,Period-end folder date hint only; not a discovered earnings-call date until IR/SEC metadata confirms it.
gpn_2025_q4,GPN,Global Payments Inc.,NYSE,payments,2025,2025,Q4,2025,2025-12-31,target_placeholder_period_end_date,metadata_discovery_pending,Period-end folder date hint only; not a discovered earnings-call date until IR/SEC metadata confirms it.
blk_2025_q4,BLK,"BlackRock, Inc.",NYSE,financial_infrastructure,2025,2025,Q4,2025,2025-12-31,target_placeholder_period_end_date,metadata_discovery_pending,Period-end folder date hint only; not a discovered earnings-call date until IR/SEC metadata confirms it.
