id,domain,source_file,text,text_length_bucket,gold_label,deterministic_label,deterministic_correct,deterministic_evidence_terms,deterministic_evidence_count,classifier_label,classifier_correct,classifier_confidence,classifier_top2_labels,classifier_margin,error_bucket,bucket_tags,priority_score,priority_reason,recommended_actions,label_source,notes
neut_account_status_agenda_001,account_management,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,the agenda is attached in the renewal folder.,short,neutral,risk_friction,False,renewal,1,risk_friction,False,,,,both_wrong,both_wrong|ambiguous_or_low_confidence,8,both systems miss the gold label; confidence or evidence pattern looks ambiguous; neutral coverage still needs tightening,needs_second_reviewer|hold_for_gold_set_review|improve_neutral_examples|tighten_lexicon_term,human_seeded_v1,Neutral attachment reference clause.
opp_sales_security_review_path_001,sales,data/signal_engine_2_0/sample_sales.json,the onboarding looks lighter than what we've seen before.,short,opportunity_commitment,neutral,False,,0,uncertainty_hedging,False,,,,both_wrong,both_wrong|ambiguous_or_low_confidence,8,both systems miss the gold label; confidence or evidence pattern looks ambiguous,needs_second_reviewer|hold_for_gold_set_review,human_seeded_v1,Clause split from a buyer-interest turn; labeled conservatively as weak opportunity.
neut_account_status_meeting_001,account_management,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,the meeting starts at 09:00 CET,short,neutral,neutral,True,,0,uncertainty_hedging,False,,,,rules_only_correct,rules_only_correct|ambiguous_or_low_confidence,6,rules outperform the selected classifier on this example; confidence or evidence pattern looks ambiguous; neutral coverage still needs tightening,benchmark_only_no_label_change|improve_neutral_examples|needs_second_reviewer,human_seeded_v1,Neutral schedule clause.
neut_sales_status_procurement_001,sales,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,the current status is that procurement is scheduled for next Tuesday,short,neutral,opportunity_commitment,False,procurement,1,neutral,True,,,,classifier_only_correct,classifier_only_correct|ambiguous_or_low_confidence,6,classifier recovers the gold label where rules miss; confidence or evidence pattern looks ambiguous; neutral coverage still needs tightening,tighten_lexicon_term|improve_neutral_examples|needs_second_reviewer,human_seeded_v1,Clause split from a neutral operational update.
risk_support_deflection_001,support,data/signal_engine_2_0/sample_support.json,Refund timing sits with another team,short,risk_friction,risk_friction,True,another team,1,opportunity_commitment,False,,,,rules_only_correct,rules_only_correct|ambiguous_or_low_confidence,6,rules outperform the selected classifier on this example; confidence or evidence pattern looks ambiguous,benchmark_only_no_label_change|needs_second_reviewer,human_seeded_v1,Clause split from an agent deflection turn.
unc_account_rollout_condition_001,account_management,data/signal_engine_2_0/sample_account_management.json,If the rollout stabilizes this quarter,short,uncertainty_hedging,opportunity_commitment,False,rollout,1,opportunity_commitment,False,,,,both_wrong,both_wrong,6,both systems miss the gold label,needs_second_reviewer|hold_for_gold_set_review|review_conditionals_and_hedges,human_seeded_v1,Condition clause from an expansion turn.
unc_sales_probably_001,sales,data/signal_engine_2_0/fixtures/sales_calls_realistic.jsonl,We can probably work something out on pricing,short,uncertainty_hedging,risk_friction,False,pricing,1,uncertainty_hedging,True,,,,classifier_only_correct,classifier_only_correct|ambiguous_or_low_confidence,6,classifier recovers the gold label where rules miss; confidence or evidence pattern looks ambiguous,tighten_lexicon_term|review_conditionals_and_hedges|needs_second_reviewer,human_seeded_v1,Clause split from a vague rep response.
neut_account_status_full_001,account_management,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,Sharing the update from finance: the meeting starts at 09:00 CET and the agenda is attached in the renewal folder.,medium,neutral,risk_friction,False,renewal,1,neutral,True,,,,classifier_only_correct,classifier_only_correct|ambiguous_or_low_confidence,5,classifier recovers the gold label where rules miss; confidence or evidence pattern looks ambiguous; neutral coverage still needs tightening,tighten_lexicon_term|improve_neutral_examples|needs_second_reviewer,human_seeded_v1,Emotion benchmark neutral case reused as a process-update label.
unc_support_confusion_seed_001,support,data/signal_engine_2_0/emotion_benchmark/sample_emotion_cases.jsonl,I'm confused about which invoice version is final because the portal and the email summary do not match.,medium,uncertainty_hedging,neutral,False,,0,uncertainty_hedging,True,,,,classifier_only_correct,classifier_only_correct|ambiguous_or_low_confidence,5,classifier recovers the gold label where rules miss; confidence or evidence pattern looks ambiguous,tighten_lexicon_term|review_conditionals_and_hedges|needs_second_reviewer,human_seeded_v1,Emotion benchmark confusion case reused as an ambiguity label.
opp_account_own_recovery_001,account_management,data/signal_engine_2_0/fixtures/account_management_realistic.jsonl,I own the recovery plan,short,opportunity_commitment,opportunity_commitment,True,i own|recovery plan,2,uncertainty_hedging,False,,,,rules_only_correct,rules_only_correct,4,rules outperform the selected classifier on this example,benchmark_only_no_label_change,human_seeded_v1,Short ownership clause from the realistic account-management fixture.
unc_sales_discount_signoff_001,sales,data/signal_engine_2_0/sample_sales.json,If the discount works and security signs off,short,uncertainty_hedging,risk_friction,False,discount,1,uncertainty_hedging,True,,,,classifier_only_correct,classifier_only_correct,4,classifier recovers the gold label where rules miss,tighten_lexicon_term|review_conditionals_and_hedges,human_seeded_v1,Conditional clause from a next-step turn.
opp_sales_procurement_path_001,sales,data/signal_engine_2_0/sample_sales.json,we can bring procurement in next week.,short,opportunity_commitment,opportunity_commitment,True,procurement,1,opportunity_commitment,True,,,,low_confidence_correct,both_correct|ambiguous_or_low_confidence,3,confidence or evidence pattern looks ambiguous,tighten_lexicon_term|needs_second_reviewer,human_seeded_v1,Clause split from a buyer next-step turn.
risk_account_unresolved_001,account_management,data/signal_engine_2_0/sample_account_management.json,we're still dealing with two unresolved onboarding issues from the launch.,short,risk_friction,risk_friction,True,still dealing with|unresolved,2,risk_friction,True,,,,low_confidence_correct,both_correct|ambiguous_or_low_confidence,3,confidence or evidence pattern looks ambiguous,needs_second_reviewer,human_seeded_v1,Clause split from a renewal-risk turn.
risk_account_vendor_risk_001,account_management,data/signal_engine_2_0/sample_account_management.json,"But if these issues stay open into renewal, we may cut seats, delay the renewal, or look at another vendor.",medium,risk_friction,risk_friction,True,cut seats|look at another vendor|renewal,3,opportunity_commitment,False,,,,rules_only_correct,rules_only_correct,3,rules outperform the selected classifier on this example,benchmark_only_no_label_change|tighten_lexicon_term,human_seeded_v1,Full churn-pressure turn from the account-management sample.
opp_account_recovery_plan_001,account_management,data/signal_engine_2_0/sample_account_management.json,I own the action items and will send a recovery plan by Friday with owners for each open item.,medium,opportunity_commitment,opportunity_commitment,True,send|action items|i own|recovery plan,4,opportunity_commitment,True,,,,both_correct_clear,both_correct,0,clear agreement case,tighten_lexicon_term,human_seeded_v1,Full owner-commitment turn from the account-management sample.
risk_support_refund_delay_001,support,data/signal_engine_2_0/sample_support.json,"Hi, I'm honestly pretty frustrated. Ticket 78421 has been open for 11 days and the refund still hasn't posted to our card.",medium,risk_friction,risk_friction,True,frustrated,1,risk_friction,True,,,,both_correct_clear,both_correct,0,clear agreement case,no_action_clear_ok,human_seeded_v1,Full customer turn from the synthetic support sample.
