candidate_id,case_id,ticker,fiscal_year,fiscal_quarter,original_source_url,replacement_source_url,source_domain,source_type,expected_format,replacement_confidence,replacement_reason,download_allowed,blocked_reason,rights_review_required,commit_allowed,training_allowed,raw_text_committed,approval_ref,checked_urls
first30_vz_2024_q4,vz_2024_q4,VZ,2024,Q4,https://www.verizon.com/about/sites/default/files/2025-01/VZ_4Q2024_Business_Update_Transcript_012425F.pdf,,,official_ir,pdf,0.000,official_feed_no_transcript_url,false,vendor_copyright_marker_detected,false,false,false,false,,
first30_crm_2025_q4,crm_2025_q4,CRM,2025,Q4,https://s205.q4cdn.com/626266368/files/doc_financials/2025/q4/Salesforce_Inc_Q4_2025_Earnings_Call_Feb_26_2025_1.pdf,,,official_ir_hosted_third_party,pdf,0.000,official_feed_no_transcript_url,false,vendor_copyright_marker_detected,false,false,false,false,,
first30_dow_2025_q4,dow_2025_q4,DOW,2025,Q4,https://investors.dow.com/en/events-and-presentations/default.aspx,https://s23.q4cdn.com/981382065/files/doc_financials/2025/q4/Dow-Inc-_4Q25-Earnings-Call_Transcript_FINAL.pdf,s23.q4cdn.com,official_ir_hosted_third_party,pdf,0.700,official_public_financial_feed;vendor_copyright_marker_detected,false,vendor_copyright_marker_detected,true,false,false,false,,https://s23.q4cdn.com/981382065/files/doc_financials/2025/q4/Dow-Inc-_4Q25-Earnings-Call_Transcript_FINAL.pdf
first30_eqt_2025_q4,eqt_2025_q4,EQT,2025,Q4,https://ir.eqt.com/events-and-presentations/default.aspx,https://s205.q4cdn.com/630272887/files/doc_financials/2025/q4/EQT-Q4-2025-Earnings-Call-Transcript.pdf,s205.q4cdn.com,official_ir_hosted_third_party,pdf,0.700,official_public_financial_feed;vendor_copyright_marker_detected,false,vendor_copyright_marker_detected,true,false,false,false,,https://s205.q4cdn.com/630272887/files/doc_financials/2025/q4/EQT-Q4-2025-Earnings-Call-Transcript.pdf
first30_hig_2025_q4,hig_2025_q4,HIG,2025,Q4,https://ir.thehartford.com/events-and-presentations/default.aspx,https://s203.q4cdn.com/260861639/files/doc_financials/2025/q4/HIG-4Q25-Earnings-Call-Transcript-Final.pdf,s203.q4cdn.com,official_ir_hosted_third_party,pdf,0.700,official_public_financial_feed;vendor_copyright_marker_detected,false,vendor_copyright_marker_detected,true,false,false,false,,https://s203.q4cdn.com/260861639/files/doc_financials/2025/q4/HIG-4Q25-Earnings-Call-Transcript-Final.pdf
first30_oc_2025_q4,oc_2025_q4,OC,2025,Q4,https://investor.owenscorning.com/investors/events-and-presentations/default.aspx,https://s21.q4cdn.com/855213745/files/doc_financials/2025/q4/Owens-Corning-Q4-2025-Earnings-Call-Feb-25-2026.pdf,s21.q4cdn.com,official_ir_hosted_third_party,pdf,0.700,official_public_financial_feed;vendor_copyright_marker_detected,false,vendor_copyright_marker_detected,true,false,false,false,,https://s21.q4cdn.com/855213745/files/doc_financials/2025/q4/Owens-Corning-Q4-2025-Earnings-Call-Feb-25-2026.pdf
first30_omc_2025_q4,omc_2025_q4,OMC,2025,Q4,https://investor.omnicomgroup.com/events-and-presentations/default.aspx,https://s201.q4cdn.com/282904488/files/doc_financials/2025/q4/OMC-4Q25-Earnings-Call-Transcript.pdf,s201.q4cdn.com,official_ir_hosted_third_party,pdf,0.700,official_public_financial_feed;vendor_copyright_marker_detected,false,vendor_copyright_marker_detected,true,false,false,false,,https://s201.q4cdn.com/282904488/files/doc_financials/2025/q4/OMC-4Q25-Earnings-Call-Transcript.pdf
first30_rf_2025_q4,rf_2025_q4,RF,2025,Q4,https://ir.regions.com/events-and-presentations/default.aspx,https://s202.q4cdn.com/476346942/files/doc_financials/2025/q4/4Q25-Earnings-Transcript_For-Website.pdf,s202.q4cdn.com,official_ir_hosted_third_party,pdf,0.700,official_public_financial_feed;vendor_copyright_marker_detected,false,vendor_copyright_marker_detected,true,false,false,false,,https://s202.q4cdn.com/476346942/files/doc_financials/2025/q4/4Q25-Earnings-Transcript_For-Website.pdf
first30_vz_2025_q1,vz_2025_q1,VZ,2025,Q1,https://www.verizon.com/about/investors,https://www.verizon.com/about/file/75373/download?token=zTlud4Fy,www.verizon.com,official_ir,pdf,0.700,official_public_financial_feed;signed_or_session_url_blocked,false,signed_or_session_url_blocked,false,false,false,false,,https://www.verizon.com/about/file/75373/download?token=zTlud4Fy
first30_vz_2025_q2,vz_2025_q2,VZ,2025,Q2,https://www.verizon.com/about/investors,,,official_ir,pdf,0.000,official_feed_no_transcript_url,false,direct_transcript_url_required,false,false,false,false,,
first30_vz_2025_q3,vz_2025_q3,VZ,2025,Q3,https://www.verizon.com/about/investors,,,official_ir,pdf,0.000,official_feed_no_transcript_url,false,direct_transcript_url_required,false,false,false,false,,
first30_vz_2025_q4,vz_2025_q4,VZ,2025,Q4,https://www.verizon.com/about/investors,https://www.verizon.com/about/file/77405/download?token=XTRzK52Y,www.verizon.com,official_ir,pdf,0.700,official_public_financial_feed;signed_or_session_url_blocked,false,signed_or_session_url_blocked,false,false,false,false,,https://www.verizon.com/about/file/77405/download?token=XTRzK52Y
