start,end,text,sentiment,score,topic,period,numbers,numeric_signature,midpoint_hint,guidance_strength,count_numbers,has_percent,has_range,has_currency,matched_cues
951.157,1003.08,"The year-over-year decline in pricing was primarily driven by strong impression growth, especially from lower monetizing surfaces and regions, foreign currency depreciation and lower advertiser demand. Family of Apps other revenue was $192 million, up 9%, driven by strong business messaging growth from our WhatsApp Business Platform partially offset by a decline in other line items. We continue to direct the majority of our investments toward the development and operation of our Family of Apps. In Q3, Family of Apps expenses were $18.1 billion, representing 82% of our overall expenses. FoA expenses grew 18% driven mostly by employee-related costs, infrastructure-related costs, and the impairment of certain operating leases for office facilities that we plan to exit. Family of Apps operating income was $9.3 billion, representing a 34% operating margin.",POSITIVE,0.8213813304901123,margin,Q3,192;9;3;18.1;82;18;9.3;34,3|9|9.3|18|18.1|34|82|192,192.0,0.9143,8,True,False,True,year;q3;margin;revenue;operating income
1552.312,1615.004,"Yes. Thanks, Brian. So as Dave mentioned in his script, we expect 2023 CapEx to be in the range of $34 billion to $39 billion, with our investments in AI driving all of that growth. We're very focused on evaluating the ROI of our AI investments, and that'll inform our level of future spend. But so far, we've seen continued strong impact on our recommendations products from advancing developments in our AI work. In the Q2 call, we had shared that a single AI advancement in scaling our recommendations models had led to a 15% watch time gain for Facebook Reels, and that gain has continued to grow. And we expect that there will be additional Watch time improvements coming from that work. On the ads side, we're also continuing to roll out more AI and ML improvements in some of the new ads offerings, and we're encouraged by all of the early examples that we've seen.",POSITIVE,0.9982801675796509,outlook,Q2,2023;34;39;2;15,2|15|34|39|2020,2023.0,0.9097,5,True,False,True,we expect;range;q2
409.617,463.848,"I think this is clearly the right thing to do so that Reels can grow with the demand we're seeing, but closing this gap is also a high priority. Even with the progress we've made, we're still choosing to take a more than $500 million quarterly revenue headwind with this shift. But we expect to get to a more neutral place over the next 12-18 months. I mentioned last quarter that Instagram Reels had crossed $1 billion annual revenue run rate. We continue scaling monetization across both Instagram and Facebook, and the combined run rate across these apps is now $3 billion. Beyond Reels, messaging is another major monetization opportunity. Billions of people and millions of businesses use WhatsApp and Messenger every day, and we're confident we can connect them in ways that create valuable experiences.",POSITIVE,0.9898774027824402,revenue,Quarter,500;12;-18;1;3,-18|1|3|12|500,15.0,0.908,5,False,True,True,we expect;quarter;revenue
1003.08,1060.772,"Within our Reality Labs segment, Q3 revenue was $285 million, down 49% due to lower Quest 2 sales. Reality Labs expenses were $4.0 billion, up 24% due primarily to employee-related costs and technology development expenses. Reality Labs operating loss was $3.7 billion. Turning now to the outlook. We expect fourth quarter 2022 total revenue to be in the range of $30-32.5 billion. Our guidance assumes foreign currency will be an approximately 7% headwind to year-over-year total revenue growth in the fourth quarter, based on current exchange rates. Before turning to the expense outlook, I wanted to provide some context on the approach we are taking towards setting our 2023 budget. We are making significant changes across the board to operate more efficiently. We are holding some teams flat in terms of headcount, shrinking others and investing headcount growth only in our highest priorities.",NEGATIVE,0.997689962387085,outlook,Q3,3;285;49;2;4;24;3.7;2022;30;-32.5;7;2023,-32.5|2|3|3.7|4|7|24|30|49|285|2020,31.25,0.9,12,True,True,True,guidance;outlook;we expect;range;year;quarter;q3;revenue
1120.003,1173.465,"We anticipate our full-year 2023 total expenses will be in the range of $96-101 billion. This includes an estimated $2 billion in charges related to consolidating our office facilities footprint. We expect the slight majority of our 2023 expense dollar growth to be driven by operating expenses, with the remaining growth coming from cost of revenue. We expect the percentage growth rate of 2023 operating expenses to decelerate meaningfully as we curtail non-headcount related expense growth and keep 2023 headcount roughly flat with current levels. Conversely, our growth in cost of revenue is expected to accelerate, driven by infrastructure-related expenses and, to a lesser extent, Reality Labs hardware costs driven by the launch of our next generation of our consumer Quest headset later next year. Reality Labs expenses are included in our total expense guidance.",NEGATIVE,0.9970476031303406,outlook,Year,2023;96;-101;2;2023;2023;2023,-101|2|96|2020,98.5,0.9,7,True,True,True,guidance;we expect;range;year;revenue
1272.312,1327.312,"These investments, along with revenue headwinds, are contributing to higher capital expenditures as a percentage of revenue in 2022 and 2023 than we expect over the long-term. Turning now to the specific capex outlook for 2022 and 2023. We expect 2022 capital expenditures, including principal payments on finance leases, to be in the range of $32-33 billion, updated from our prior range of $30-34 billion. For 2023, we expect capital expenditures to be in the range of $34-39 billion, driven by our investments in data centers, servers, and network infrastructure. An increase in AI capacity is driving substantially all of our capital expenditure growth in 2023. Turning to tax. Absent any changes to U.S. tax law, we expect our fourth quarter 2022 and our full year 2023 tax rate to be similar to the third quarter 2022 rate.",NEGATIVE,0.9881515502929688,capex,FY,2022;2023;2022;2023;2022;32;-33;30;-34;2023;34;-39;2023;2022;2023;2022,-39|-34|-33|30|32|34|2020,32.5,0.9,16,True,True,True,outlook;we expect;range;year;quarter;revenue
791.541,850.772,"investments in servers, data centers, and network infrastructure. Free cash flow was $173 million. We repurchased $6.5 billion of our Class A common stock in the third quarter and completed an inaugural debt offering of $10 billion. We ended the quarter with $41.8 billion in cash and marketable securities. Moving now to our segment results. I’ll begin with our Family of Apps segment. Our community across the Family of Apps continues to grow. We estimate that approximately 2.9 billion people used at least one of our Family of Apps on a daily basis in September, and that approximately 3.7 billion people used at least one on a monthly basis. Facebook continues to grow globally and engagement remains strong. Facebook daily active users were 1.98 billion, up 3% or 54 million compared to last year. DAUs represented approximately 67% of the 2.96 billion monthly active users in September.",POSITIVE,0.9985754489898682,other,Year,173;6.5;10;41.8;2.9;3.7;1.98;3;54;67;2.96,1.98|2.9|2.96|3|3.7|6.5|10|41.8|54|67|173,173.0,0.8897,11,True,False,True,year;quarter
906.157,951.157,"On an advertiser size basis, revenue growth from large advertisers remains challenged while we’ve seen more resilience amongst smaller advertisers. Foreign currency was a significant headwind to advertising revenue growth in all international regions. On a user geography basis, year-over-year ad revenue growth was strongest in Asia-Pacific and Rest of World at 6% and 3%, respectively, with both regions continuing to benefit meaningfully from strong growth in click-to-messaging ads. North America and Europe declined 3% and 16%, respectively. In Q3, the total number of ad impressions served across our services increased 17% and the average price per ad decreased 18%. Impression growth was driven by Asia-Pacific and Rest of World.",POSITIVE,0.9861845374107361,revenue,Q3,6;3;3;16;3;17;18,3|6|16|17|18,6.0,0.8072,7,True,False,False,year;q3;revenue
463.848,520.002,"We started with Click-to-Messaging ads, which let businesses run ads on Facebook and Instagram that start a thread on Messenger, WhatsApp or Instagram Direct so they can communicate with customers directly. This is one of our fastest growing ads products, with a $9 billion annual run rate. This revenue is mostly on Click-to-Messenger today since we started there first, but Click-to-WhatsApp just passed a $1.5 billion run rate, growing more than 80% year-over-year. Paid messaging is another opportunity that we're starting to tap into, and it continues to grow quickly but from a smaller base. We're putting the foundation in place now to scale this with key partnerships like Salesforce, which lets all businesses on their platform use WhatsApp as the main messaging service to answer customer questions, send updates, and sell directly in chat.",POSITIVE,0.9885056018829346,revenue,Year,9;1.5;80,1.5|9|80,9.0,0.7877,3,True,False,True,year;revenue
1060.772,1120.003,"As a result, we expect headcount at the end of 2023 will be approximately in-line with third quarter 2022 levels. We have increased scrutiny on all areas of operating expenses. However, these moves follow a substantial investment cycle so they will take time to play out in terms of our overall expense trajectory. Some steps, like the ongoing rationalization of our office footprint, will lead to incremental costs in the near term. This should set us up well for future years, when we expect to return to higher rates of revenue growth. Turning now to the specific expense outlook for 2022 and 2023. We expect 2022 total expenses to be in the range of $85-87 billion, updated from our prior outlook of $85-88 billion. This includes an estimated $900 million in additional charges related to consolidating our office facilities footprint that we expect to record in the fourth quarter of 2022.",NEGATIVE,0.7585015296936035,outlook,Year,2023;2022;2022;2023;2022;85;-87;85;-88;900;2022,-88|-87|85|900|2020,86.0,0.75,11,False,True,True,outlook;we expect;range;year;quarter;eps;revenue
