id,text,current_label,priority_reason,reviewer_label,reviewer_confidence,reviewer_notes
neut_account_status_agenda_001,the agenda is attached in the renewal folder.,neutral,needs_second_reviewer; hold_for_gold_set_review; improve_neutral_examples; tighten_lexicon_term; neutral_class_support,,,
neut_account_status_full_001,Sharing the update from finance: the meeting starts at 09:00 CET and the agenda is attached in the renewal folder.,neutral,tighten_lexicon_term; improve_neutral_examples; needs_second_reviewer; gold_holdout_candidate; neutral_class_support,,,
opp_sales_security_review_path_001,the onboarding looks lighter than what we've seen before.,opportunity_commitment,needs_second_reviewer; hold_for_gold_set_review,,,
unc_account_rollout_condition_001,If the rollout stabilizes this quarter,uncertainty_hedging,needs_second_reviewer; hold_for_gold_set_review; review_conditionals_and_hedges; gold_holdout_candidate,,,
neut_account_status_meeting_001,the meeting starts at 09:00 CET,neutral,benchmark_only_no_label_change; improve_neutral_examples; needs_second_reviewer; neutral_class_support,,,
neut_sales_status_procurement_001,the current status is that procurement is scheduled for next Tuesday,neutral,tighten_lexicon_term; improve_neutral_examples; needs_second_reviewer; neutral_class_support,,,
risk_support_deflection_001,Refund timing sits with another team,risk_friction,benchmark_only_no_label_change; needs_second_reviewer,,,
unc_sales_discount_signoff_001,If the discount works and security signs off,uncertainty_hedging,tighten_lexicon_term; review_conditionals_and_hedges; gold_holdout_candidate,,,
unc_sales_probably_001,We can probably work something out on pricing,uncertainty_hedging,tighten_lexicon_term; review_conditionals_and_hedges; needs_second_reviewer,,,
unc_support_confusion_seed_001,I'm confused about which invoice version is final because the portal and the email summary do not match.,uncertainty_hedging,tighten_lexicon_term; review_conditionals_and_hedges; needs_second_reviewer,,,
opp_account_own_recovery_001,I own the recovery plan,opportunity_commitment,benchmark_only_no_label_change,,,
opp_sales_procurement_path_001,we can bring procurement in next week.,opportunity_commitment,tighten_lexicon_term; needs_second_reviewer,,,
risk_account_unresolved_001,we're still dealing with two unresolved onboarding issues from the launch.,risk_friction,needs_second_reviewer,,,
risk_account_vendor_risk_001,"But if these issues stay open into renewal, we may cut seats, delay the renewal, or look at another vendor.",risk_friction,benchmark_only_no_label_change; tighten_lexicon_term,,,
opp_account_recovery_plan_001,I own the action items and will send a recovery plan by Friday with owners for each open item.,opportunity_commitment,tighten_lexicon_term; gold_holdout_candidate,,,
risk_support_refund_delay_001,"Hi, I'm honestly pretty frustrated. Ticket 78421 has been open for 11 days and the refund still hasn't posted to our card.",risk_friction,no_action_clear_ok,,,
