feature_id,feature_name,source_paper_ids,signal_engine_area,description,implementation_stage,complexity,expected_value,dependency,evaluation_method
first_law_complexodynamics_feature_1,Compression ratio feature for prepared remarks vs Q&A,first_law_complexodynamics,compression_mdl_complexity,Research-derived candidate feature from The First Law of Complexodynamics: Compression ratio feature for prepared remarks vs Q&A.,now,low,medium,stable evidence-span labels and deterministic baseline outputs,Compare compression/novelty scores against human evidence-span labels; Check whether high-complexity Q&A spans correlate with analyst pressure labels
first_law_complexodynamics_feature_2,Novelty/boilerplate score for management language,first_law_complexodynamics,compression_mdl_complexity,Research-derived candidate feature from The First Law of Complexodynamics: Novelty/boilerplate score for management language.,later,low,medium,stable evidence-span labels and deterministic baseline outputs,Compare compression/novelty scores against human evidence-span labels; Check whether high-complexity Q&A spans correlate with analyst pressure labels
first_law_complexodynamics_feature_3,Complexity-over-call timeline,first_law_complexodynamics,compression_mdl_complexity,Research-derived candidate feature from The First Law of Complexodynamics: Complexity-over-call timeline.,later,low,medium,stable evidence-span labels and deterministic baseline outputs,Compare compression/novelty scores against human evidence-span labels; Check whether high-complexity Q&A spans correlate with analyst pressure labels
unreasonable_effectiveness_rnns_feature_1,Character/word baseline language model probes,unreasonable_effectiveness_rnns,sequence_models,Research-derived candidate feature from The Unreasonable Effectiveness of Recurrent Neural Networks: Character/word baseline language model probes.,now,medium,high,stable evidence-span labels and deterministic baseline outputs,"Train tiny local baselines only after enough transcripts; Evaluate generated/next-token probes as diagnostics, not product claims"
unreasonable_effectiveness_rnns_feature_2,Sequence continuity checks,unreasonable_effectiveness_rnns,sequence_models,Research-derived candidate feature from The Unreasonable Effectiveness of Recurrent Neural Networks: Sequence continuity checks.,later,medium,high,stable evidence-span labels and deterministic baseline outputs,"Train tiny local baselines only after enough transcripts; Evaluate generated/next-token probes as diagnostics, not product claims"
unreasonable_effectiveness_rnns_feature_3,Transcript anomaly examples for demos,unreasonable_effectiveness_rnns,sequence_models,Research-derived candidate feature from The Unreasonable Effectiveness of Recurrent Neural Networks: Transcript anomaly examples for demos.,later,medium,high,stable evidence-span labels and deterministic baseline outputs,"Train tiny local baselines only after enough transcripts; Evaluate generated/next-token probes as diagnostics, not product claims"
understanding_lstm_networks_feature_1,Section memory features,understanding_lstm_networks,sequence_models,Research-derived candidate feature from Understanding LSTM Networks: Section memory features.,now,medium,high,stable evidence-span labels and deterministic baseline outputs,Check whether later Q&A references earlier prepared remarks; Measure section-aware recall in retrieval baselines
understanding_lstm_networks_feature_2,Long-range callback detector,understanding_lstm_networks,sequence_models,Research-derived candidate feature from Understanding LSTM Networks: Long-range callback detector.,later,medium,high,stable evidence-span labels and deterministic baseline outputs,Check whether later Q&A references earlier prepared remarks; Measure section-aware recall in retrieval baselines
understanding_lstm_networks_feature_3,Guidance mention carry-forward map,understanding_lstm_networks,sequence_models,Research-derived candidate feature from Understanding LSTM Networks: Guidance mention carry-forward map.,later,medium,high,stable evidence-span labels and deterministic baseline outputs,Check whether later Q&A references earlier prepared remarks; Measure section-aware recall in retrieval baselines
rnn_regularization_feature_1,Regularized local baseline checklist,rnn_regularization,sequence_models,Research-derived candidate feature from Recurrent Neural Network Regularization: Regularized local baseline checklist.,now,medium,high,stable evidence-span labels and deterministic baseline outputs,Track train/dev gap by transcript count; Require held-out-call performance before promoting any learned model
rnn_regularization_feature_2,Overfit warning report for optional classifiers,rnn_regularization,sequence_models,Research-derived candidate feature from Recurrent Neural Network Regularization: Overfit warning report for optional classifiers.,later,medium,high,stable evidence-span labels and deterministic baseline outputs,Track train/dev gap by transcript count; Require held-out-call performance before promoting any learned model
rnn_regularization_feature_3,sequence_models evaluation note for reviewer-facing Signal Engine workflows,rnn_regularization,sequence_models,Research-derived candidate feature from Recurrent Neural Network Regularization: sequence_models evaluation note for reviewer-facing Signal Engine workflows.,later,medium,high,stable evidence-span labels and deterministic baseline outputs,Track train/dev gap by transcript count; Require held-out-call performance before promoting any learned model
