dataset_id,dataset_name,dataset_type,source_category,intended_use,status,license_check_required,contains_real_company_data,contains_pii_risk,local_path,external_reference,notes
30_call_manual_gold_corpus,30-call manual gold corpus,earnings_call_corpus,manual_review,First credible manually reviewed benchmark target,planned,true,true,false,data/corpus/manual_30_call_gold/,docs/ideal-30-call-download-list.md,Not committed; requires manual source confirmation and reviewer labels.
100_150_call_benchmark_corpus,100-150 call benchmark corpus,earnings_call_corpus,manual_review,Larger benchmark after 30-call process stabilizes,planned,true,true,false,data/corpus/benchmark_100_150/,docs/corpus-build-plan.md,Not committed; depends on validated 30-call workflow.
gold_labels_example,Gold labels example,jsonl_fixture,handcrafted_example,Schema validation and evaluator smoke checks,example,false,false,false,data/gold_labels.example.jsonl,,Synthetic examples only; not validated training data.
tiny_signal_predictions_fixture,Tiny signal predictions fixture,jsonl_fixture,handcrafted_example,Evaluator smoke fixture,example,false,false,false,tests/fixtures/tiny_signal_predictions.jsonl,,Handcrafted expected-output fixture only.
financial_phrasebank_candidate,Financial PhraseBank candidate,external_dataset,public_research,Possible sentiment baseline reference,candidate,true,false,false,,https://www.researchgate.net/publication/251231364_FinancialPhraseBank-v10,External dataset candidate only; no download in this scaffold.
fiqa_sentiment_candidate,FiQA sentiment candidate,external_dataset,public_research,Possible finance sentiment benchmark reference,candidate,true,false,false,,https://sites.google.com/view/fiqa/,External dataset candidate only; no download in this scaffold.
sec_8k_guidance_candidate,SEC 8-K guidance candidate,metadata_or_filings,sec_edgar,Potential source discovery for guidance-related filings,candidate,true,true,false,data/sec_8k_index.example.json,https://www.sec.gov/edgar/search/,Metadata/source discovery only; no transcript scraping.
sec_edgar_filings_metadata_candidate,SEC EDGAR filings metadata candidate,metadata,sec_edgar,Small metadata intake for public filings,candidate,false,true,false,data/sec_8k_index.example.json,https://www.sec.gov/os/accessing-edgar-data,Metadata only; no exhibits or filing bodies committed.
kaggle_earnings_call_candidate,Kaggle earnings-call candidate,external_dataset,kaggle,Prototype-only transcript dataset candidate,candidate,true,true,true,,https://www.kaggle.com/,Manual license/source review required before use.
motley_fool_manual_transcripts_candidate,Motley Fool manual transcripts candidate,manual_transcript_source,transcript_vendor,Manual source reference for transcripts,candidate,true,true,true,,https://www.fool.com/earnings-call-transcripts/,Manual access/license review required; no scraping.
seeking_alpha_manual_transcripts_candidate,Seeking Alpha manual transcripts candidate,manual_transcript_source,transcript_vendor,Manual source reference for transcripts,candidate,true,true,true,,https://seekingalpha.com/earnings/earnings-call-transcripts,Manual access/license review required; no scraping.
maec_multimodal_later_candidate,MAEC multimodal later candidate,multimodal_dataset,public_research,Later multimodal experiment reference,candidate,true,true,true,,https://github.com/Earnings-Call-Dataset/MAEC,Later-only candidate; no audio/video committed.
synthetic_support_examples,Synthetic support examples,synthetic_fixture,handcrafted_example,Support demo and deterministic smoke checks,example,false,false,true,data/signal_engine_2_0/sample_support.json,,Synthetic examples only; not real validated training data.
synthetic_sales_examples,Synthetic sales examples,synthetic_fixture,handcrafted_example,Sales demo and deterministic smoke checks,example,false,false,true,data/signal_engine_2_0/sample_sales.json,,Synthetic examples only; not real validated training data.
synthetic_account_management_examples,Synthetic account-management examples,synthetic_fixture,handcrafted_example,Account-management demo and deterministic smoke checks,example,false,false,true,data/signal_engine_2_0/sample_account_management.json,,Synthetic examples only; not real validated training data.
