candidate_id,case_id,text,weak_label,confidence,noise_flag,selection_reason,review_decision,final_label
candidate_0005,emotion_benchmark_manifest,Not a production benchmark or domain proof.,neutral,0.35,,low_confidence,,
candidate_0005,emotion_benchmark_manifest,Not a production benchmark or domain proof.,neutral,0.35,,low_confidence,,
candidate_0015,sample_emotion_cases,Thank you for the recovery plan.,opportunity_commitment,0.0,,low_confidence,,
candidate_0024,sample_emotion_cases,so please respond right away at [PHONE].,neutral,0.35,,low_confidence,,
candidate_0024,sample_emotion_cases,so please respond right away at [PHONE].,neutral,0.35,,low_confidence,,
candidate_0025,sample_emotion_cases,We need the revised order form by end of day because the customer deadline is before launch tomorrow.,neutral,0.0,,low_confidence,,
candidate_0027,account_management_realistic,"Our renewal is 30 days out, two onboarding issues are still unresolved",risk_friction,0.0,,low_confidence,,
candidate_0029,account_management_realistic,I own the recovery plan and will send named owners this afternoon with a renewal review for next Tuesday.,opportunity_commitment,0.0,,low_confidence,,
candidate_0030,account_management_realistic,"If the recovery plan lands and the integrations are fixed, we may still expand analytics seats later this quarter.",opportunity_commitment,0.0,,low_confidence,,
candidate_0033,sales_calls_realistic,"We're interested, but the enterprise price is higher than Zendesk and Intercom, and I still do not know what happens after the pilot.",risk_friction,0.0,,low_confidence,,
candidate_0034,sales_calls_realistic,but the enterprise price is higher than Zendesk and Intercom,risk_friction,0.0,,low_confidence,,
candidate_0039,sales_calls_realistic,"and discount range, procurement will not move this week.",risk_friction,0.0,,low_confidence,,
candidate_0042,support_tickets_realistic,I'm frustrated that invoice 8842 still shows the wrong total and nobody has confirmed when the credit will post.,risk_friction,0.0,,low_confidence,,
candidate_0044,support_tickets_realistic,"Billing is still reviewing it, so please check the help center article for now while we wait for their response.",uncertainty_hedging,0.0,,low_confidence,,
candidate_0045,support_tickets_realistic,Billing is still reviewing it,neutral,0.35,,low_confidence,,
candidate_0045,support_tickets_realistic,Billing is still reviewing it,neutral,0.35,,low_confidence,,
candidate_0046,support_tickets_realistic,so please check the help center article for now while we wait for their response.,uncertainty_hedging,0.0,,low_confidence,,
candidate_0047,support_tickets_realistic,That does not solve it.,neutral,0.35,,low_confidence,,
candidate_0047,support_tickets_realistic,That does not solve it.,neutral,0.35,,low_confidence,,
candidate_0050,support_tickets_realistic,and if this slips again we will escalate the dispute.,risk_friction,0.0,,low_confidence,,
candidate_0053,support_tickets_realistic,and synthetic PII for redaction validation.,neutral,0.35,,low_confidence,,
candidate_0053,support_tickets_realistic,and synthetic PII for redaction validation.,neutral,0.35,,low_confidence,,
candidate_0054,sample_account_management,"Our renewal is in about 45 days, and we're still dealing with two unresolved onboarding issues from the launch.",risk_friction,0.0,,low_confidence,,
candidate_0056,sample_account_management,and we're still dealing with two unresolved onboarding issues from the launch.,risk_friction,0.0,,low_confidence,,
candidate_0057,sample_account_management,I own the action items and will send a recovery plan by Friday with owners for each open item.,opportunity_commitment,0.0,,low_confidence,,
candidate_0059,sample_account_management,"But if these issues stay open into renewal, we may cut seats, delay the renewal, or look at another vendor.",risk_friction,0.0,,low_confidence,,
candidate_0060,sample_account_management,I'll confirm owners today and schedule a renewal review next week so we can decide whether expansion is still realistic.,opportunity_commitment,0.0,,low_confidence,,
candidate_0061,sample_account_management,"Okay, but if this slips again finance will ask whether we should downgrade or switch.",risk_friction,0.0,,low_confidence,,
candidate_0062,sample_account_management,but if this slips again finance will ask whether we should downgrade or switch.,risk_friction,0.0,,low_confidence,,
candidate_0067,sample_sales,and how teams usually evaluate the workflow.,neutral,0.0,,low_confidence,,
candidate_0067,sample_sales,and how teams usually evaluate the workflow.,neutral,0.35,,low_confidence,,
candidate_0067,sample_sales,and how teams usually evaluate the workflow.,neutral,0.35,,low_confidence,,
candidate_0070,sample_sales,"The seat cost feels expensive versus Zendesk, and the team is also comparing you to Intercom.",risk_friction,0.0,,low_confidence,,
candidate_0071,sample_sales,The seat cost feels expensive versus Zendesk,risk_friction,0.0,,low_confidence,,
candidate_0073,sample_sales,"I can send a pilot plan, pricing options, and a proposal by Tuesday, and I can include the security packet for procurement.",opportunity_commitment,0.0,,low_confidence,,
candidate_0074,sample_sales,"I can send a pilot plan, pricing options",opportunity_commitment,0.0,,low_confidence,,
candidate_0075,sample_sales,and a proposal by Tuesday,opportunity_commitment,0.0,,low_confidence,,
candidate_0076,sample_sales,and I can include the security packet for procurement.,opportunity_commitment,0.0,,low_confidence,,
candidate_0084,sample_support,Refund timing sits with another team,risk_friction,0.0,,low_confidence,,
candidate_0085,sample_support,so please refer to the billing FAQ for now while we look into it on our side.,risk_friction,0.0,,low_confidence,,
candidate_0086,sample_support,That still doesn't answer the question.,neutral,0.35,,low_confidence,,
candidate_0086,sample_support,That still doesn't answer the question.,neutral,0.35,,low_confidence,,
candidate_0089,sample_support,and if this is still unresolved today I'll escalate it to your manager and dispute the charge.,risk_friction,0.0,,low_confidence,,
candidate_0100,account_management_demo_output,...s in about 45 days,neutral,0.35,,low_confidence,,
candidate_0100,account_management_demo_output,...s in about 45 days,neutral,0.35,,low_confidence,,
candidate_0105,account_management_demo_output,Account team commitment language detected.,neutral,0.35,,low_confidence,,
candidate_0105,account_management_demo_output,Account team commitment language detected.,neutral,0.35,,low_confidence,,
candidate_0107,account_management_demo_output,domain-specific lexicon and role rules,neutral,0.35,,low_confidence,,
candidate_0107,account_management_demo_output,domain-specific lexicon and role rules,neutral,0.35,,low_confidence,,
candidate_0108,account_management_demo_output,optional retrieval and long-context review,neutral,0.35,,low_confidence,,
