segment_id,final_signal,final_emotion,final_sentiment,confidence,uncertainty,review_priority,review_reason,human_label_signal,human_label_emotion,review_notes
sales_urgency_001:segment:0,neutral,urgency,negative,0.44,0.56,6,low_confidence;model_disagreement,,,
support_confusion_001:segment:0,neutral,confusion,neutral,0.44,0.56,6,low_confidence;model_disagreement,,,
support_satisfaction_001:segment:0,neutral,satisfaction,positive,0.44,0.56,6,low_confidence;model_disagreement,,,
local_signal_fixture:16:segment:0,uncertainty_hedging,neutral,neutral,0.7201,0.2799,3,rare_label;high_value_signal,,,
account_concern_001:segment:0,risk_friction,concern,negative,0.7201,0.2799,1,high_value_signal,,,
account_frustration_001:segment:0,risk_friction,frustration,negative,0.7201,0.2799,1,high_value_signal,,,
account_neutral_001:segment:0,risk_friction,neutral,neutral,0.7201,0.2799,1,high_value_signal,,,
local_signal_fixture:0:segment:0,risk_friction,frustration,negative,0.7201,0.2799,1,high_value_signal,,,
local_signal_fixture:12:segment:0,risk_friction,neutral,neutral,0.7201,0.2799,1,high_value_signal,,,
local_signal_fixture:14:segment:0,risk_friction,frustration,negative,0.7201,0.2799,1,high_value_signal,,,
local_signal_fixture:15:segment:0,risk_friction,frustration,negative,0.7201,0.2799,1,high_value_signal,,,
local_signal_fixture:17:segment:0,risk_friction,frustration,negative,0.7201,0.2799,1,high_value_signal,,,
local_signal_fixture:18:segment:0,risk_friction,neutral,neutral,0.7201,0.2799,1,high_value_signal,,,
local_signal_fixture:19:segment:0,risk_friction,neutral,neutral,0.7201,0.2799,1,high_value_signal,,,
local_signal_fixture:1:segment:0,risk_friction,neutral,neutral,0.7201,0.2799,1,high_value_signal,,,
local_signal_fixture:21:segment:0,risk_friction,neutral,neutral,0.7201,0.2799,1,high_value_signal,,,
local_signal_fixture:2:segment:0,risk_friction,urgency,negative,0.7201,0.2799,1,high_value_signal,,,
local_signal_fixture:3:segment:0,risk_friction,neutral,neutral,0.7201,0.2799,1,high_value_signal,,,
local_signal_fixture:6:segment:0,risk_friction,neutral,neutral,0.7201,0.2799,1,high_value_signal,,,
local_signal_fixture:8:segment:0,risk_friction,neutral,neutral,0.7201,0.2799,1,high_value_signal,,,
local_signal_fixture:9:segment:0,risk_friction,neutral,neutral,0.7201,0.2799,1,high_value_signal,,,
sales_anger_001:segment:0,risk_friction,anger,negative,0.7201,0.2799,1,high_value_signal,,,
sales_neutral_001:segment:0,risk_friction,neutral,neutral,0.7201,0.2799,1,high_value_signal,,,
support_anger_001:segment:0,risk_friction,anger,negative,0.7201,0.2799,1,high_value_signal,,,
support_frustration_001:segment:0,risk_friction,frustration,negative,0.7201,0.2799,1,high_value_signal,,,
