registry_id,case_id,ticker_symbol,company_name,fiscal_year,fiscal_quarter,source_type,source_url,source_domain,availability,rights_status,raw_download_allowed,blocked_reason,manual_action,acquisition_method,discovered_timestamp,provenance_hash,notes
jpm_2026_q1_company_ir_1,jpm_2026_q1,JPM,JPMorgan Chase & Co.,2026,Q1,company_ir,https://www.jpmorganchase.com/ir,jpmorganchase.com,unknown,metadata_only,false,source_terms_and_robots_not_reviewed,Review official IR source terms and robots policy before any raw transcript use.,rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:0f2f4cfdb9c29d8ab95239b49af9686f7b3e065312c71e3175efbf818510f2c8,Preferred transcript source when terms allow; this row does not assert transcript availability.
jpm_2026_q1_webcast_provider_2,jpm_2026_q1,JPM,JPMorgan Chase & Co.,2026,Q1,webcast_provider,https://www.jpmorganchase.com/ir,jpmorganchase.com,unknown,metadata_only,false,webcast_terms_not_reviewed,"Open from company IR, verify replay access and storage terms, and avoid session-restricted media.",rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:c725a4407d94140df5bcb3fee54ff4fc6aaf658eccd2ee17d2f1c4f4c3e05ae4,"Audio/webcast replay candidate only; support layer, not canonical transcript."
jpm_2026_q1_sec_edgar_3,jpm_2026_q1,JPM,JPMorgan Chase & Co.,2026,Q1,sec_edgar,sec-edgar://CIK_LOOKUP_REQUIRED/JPM/2026/Q1,sec-edgar,unknown,metadata_only,false,sec_metadata_only_no_raw_filing_body,Optional later SEC metadata fetch with descriptive User-Agent and <=10 rps rate limit.,rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:3f259d16e957de3fe5f27e56e996c52deb104f8bb613960e7b79528216d8778f,"SEC may identify event timing, 8-K references, releases, and exhibit metadata; transcripts are not guaranteed."
jpm_2026_q1_youtube_metadata_only_4,jpm_2026_q1,JPM,JPMorgan Chase & Co.,2026,Q1,youtube_metadata_only,https://www.youtube.com/results?search_query=JPM+JPMorgan+Chase+%26+Co.+earnings+call+2026+Q1,youtube.com,unknown,metadata_only,false,youtube_media_download_blocked_without_authorization,Use YouTube links as metadata references only unless explicit authorization exists.,rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:83805dc20e774b8e2e551b6bd948116b7625108af1acc28c946de57753363818,No YouTube audio or video acquisition is performed.
jpm_2026_q1_earnings_platform_5,jpm_2026_q1,JPM,JPMorgan Chase & Co.,2026,Q1,earnings_platform,licensed-vendor://blocked/JPM/2026/Q1,licensed-vendor,blocked,blocked,false,licensed_vendor_without_license_config,Register license configuration before any vendor raw content use.,rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:6fe7409c3f7161f5c40ea271cd7fdbdd327c2a5315c472955ce6b71faba6a7e8,Vendor raw transcript access is blocked by default.
wmt_2026_q1_company_ir_1,wmt_2026_q1,WMT,Walmart Inc.,2026,Q1,company_ir,https://stock.walmart.com/,stock.walmart.com,unknown,metadata_only,false,source_terms_and_robots_not_reviewed,Review official IR source terms and robots policy before any raw transcript use.,rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:79570eb01440bbc4e8c3880a99bae23076046682b500ea00c91d9397a81cd052,Preferred transcript source when terms allow; this row does not assert transcript availability.
wmt_2026_q1_webcast_provider_2,wmt_2026_q1,WMT,Walmart Inc.,2026,Q1,webcast_provider,https://stock.walmart.com/,stock.walmart.com,unknown,metadata_only,false,webcast_terms_not_reviewed,"Open from company IR, verify replay access and storage terms, and avoid session-restricted media.",rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:0fa40d32c93289e77ad04caa6f591741f5f8b17f44863c9e93fa3f65b2424904,"Audio/webcast replay candidate only; support layer, not canonical transcript."
wmt_2026_q1_sec_edgar_3,wmt_2026_q1,WMT,Walmart Inc.,2026,Q1,sec_edgar,sec-edgar://CIK_LOOKUP_REQUIRED/WMT/2026/Q1,sec-edgar,unknown,metadata_only,false,sec_metadata_only_no_raw_filing_body,Optional later SEC metadata fetch with descriptive User-Agent and <=10 rps rate limit.,rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:099a55f0f5e51674c96fc105425d254daaaf345602509a6eea0200dc2170983f,"SEC may identify event timing, 8-K references, releases, and exhibit metadata; transcripts are not guaranteed."
wmt_2026_q1_youtube_metadata_only_4,wmt_2026_q1,WMT,Walmart Inc.,2026,Q1,youtube_metadata_only,https://www.youtube.com/results?search_query=WMT+Walmart+Inc.+earnings+call+2026+Q1,youtube.com,unknown,metadata_only,false,youtube_media_download_blocked_without_authorization,Use YouTube links as metadata references only unless explicit authorization exists.,rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:6010ba04b61796bf82201b3104f43be63c1bdc53bf565df4860c89951e965cc3,No YouTube audio or video acquisition is performed.
wmt_2026_q1_earnings_platform_5,wmt_2026_q1,WMT,Walmart Inc.,2026,Q1,earnings_platform,licensed-vendor://blocked/WMT/2026/Q1,licensed-vendor,blocked,blocked,false,licensed_vendor_without_license_config,Register license configuration before any vendor raw content use.,rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:fe74c0a419becc5616c4d10027b535f392bf7e71acbe7d1d62f721ae012783bc,Vendor raw transcript access is blocked by default.
hd_2026_q1_company_ir_1,hd_2026_q1,HD,"The Home Depot, Inc.",2026,Q1,company_ir,https://ir.homedepot.com/,ir.homedepot.com,unknown,metadata_only,false,source_terms_and_robots_not_reviewed,Review official IR source terms and robots policy before any raw transcript use.,rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:79167447f275a5e4d68e4a15fc34fcfe6e280c054eef4b4cfde5d4334ba220d6,Preferred transcript source when terms allow; this row does not assert transcript availability.
hd_2026_q1_webcast_provider_2,hd_2026_q1,HD,"The Home Depot, Inc.",2026,Q1,webcast_provider,https://ir.homedepot.com/,ir.homedepot.com,unknown,metadata_only,false,webcast_terms_not_reviewed,"Open from company IR, verify replay access and storage terms, and avoid session-restricted media.",rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:17b6f9b06d55774dbc215f2e84c35504da04f954dd79676e99482b9e1f98d590,"Audio/webcast replay candidate only; support layer, not canonical transcript."
hd_2026_q1_sec_edgar_3,hd_2026_q1,HD,"The Home Depot, Inc.",2026,Q1,sec_edgar,sec-edgar://CIK_LOOKUP_REQUIRED/HD/2026/Q1,sec-edgar,unknown,metadata_only,false,sec_metadata_only_no_raw_filing_body,Optional later SEC metadata fetch with descriptive User-Agent and <=10 rps rate limit.,rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:69ffd5ca25da4bc5738db8fb75dea2dd0a4d22fda1cb4e568c8d01b39324ca09,"SEC may identify event timing, 8-K references, releases, and exhibit metadata; transcripts are not guaranteed."
hd_2026_q1_youtube_metadata_only_4,hd_2026_q1,HD,"The Home Depot, Inc.",2026,Q1,youtube_metadata_only,https://www.youtube.com/results?search_query=HD+The+Home+Depot%2C+Inc.+earnings+call+2026+Q1,youtube.com,unknown,metadata_only,false,youtube_media_download_blocked_without_authorization,Use YouTube links as metadata references only unless explicit authorization exists.,rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:b9a1f6f12ca6009d745da722d89a06d2ae9ec91e7fdb6d5f7110fa49813811a1,No YouTube audio or video acquisition is performed.
hd_2026_q1_earnings_platform_5,hd_2026_q1,HD,"The Home Depot, Inc.",2026,Q1,earnings_platform,licensed-vendor://blocked/HD/2026/Q1,licensed-vendor,blocked,blocked,false,licensed_vendor_without_license_config,Register license configuration before any vendor raw content use.,rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:deacafe19e7bab6d1f67d9e874510f00263db234901f91fffeb915ed34aa525f,Vendor raw transcript access is blocked by default.
jnj_2026_q1_company_ir_1,jnj_2026_q1,JNJ,Johnson & Johnson,2026,Q1,company_ir,https://www.investor.jnj.com/,investor.jnj.com,unknown,metadata_only,false,source_terms_and_robots_not_reviewed,Review official IR source terms and robots policy before any raw transcript use.,rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:ac6069f478969ac329116a63d97244e05747fa3b06415d5a8a45d475fd6c76e3,Preferred transcript source when terms allow; this row does not assert transcript availability.
jnj_2026_q1_webcast_provider_2,jnj_2026_q1,JNJ,Johnson & Johnson,2026,Q1,webcast_provider,https://www.investor.jnj.com/,investor.jnj.com,unknown,metadata_only,false,webcast_terms_not_reviewed,"Open from company IR, verify replay access and storage terms, and avoid session-restricted media.",rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:c43901b3f2054f8eb025b45e5a6a9abcc2415f381d337878a8ecd9b321da6bd4,"Audio/webcast replay candidate only; support layer, not canonical transcript."
jnj_2026_q1_sec_edgar_3,jnj_2026_q1,JNJ,Johnson & Johnson,2026,Q1,sec_edgar,sec-edgar://CIK_LOOKUP_REQUIRED/JNJ/2026/Q1,sec-edgar,unknown,metadata_only,false,sec_metadata_only_no_raw_filing_body,Optional later SEC metadata fetch with descriptive User-Agent and <=10 rps rate limit.,rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:9c3671a287d5d8fb3eb868bb894d52819724ef6a09b556be32df2b4b8737f5c8,"SEC may identify event timing, 8-K references, releases, and exhibit metadata; transcripts are not guaranteed."
jnj_2026_q1_youtube_metadata_only_4,jnj_2026_q1,JNJ,Johnson & Johnson,2026,Q1,youtube_metadata_only,https://www.youtube.com/results?search_query=JNJ+Johnson+%26+Johnson+earnings+call+2026+Q1,youtube.com,unknown,metadata_only,false,youtube_media_download_blocked_without_authorization,Use YouTube links as metadata references only unless explicit authorization exists.,rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:3614668bfeb8dba8e8fbc2e6c942d877767ef674b763cd7105f142bc6f31cb64,No YouTube audio or video acquisition is performed.
jnj_2026_q1_earnings_platform_5,jnj_2026_q1,JNJ,Johnson & Johnson,2026,Q1,earnings_platform,licensed-vendor://blocked/JNJ/2026/Q1,licensed-vendor,blocked,blocked,false,licensed_vendor_without_license_config,Register license configuration before any vendor raw content use.,rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:3f8e3573edf47d9b41a5632aa9f67ce4261de2af751e9fa927f0006ebf83f176,Vendor raw transcript access is blocked by default.
xom_2026_q1_company_ir_1,xom_2026_q1,XOM,Exxon Mobil Corporation,2026,Q1,company_ir,https://corporate.exxonmobil.com/investors,corporate.exxonmobil.com,unknown,metadata_only,false,source_terms_and_robots_not_reviewed,Review official IR source terms and robots policy before any raw transcript use.,rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:6e8629985926052d3cc8707e439e63f64c26f4c626e0129dd680eab4ff911d49,Preferred transcript source when terms allow; this row does not assert transcript availability.
xom_2026_q1_webcast_provider_2,xom_2026_q1,XOM,Exxon Mobil Corporation,2026,Q1,webcast_provider,https://corporate.exxonmobil.com/investors,corporate.exxonmobil.com,unknown,metadata_only,false,webcast_terms_not_reviewed,"Open from company IR, verify replay access and storage terms, and avoid session-restricted media.",rights_aware_metadata_discovery,2026-05-24T00:33:59+00:00,sha256:7f3b9e477154d07b51d67e715040307963391ab5d24c246cff64b90c0a77db4e,"Audio/webcast replay candidate only; support layer, not canonical transcript."
