case_id,ticker_symbol,company_name,exchange,fiscal_year,fiscal_quarter,calendar_year,earnings_call_date,transcript_source_url,audio_source_url,video_source_url,transcript_availability,audio_availability,video_availability,source_type,rights_status,priority_tier,local_paths_created,notes,source_domain,discovered_timestamp,acquisition_method,provenance_hash,call_folder
jpm_2026_q1,JPM,JPMorgan Chase & Co.,NYSE,2026,Q1,2026,2026-04-14,https://www.jpmorganchase.com/ir,https://www.jpmorganchase.com/ir,https://www.jpmorganchase.com/ir,unknown,unknown,unknown,company_ir,metadata_only,4,true,"Metadata-only candidate. Availability is not asserted until official IR source terms, robots policy, and event identity are manually reviewed.",jpmorganchase.com,2026-05-24T00:33:59+00:00,rights_aware_metadata_discovery,sha256:3470e26442dd76acad392cd267b167e1fe7ee8b733850592dde217ba21a2748a,/Users/keith/Desktop/earnings calls 100 samples/JPM_JPMorgan_Chase_Co/2026-04-14_FY2026_Q1
wmt_2026_q1,WMT,Walmart Inc.,NYSE,2026,Q1,2026,2026-04-14,https://stock.walmart.com/,https://stock.walmart.com/,https://stock.walmart.com/,unknown,unknown,unknown,company_ir,metadata_only,4,true,"Metadata-only candidate. Availability is not asserted until official IR source terms, robots policy, and event identity are manually reviewed.",stock.walmart.com,2026-05-24T00:33:59+00:00,rights_aware_metadata_discovery,sha256:8fe0b8c11bc1f2cdbc8fa534a027aef181d3b9221f5affdf08a36049f841d2fe,/Users/keith/Desktop/earnings calls 100 samples/WMT_Walmart_Inc/2026-04-14_FY2026_Q1
hd_2026_q1,HD,"The Home Depot, Inc.",NYSE,2026,Q1,2026,2026-04-14,https://ir.homedepot.com/,https://ir.homedepot.com/,https://ir.homedepot.com/,unknown,unknown,unknown,company_ir,metadata_only,4,true,"Metadata-only candidate. Availability is not asserted until official IR source terms, robots policy, and event identity are manually reviewed.",ir.homedepot.com,2026-05-24T00:33:59+00:00,rights_aware_metadata_discovery,sha256:4dd73b4ec0cb357921429ab1a41886fbf15cfda67cf5e48bbfe5b6c8f2ad2f3b,/Users/keith/Desktop/earnings calls 100 samples/HD_The_Home_Depot_Inc/2026-04-14_FY2026_Q1
jnj_2026_q1,JNJ,Johnson & Johnson,NYSE,2026,Q1,2026,2026-04-14,https://www.investor.jnj.com/,https://www.investor.jnj.com/,https://www.investor.jnj.com/,unknown,unknown,unknown,company_ir,metadata_only,4,true,"Metadata-only candidate. Availability is not asserted until official IR source terms, robots policy, and event identity are manually reviewed.",investor.jnj.com,2026-05-24T00:33:59+00:00,rights_aware_metadata_discovery,sha256:1d47894fb67992a7e7e79bc98ebaf084e1667a91b7a4a2d000ed494e6ce132cc,/Users/keith/Desktop/earnings calls 100 samples/JNJ_Johnson_Johnson/2026-04-14_FY2026_Q1
xom_2026_q1,XOM,Exxon Mobil Corporation,NYSE,2026,Q1,2026,2026-04-14,https://corporate.exxonmobil.com/investors,https://corporate.exxonmobil.com/investors,https://corporate.exxonmobil.com/investors,unknown,unknown,unknown,company_ir,metadata_only,4,true,"Metadata-only candidate. Availability is not asserted until official IR source terms, robots policy, and event identity are manually reviewed.",corporate.exxonmobil.com,2026-05-24T00:33:59+00:00,rights_aware_metadata_discovery,sha256:5e3c41c62d0054d8e5e94fbd4eb1b4eb1fbdbeea7b2403a0faf4e5a3ec72c7e4,/Users/keith/Desktop/earnings calls 100 samples/XOM_Exxon_Mobil_Corporation/2026-04-14_FY2026_Q1
bac_2026_q1,BAC,Bank of America Corporation,NYSE,2026,Q1,2026,2026-04-14,https://investor.bankofamerica.com/,https://investor.bankofamerica.com/,https://investor.bankofamerica.com/,unknown,unknown,unknown,company_ir,metadata_only,4,true,"Metadata-only candidate. Availability is not asserted until official IR source terms, robots policy, and event identity are manually reviewed.",investor.bankofamerica.com,2026-05-24T00:33:59+00:00,rights_aware_metadata_discovery,sha256:7a7fbdda6cef8beb0d8f7b5cd57abba7603a51a476f21bf6a6936855bbd1e62e,/Users/keith/Desktop/earnings calls 100 samples/BAC_Bank_of_America_Corporation/2026-04-14_FY2026_Q1
gs_2026_q1,GS,"The Goldman Sachs Group, Inc.",NYSE,2026,Q1,2026,2026-04-14,https://www.goldmansachs.com/investor-relations/,https://www.goldmansachs.com/investor-relations/,https://www.goldmansachs.com/investor-relations/,unknown,unknown,unknown,company_ir,metadata_only,4,true,"Metadata-only candidate. Availability is not asserted until official IR source terms, robots policy, and event identity are manually reviewed.",goldmansachs.com,2026-05-24T00:33:59+00:00,rights_aware_metadata_discovery,sha256:339d656d486d30a1e6d0f19ac1aa68f6ce652bb72a9330ae599c9beb9a092fe4,/Users/keith/Desktop/earnings calls 100 samples/GS_The_Goldman_Sachs_Group_Inc/2026-04-14_FY2026_Q1
ms_2026_q1,MS,Morgan Stanley,NYSE,2026,Q1,2026,2026-04-14,https://www.morganstanley.com/about-us-ir,https://www.morganstanley.com/about-us-ir,https://www.morganstanley.com/about-us-ir,unknown,unknown,unknown,company_ir,metadata_only,4,true,"Metadata-only candidate. Availability is not asserted until official IR source terms, robots policy, and event identity are manually reviewed.",morganstanley.com,2026-05-24T00:33:59+00:00,rights_aware_metadata_discovery,sha256:10f4a03ba3e25ba763ea49af645bea7440f27422f26c5ae81bbd23e31f351f1a,/Users/keith/Desktop/earnings calls 100 samples/MS_Morgan_Stanley/2026-04-14_FY2026_Q1
blk_2026_q1,BLK,"BlackRock, Inc.",NYSE,2026,Q1,2026,2026-04-14,https://ir.blackrock.com/,https://ir.blackrock.com/,https://ir.blackrock.com/,unknown,unknown,unknown,company_ir,metadata_only,4,true,"Metadata-only candidate. Availability is not asserted until official IR source terms, robots policy, and event identity are manually reviewed.",ir.blackrock.com,2026-05-24T00:33:59+00:00,rights_aware_metadata_discovery,sha256:4fc0c41b3225eebeefd27aeed5bac1c667819657d3395cd75df03e6c52396073,/Users/keith/Desktop/earnings calls 100 samples/BLK_BlackRock_Inc/2026-04-14_FY2026_Q1
axp_2026_q1,AXP,American Express Company,NYSE,2026,Q1,2026,2026-04-14,https://ir.americanexpress.com/,https://ir.americanexpress.com/,https://ir.americanexpress.com/,unknown,unknown,unknown,company_ir,metadata_only,4,true,"Metadata-only candidate. Availability is not asserted until official IR source terms, robots policy, and event identity are manually reviewed.",ir.americanexpress.com,2026-05-24T00:33:59+00:00,rights_aware_metadata_discovery,sha256:6269e089da10ce472211acbf0b77a0a7dcf584975a1581feeb92fc57ae558112,/Users/keith/Desktop/earnings calls 100 samples/AXP_American_Express_Company/2026-04-14_FY2026_Q1
