feature_id,feature_family,feature_name,description,source_signal,label_targets,required_inputs,output_object,training_value,rights_risk,priority,status
"guidance_prior_current_value_match","guidance_revision","Prior/current guidance value match","Match prior and current guidance values by topic unit and period","AlphaGPT implementation/evaluation pattern","guidance_revision","sectioned transcript guidance statements prior-period metadata","guidance_revision_candidate","Improves deterministic revision labels","low_metadata_only","high","planned"
"guidance_direction_classifier","guidance_revision","Guidance direction classifier","Classify raised lowered reaffirmed narrowed widened or withdrawn guidance candidates","Quant evaluation lifecycle","guidance_revision","guidance statements evidence spans fiscal period metadata","guidance_direction_object","Supports supervised direction labels later","low_metadata_only","high","planned"
"guidance_topic_normalizer","guidance_revision","Guidance topic normalizer","Normalize revenue margin EPS capex demand and segment topics","Research artifact contracts","guidance_revision neutral/no_signal","guidance statements topic lexicon","guidance_topic_object","Reduces duplicate labels and improves evaluation grouping","low_metadata_only","high","planned"
"guidance_revision_temporal_anchor","guidance_revision","Guidance temporal anchor","Detect fiscal period and time references attached to guidance changes","Leakage prevention and validation gates","guidance_revision","transcript section fiscal period metadata evidence span","temporal_anchor_object","Supports no-leakage checks and period alignment","low_metadata_only","high","planned"
"analyst_challenge_question_detector","analyst_pressure","Analyst challenge question detector","Detect skeptical or challenging analyst questions without treating all clarification as pressure","Human review and false-positive controls","analyst_pressure neutral/no_signal","Q&A pairs speaker roles question text local-only or hashes","analyst_pressure_candidate","Improves pressure labels and false-positive review","medium_local_text","high","planned"
"analyst_followup_pressure_detector","analyst_pressure","Analyst follow-up pressure detector","Flag repeated follow-ups that push management on the same topic","Institutional reviewer workflow","analyst_pressure","Q&A sequence speaker roles topic continuity","followup_pressure_candidate","Captures interaction dynamics for review","medium_local_text","high","candidate"
"analyst_topic_persistence_detector","analyst_pressure","Analyst topic persistence detector","Track analyst persistence across multiple questions or speakers","Orchestration and monitoring pattern","analyst_pressure","Q&A pairs speaker roles normalized topics","topic_persistence_object","Supports friction scoring and reviewer prioritization","medium_local_text","medium","candidate"
"management_non_answer_detector","answer_shift","Management non-answer detector","Identify answers that avoid the question topic or redirect to generic messaging","Evaluator false-positive pattern","answer_shift management_hedging","Q&A pair topic alignment speaker role metadata","non_answer_candidate","Supports answer-shift labels and reviewer audit","medium_local_text","high","planned"
"management_hedging_phrase_detector","management_hedging","Management hedging phrase detector","Detect cautious hedging language tied to operational or financial uncertainty","LLM risk and structured extraction pattern","management_hedging uncertainty","sectioned transcript speaker role evidence spans","hedging_candidate","Creates reviewable hedging candidates","medium_local_text","high","planned"
"hedging_intensity_score","management_hedging","Hedging intensity score","Score concentration and severity of hedging phrases within an answer or section","Validation and monitoring pattern","management_hedging uncertainty","hedging candidates section length speaker role","hedging_score","Supports calibration and false-positive audit","low_metadata_only","medium","candidate"
"uncertainty_safe_harbor_filter","uncertainty","Safe-harbor uncertainty filter","Suppress boilerplate safe-harbor caution that is not a call-specific uncertainty signal","False-positive taxonomy","uncertainty neutral/no_signal","section classifier boilerplate markers evidence spans","safe_harbor_filter_result","Reduces generic caution false positives","medium_local_text","high","planned"
