provider,case_id,ticker,fiscal_year,fiscal_quarter,asset_type,discovery_status,raw_download_allowed,license_config_ref,training_allowed,notes
earningscall,hd_2024_q3,HD,2024,Q3,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
quartr,hd_2024_q3,HD,2024,Q3,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
aiera,hd_2024_q3,HD,2024,Q3,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
fmp,hd_2024_q3,HD,2024,Q3,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
api_ninjas,hd_2024_q3,HD,2024,Q3,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
sec_edgar,hd_2024_q3,HD,2024,Q3,transcript_or_audio_metadata,CONFIGURED_METADATA_ONLY,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
earningscall,hd_2024_q2,HD,2024,Q2,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
quartr,hd_2024_q2,HD,2024,Q2,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
aiera,hd_2024_q2,HD,2024,Q2,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
fmp,hd_2024_q2,HD,2024,Q2,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
api_ninjas,hd_2024_q2,HD,2024,Q2,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
sec_edgar,hd_2024_q2,HD,2024,Q2,transcript_or_audio_metadata,CONFIGURED_METADATA_ONLY,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
earningscall,hd_2024_q1,HD,2024,Q1,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
quartr,hd_2024_q1,HD,2024,Q1,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
aiera,hd_2024_q1,HD,2024,Q1,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
fmp,hd_2024_q1,HD,2024,Q1,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
api_ninjas,hd_2024_q1,HD,2024,Q1,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
sec_edgar,hd_2024_q1,HD,2024,Q1,transcript_or_audio_metadata,CONFIGURED_METADATA_ONLY,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
earningscall,hd_2024_q4,HD,2024,Q4,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
quartr,hd_2024_q4,HD,2024,Q4,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
aiera,hd_2024_q4,HD,2024,Q4,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
fmp,hd_2024_q4,HD,2024,Q4,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
api_ninjas,hd_2024_q4,HD,2024,Q4,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
sec_edgar,hd_2024_q4,HD,2024,Q4,transcript_or_audio_metadata,CONFIGURED_METADATA_ONLY,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
earningscall,vz_2025_q4,VZ,2025,Q4,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
quartr,vz_2025_q4,VZ,2025,Q4,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
aiera,vz_2025_q4,VZ,2025,Q4,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
fmp,vz_2025_q4,VZ,2025,Q4,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
api_ninjas,vz_2025_q4,VZ,2025,Q4,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
sec_edgar,vz_2025_q4,VZ,2025,Q4,transcript_or_audio_metadata,CONFIGURED_METADATA_ONLY,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
earningscall,vz_2025_q3,VZ,2025,Q3,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
quartr,vz_2025_q3,VZ,2025,Q3,transcript_or_audio_metadata,NOT_CONFIGURED,false,,false,metadata-only discovery; raw pull blocked unless key/license/raw Desktop guardrails pass
